occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,50.00,30.00,45.00,40.00,22.00
Sales manager,Marketing manager,33.1,62.4,37.50,87.50,23.75,62.50,47.66
Project management specialist,Training and development specialist,47.3,56.7,100.00,87.50,7.50,93.75,86.72
Project management specialist,Marketing specialist,47.3,61.7,100.00,17.50,5.00,58.75,55.81
Project management specialist,Marketing manager,47.3,62.4,100.00,12.50,-3.75,56.25,54.14
Information security analyst,Operations research analyst,19.3,55.0,100.00,97.50,0.00,98.75,98.75
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,75.00,-1.25,87.50,86.41
Management analyst,Marketing manager,46.6,62.4,100.00,5.00,0.00,52.50,52.50
Sales manager,Public relations manager,33.1,66.4,57.50,37.50,37.50,47.50,29.69
Management analyst,Marketing specialist,46.6,61.7,100.00,2.50,1.25,51.25,50.61
Sales manager,Human resources manager,33.1,76.5,35.00,100.00,21.25,67.50,53.16
Sales manager,Marketing specialist,33.1,61.7,37.50,50.00,51.25,43.75,21.33
Training and development manager,Marketing manager,48.0,62.4,95.00,82.50,0.00,88.75,88.75
Training and development manager,Administrative services manager,48.0,74.0,40.00,100.00,18.75,70.00,56.88
Project management specialist,Administrative services manager,47.3,74.0,85.00,97.50,3.75,91.25,87.83
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,0.00,50.00,50.00
Management analyst,Financial manager,46.6,56.2,100.00,45.00,-16.25,72.50,60.72
Sales manager,Financial manager,33.1,56.2,10.00,100.00,5.00,55.00,52.25
Training and development manager,Human resources manager,48.0,76.5,75.00,97.50,12.50,86.25,75.47
Project management specialist,Public relations manager,47.3,66.4,100.00,2.50,0.00,51.25,51.25
Management analyst,Operations research analyst,46.6,55.0,100.00,90.00,-1.25,95.00,93.81
Management analyst,Public relations manager,46.6,66.4,100.00,0.00,-1.25,50.00,49.38
Purchasing manager,Human resources manager,47.7,76.5,15.00,100.00,7.50,57.50,53.19
Training and development manager,Public relations manager,48.0,66.4,100.00,20.00,-6.25,60.00,56.25
Purchasing manager,Marketing manager,47.7,62.4,35.00,97.50,8.75,66.25,60.45
Project management specialist,Human resources manager,47.3,76.5,100.00,70.00,6.25,85.00,79.69
Purchasing manager,Public relations manager,47.7,66.4,45.00,90.00,18.75,67.50,54.84
Management analyst,Human resources manager,46.6,76.5,100.00,7.50,-3.75,53.75,51.73
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,62.50,2.50,81.25,79.22
Financial and investment analyst,Financial manager,43.9,56.2,57.50,100.00,1.25,78.75,77.77
Project management specialist,Human resources worker,47.3,76.5,95.00,72.50,10.00,83.75,75.37
Facilities manager,Human resources manager,23.4,76.5,90.00,62.50,2.50,76.25,74.34
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,77.50,10.00,88.75,79.88
Training and development manager,Marketing specialist,48.0,61.7,95.00,30.00,11.25,62.50,55.47
Architectural and engineering manager,Administrative services manager,12.8,74.0,97.50,95.00,-1.25,96.25,95.05
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,80.00,5.00,90.00,85.50
Management analyst,Human resources worker,46.6,76.5,100.00,17.50,16.25,58.75,49.20
Training and development manager,Human resources worker,48.0,76.5,60.00,87.50,38.75,73.75,45.17
Project management specialist,Operations research analyst,47.3,55.0,97.50,92.50,1.25,95.00,93.81
Project management specialist,Financial manager,47.3,56.2,82.50,87.50,-11.25,85.00,75.44
Sales manager,Human resources worker,33.1,76.5,22.50,92.50,16.25,57.50,48.16
Facilities manager,Marketing manager,23.4,62.4,95.00,55.00,-2.50,75.00,73.12
Facilities manager,Administrative services manager,23.4,74.0,42.50,100.00,5.00,71.25,67.69
Sales manager,Administrative services manager,33.1,74.0,0.00,100.00,1.25,50.00,49.38
Management analyst,Administrative services manager,46.6,74.0,92.50,97.50,1.25,95.00,93.81
Purchasing manager,Human resources worker,47.7,76.5,15.00,100.00,6.25,57.50,53.91
Management analyst,Training and development specialist,46.6,56.7,100.00,12.50,3.75,56.25,54.14
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,7.50,0.00,53.75,53.75
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,67.50,8.75,83.75,76.42
Facilities manager,Public relations manager,23.4,66.4,97.50,10.00,-1.25,53.75,53.08
Sales manager,Training and development specialist,33.1,56.7,47.50,92.50,37.50,70.00,43.75
Financial and investment analyst,Administrative services manager,43.9,74.0,77.50,97.50,11.25,87.50,77.66
Architectural and engineering manager,Financial manager,12.8,56.2,97.50,97.50,-1.25,97.50,96.28
Purchasing manager,Marketing specialist,47.7,61.7,40.00,97.50,18.75,68.75,55.86
Training and development manager,Financial manager,48.0,56.2,52.50,100.00,1.25,76.25,75.30
Sales manager,Advertising sales agent,33.1,52.7,50.00,26.92,40.91,38.46,22.73
Management analyst,Accountant,46.6,57.0,95.00,57.50,-13.75,76.25,65.77
Industrial production manager,Human resources manager,19.1,76.5,82.50,92.50,15.00,87.50,74.38
Facilities manager,Social and community service manager,23.4,71.7,100.00,5.00,3.75,52.50,50.53
Purchasing manager,Administrative services manager,47.7,74.0,2.50,100.00,0.00,51.25,51.25
Industrial production manager,Financial manager,19.1,56.2,75.00,100.00,5.00,87.50,83.12
Operation manager,Financial manager,37.1,56.2,75.00,97.50,1.25,86.25,85.17
Industrial production manager,Human resources worker,19.1,76.5,72.50,95.00,23.75,83.75,63.86
Sales manager,Insurance sales agent,33.1,54.9,90.00,27.27,4.84,58.64,55.80
Architectural and engineering manager,Marketing specialist,12.8,61.7,100.00,47.50,11.25,73.75,65.45
Postsecondary teacher,Secondary school teacher,46.6,56.9,100.00,53.33,0.00,76.67,76.67
Facilities manager,Human resources worker,23.4,76.5,82.50,72.50,12.50,77.50,67.81
Software developer,Marketing specialist,20.2,61.7,100.00,12.50,11.25,56.25,49.92
Industrial production manager,Marketing manager,19.1,62.4,90.00,95.00,8.75,92.50,84.41
Facilities manager,Training and development specialist,23.4,56.7,97.50,82.50,3.75,90.00,86.62
Software developer,Operations research analyst,20.2,55.0,100.00,75.00,5.00,87.50,83.12
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,12.50,0.00,56.25,56.25
Information security analyst,Administrative services manager,19.3,74.0,82.50,100.00,2.50,91.25,88.97
Industrial production manager,Operations research analyst,19.1,55.0,75.00,97.50,6.25,86.25,80.86
Facilities manager,Financial manager,23.4,56.2,90.00,87.50,0.00,88.75,88.75
Financial and investment analyst,Marketing manager,43.9,62.4,97.50,67.50,3.75,82.50,79.41
