occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.82,-6.97,90.00,60.00,3.89,75.00,72.08
Sales manager,Marketing manager,33.1,62.4,96.46,0.02,-2.77,25.00,75.00,1.39,50.00,49.30
Project management specialist,Training and development specialist,47.3,56.7,96.32,3.36,-3.19,67.50,2.50,3.27,35.00,33.85
Project management specialist,Marketing specialist,47.3,61.7,96.15,3.54,-3.31,100.00,0.00,3.43,50.00,48.29
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.07,-2.84,100.00,0.00,1.38,50.00,49.31
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.35,-1.81,15.00,12.50,0.73,13.75,13.65
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.56,-1.61,60.00,17.50,1.59,38.75,38.14
Management analyst,Marketing manager,46.6,62.4,94.88,0.65,-2.00,100.00,0.00,1.32,50.00,49.34
Sales manager,Public relations manager,33.1,66.4,94.60,0.54,-4.83,70.00,52.50,2.69,61.25,59.60
Management analyst,Marketing specialist,46.6,61.7,94.50,3.66,-2.48,100.00,0.00,3.07,50.00,48.46
Sales manager,Human resources manager,33.1,76.5,94.40,1.25,-3.99,5.00,80.00,2.62,42.50,41.39
Sales manager,Marketing specialist,33.1,61.7,94.34,3.60,-5.11,70.00,80.00,4.36,75.00,71.73
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.15,-3.61,32.50,2.50,1.23,17.50,17.28
Training and development manager,Administrative services manager,48.0,74.0,94.24,-2.54,-1.82,0.00,80.00,-0.36,40.00,39.86
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.10,-0.18,17.50,72.50,-0.46,45.00,44.79
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.37,1.41,0.00,100.00,-2.39,50.00,48.81
Management analyst,Financial manager,46.6,56.2,94.00,-3.84,1.81,65.00,2.50,-2.82,33.75,32.80
Sales manager,Financial manager,33.1,56.2,93.76,-3.50,0.44,0.00,100.00,-1.97,50.00,49.01
Training and development manager,Human resources manager,48.0,76.5,93.69,-1.14,-5.37,10.00,32.50,2.11,21.25,20.80
Project management specialist,Public relations manager,47.3,66.4,93.13,1.43,-4.39,100.00,5.00,2.91,52.50,50.97
Management analyst,Operations research analyst,46.6,55.0,92.92,0.15,1.18,80.00,5.00,-0.51,42.50,42.28
Management analyst,Public relations manager,46.6,66.4,92.91,1.02,-2.83,100.00,0.00,1.93,50.00,49.04
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.03,-2.69,0.00,92.50,1.86,46.25,45.39
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.80,-5.77,80.00,2.50,2.48,41.25,40.23
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.76,-0.82,30.00,97.50,0.79,63.75,63.25
Project management specialist,Human resources manager,47.3,76.5,92.47,1.22,-3.91,92.50,15.00,2.56,53.75,52.37
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.85,-2.95,50.00,92.50,1.90,71.25,69.90
Management analyst,Human resources manager,46.6,76.5,92.37,1.20,-2.65,100.00,0.00,1.93,50.00,49.04
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,4.11,-4.55,92.50,0.00,4.33,46.25,44.25
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-4.47,0.34,10.00,65.00,-2.41,37.50,36.60
Project management specialist,Human resources worker,47.3,76.5,92.21,4.90,-4.57,82.50,10.00,4.74,46.25,44.06
Facilities manager,Human resources manager,23.4,76.5,92.06,1.11,-3.79,72.50,40.00,2.45,56.25,54.87
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,5.88,-5.64,82.50,2.50,5.76,42.50,40.05
Training and development manager,Marketing specialist,48.0,61.7,91.94,3.37,-5.62,87.50,2.50,4.50,45.00,42.98
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.66,-1.86,67.50,52.50,1.76,60.00,58.94
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,4.27,-4.81,87.50,2.50,4.54,45.00,42.96
Management analyst,Human resources worker,46.6,76.5,91.64,4.26,-4.00,100.00,0.00,4.13,50.00,47.93
Training and development manager,Human resources worker,48.0,76.5,91.58,3.27,-7.42,22.50,70.00,5.34,46.25,43.78
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.68,-0.03,37.50,2.50,-0.33,20.00,19.93
Project management specialist,Financial manager,47.3,56.2,91.15,-3.24,2.20,42.50,60.00,-2.72,51.25,49.85
Sales manager,Human resources worker,33.1,76.5,91.09,4.99,-4.99,17.50,92.50,4.99,55.00,52.26
Facilities manager,Marketing manager,23.4,62.4,90.92,1.40,-2.74,87.50,30.00,2.07,58.75,57.53
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.96,-0.24,12.50,75.00,-0.36,43.75,43.59
Sales manager,Administrative services manager,33.1,74.0,90.73,-1.51,0.57,0.00,100.00,-1.04,50.00,49.48
Management analyst,Administrative services manager,46.6,74.0,90.68,-1.19,-0.10,20.00,12.50,-0.54,16.25,16.16
Purchasing manager,Human resources worker,47.7,76.5,90.36,4.19,-3.84,0.00,100.00,4.01,50.00,47.99
Management analyst,Training and development specialist,46.6,56.7,90.32,2.93,-3.53,100.00,2.50,3.23,51.25,49.59
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,4.50,-5.46,100.00,0.00,4.98,50.00,47.51
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,6.64,-6.12,87.50,7.50,6.38,47.50,44.47
Facilities manager,Public relations manager,23.4,66.4,90.26,1.07,-4.16,100.00,25.00,2.62,62.50,60.86
Sales manager,Training and development specialist,33.1,56.7,90.18,3.26,-3.91,45.00,77.50,3.59,61.25,59.05
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.18,-1.74,37.50,90.00,0.96,63.75,63.14
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,1.08,-0.32,87.50,35.00,0.70,61.25,60.82
Purchasing manager,Marketing specialist,47.7,61.7,90.08,4.38,-3.67,52.50,95.00,4.02,73.75,70.78
Training and development manager,Financial manager,48.0,56.2,90.06,-5.07,0.99,10.00,80.00,-3.03,45.00,43.64
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.91,-5.15,97.50,15.38,3.03,56.44,54.73
Management analyst,Accountant,46.6,57.0,89.84,-2.34,1.51,72.50,25.00,-1.92,48.75,47.81
Industrial production manager,Human resources manager,19.1,76.5,89.80,6.85,-8.58,70.00,70.00,7.72,70.00,64.60
Facilities manager,Social and community service manager,23.4,71.7,89.67,2.31,-3.75,97.50,2.50,3.03,50.00,48.48
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-1.21,1.14,0.00,100.00,-1.18,50.00,49.41
Industrial production manager,Financial manager,19.1,56.2,89.51,3.98,-1.05,60.00,97.50,2.51,78.75,76.77
Operation manager,Financial manager,37.1,56.2,89.31,-0.93,-0.56,42.50,80.00,-0.19,61.25,61.14
Industrial production manager,Human resources worker,19.1,76.5,89.29,9.41,-10.87,72.50,87.50,10.14,80.00,71.89
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.65,-4.30,92.50,0.00,2.48,46.25,45.10
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,7.70,-6.02,97.50,0.00,6.86,48.75,45.41
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.32,0.63,70.00,6.67,0.34,38.33,38.20
Facilities manager,Human resources worker,23.4,76.5,88.96,3.93,-4.79,70.00,65.00,4.36,67.50,64.55
Software developer,Marketing specialist,20.2,61.7,88.94,6.71,-7.76,97.50,5.00,7.24,51.25,47.54
Industrial production manager,Marketing manager,19.1,62.4,88.93,7.17,-7.00,87.50,60.00,7.08,73.75,68.53
Facilities manager,Training and development specialist,23.4,56.7,88.90,2.86,-3.34,65.00,27.50,3.10,46.25,44.82
Software developer,Operations research analyst,20.2,55.0,88.88,2.84,-3.96,92.50,0.00,3.40,46.25,44.68
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.53,-2.91,100.00,0.00,2.22,50.00,48.89
Information security analyst,Administrative services manager,19.3,74.0,88.53,-1.09,-3.57,37.50,80.00,1.24,58.75,58.02
Industrial production manager,Operations research analyst,19.1,55.0,88.39,4.53,-5.15,47.50,85.00,4.84,66.25,63.04
Facilities manager,Financial manager,23.4,56.2,88.37,-3.32,0.84,70.00,77.50,-2.08,73.75,72.22
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,2.85,-4.99,95.00,30.00,3.92,62.50,60.05
Industrial production manager,Public relations manager,19.1,66.4,88.35,6.84,-10.02,100.00,52.50,8.43,76.25,69.82
Project management specialist,Public relations specialist,47.3,76.2,88.35,3.90,-3.65,97.50,17.50,3.77,57.50,55.33
Industrial production manager,Administrative services manager,19.1,74.0,88.30,3.14,-2.15,32.50,100.00,2.64,66.25,64.50
Facilities manager,Marketing specialist,23.4,61.7,88.28,4.67,-4.99,95.00,32.50,4.83,63.75,60.67
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,6.91,-6.96,97.50,27.50,6.93,62.50,58.17
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,2.22,-3.17,0.00,77.78,2.69,38.89,37.84
Operation manager,Marketing manager,37.1,62.4,88.12,2.86,-3.39,67.50,22.50,3.13,45.00,43.59
Industrial production manager,Training and development specialist,19.1,56.7,88.10,8.98,-9.31,62.50,45.00,9.14,53.75,48.83
Purchasing manager,Accountant,47.7,57.0,88.07,-3.70,1.87,0.00,100.00,-2.78,50.00,48.61
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,1.86,-4.40,92.50,2.50,3.13,47.50,46.01
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,3.53,-6.45,97.50,2.50,4.99,50.00,47.50
Chemical engineer,Medical scientist,21.6,51.8,87.70,-1.06,-2.34,12.50,63.16,0.64,37.83,37.59
Operation manager,Human resources manager,37.1,76.5,87.61,2.65,-5.10,60.00,40.00,3.88,50.00,48.06
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,6.17,-6.81,87.50,10.00,6.49,48.75,45.59
Operation manager,Public relations manager,37.1,66.4,87.47,3.02,-4.95,97.50,15.00,3.98,56.25,54.01
Training and development manager,Social and community service manager,48.0,71.7,87.29,1.43,-4.80,65.00,0.00,3.12,32.50,31.49
Financial and investment analyst,Accountant,43.9,57.0,87.27,-2.41,0.10,30.00,77.50,-1.26,53.75,53.07
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,3.93,-5.21,77.50,37.50,4.57,57.50,54.87
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,-0.73,-5.74,40.00,23.68,2.51,31.84,31.04
Purchasing manager,Training and development specialist,47.7,56.7,86.71,3.38,-2.82,5.00,87.50,3.10,46.25,44.82
Web developer,Graphic designer,19.4,54.7,86.62,4.84,-4.70,75.00,27.03,4.77,51.01,48.58
Purchasing manager,Social and community service manager,47.7,71.7,86.53,2.43,-3.80,10.00,5.00,3.12,7.50,7.27
Chemical engineer,Biological scientist,21.6,55.0,86.36,0.67,-4.93,12.50,78.38,2.80,45.44,44.17
Dentist,Dental hygienist,39.5,95.7,86.25,13.43,-6.85,55.26,0.00,10.14,27.63,24.83
Software quality tester,Operations research analyst,44.1,55.0,86.23,-2.45,1.02,32.50,35.00,-1.73,33.75,33.16
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,1.69,-2.30,20.00,5.41,2.00,12.70,12.45
Information security analyst,Training and development specialist,19.3,56.7,85.97,4.63,-6.79,80.00,7.50,5.71,43.75,41.25
Software developer,Graphic designer,20.2,54.7,85.82,7.78,-7.43,85.00,29.73,7.61,57.36,53.00
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,5.21,-5.37,100.00,0.00,5.29,50.00,47.35
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,-2.45,3.59,82.50,20.00,-3.02,51.25,49.70
