occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,72.50,22.50,20.00,47.50,38.00
Sales manager,Marketing manager,33.1,62.4,47.50,90.00,12.50,68.75,60.16
Project management specialist,Training and development specialist,47.3,56.7,100.00,62.50,8.75,81.25,74.14
Project management specialist,Marketing specialist,47.3,61.7,100.00,22.50,2.50,61.25,59.72
Project management specialist,Marketing manager,47.3,62.4,100.00,22.50,-8.75,61.25,55.89
Information security analyst,Operations research analyst,19.3,55.0,82.50,100.00,0.00,91.25,91.25
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,57.50,6.25,78.75,73.83
Management analyst,Marketing manager,46.6,62.4,100.00,10.00,-5.00,55.00,52.25
Sales manager,Public relations manager,33.1,66.4,75.00,27.50,30.00,51.25,35.87
Management analyst,Marketing specialist,46.6,61.7,100.00,5.00,1.25,52.50,51.84
Sales manager,Human resources manager,33.1,76.5,47.50,90.00,22.50,68.75,53.28
Sales manager,Marketing specialist,33.1,61.7,62.50,50.00,35.00,56.25,36.56
Training and development manager,Marketing manager,48.0,62.4,95.00,80.00,-6.25,87.50,82.03
Training and development manager,Administrative services manager,48.0,74.0,45.00,100.00,16.25,72.50,60.72
Project management specialist,Administrative services manager,47.3,74.0,70.00,97.50,7.50,83.75,77.47
Purchasing manager,Financial manager,47.7,56.2,2.50,100.00,0.00,51.25,51.25
Management analyst,Financial manager,46.6,56.2,92.50,77.50,-18.75,85.00,69.06
Sales manager,Financial manager,33.1,56.2,22.50,100.00,0.00,61.25,61.25
Training and development manager,Human resources manager,48.0,76.5,85.00,85.00,11.25,85.00,75.44
Project management specialist,Public relations manager,47.3,66.4,100.00,2.50,1.25,51.25,50.61
Management analyst,Operations research analyst,46.6,55.0,100.00,87.50,-3.75,93.75,90.23
Management analyst,Public relations manager,46.6,66.4,100.00,2.50,-2.50,51.25,49.97
Purchasing manager,Human resources manager,47.7,76.5,17.50,97.50,12.50,57.50,50.31
Training and development manager,Public relations manager,48.0,66.4,97.50,7.50,1.25,52.50,51.84
Purchasing manager,Marketing manager,47.7,62.4,40.00,97.50,2.50,68.75,67.03
Project management specialist,Human resources manager,47.3,76.5,100.00,52.50,3.75,76.25,73.39
Purchasing manager,Public relations manager,47.7,66.4,55.00,60.00,17.50,57.50,47.44
Management analyst,Human resources manager,46.6,76.5,100.00,25.00,2.50,62.50,60.94
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,55.00,5.00,77.50,73.62
