occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,8.07,-1.30,72.50,22.50,4.68,47.50,45.28
Sales manager,Marketing manager,33.1,62.4,96.46,3.45,0.96,47.50,90.00,1.24,68.75,67.90
Project management specialist,Training and development specialist,47.3,56.7,96.32,3.11,-3.01,100.00,62.50,3.06,81.25,78.76
Project management specialist,Marketing specialist,47.3,61.7,96.15,3.25,-2.29,100.00,22.50,2.77,61.25,59.55
Project management specialist,Marketing manager,47.3,62.4,95.99,2.97,1.52,100.00,22.50,0.72,61.25,60.81
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.78,-0.35,82.50,100.00,0.56,91.25,90.73
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,3.56,-0.35,100.00,57.50,1.96,78.75,77.21
Management analyst,Marketing manager,46.6,62.4,94.88,0.64,0.79,100.00,10.00,-0.08,55.00,54.96
Sales manager,Public relations manager,33.1,66.4,94.60,5.33,-2.43,75.00,27.50,3.88,51.25,49.26
Management analyst,Marketing specialist,46.6,61.7,94.50,1.32,-2.05,100.00,5.00,1.69,52.50,51.61
Sales manager,Human resources manager,33.1,76.5,94.40,5.75,-2.59,47.50,90.00,4.17,68.75,65.89
Sales manager,Marketing specialist,33.1,61.7,94.34,5.24,-4.46,62.50,50.00,4.85,56.25,53.52
Training and development manager,Marketing manager,48.0,62.4,94.32,2.36,2.47,95.00,80.00,-0.06,87.50,87.45
Training and development manager,Administrative services manager,48.0,74.0,94.24,3.99,-0.04,45.00,100.00,2.01,72.50,71.04
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.59,-1.54,70.00,97.50,2.07,83.75,82.02
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.02,2.73,2.50,100.00,-1.87,51.25,50.29
Management analyst,Financial manager,46.6,56.2,94.00,-1.98,6.07,92.50,77.50,-4.03,85.00,81.58
Sales manager,Financial manager,33.1,56.2,93.76,0.69,3.21,22.50,100.00,-1.26,61.25,60.48
Training and development manager,Human resources manager,48.0,76.5,93.69,6.51,0.11,85.00,85.00,3.20,85.00,82.28
Project management specialist,Public relations manager,47.3,66.4,93.13,4.63,-1.37,100.00,2.50,3.00,51.25,49.71
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.06,0.73,100.00,87.50,-0.89,93.75,92.91
Management analyst,Public relations manager,46.6,66.4,92.91,2.26,-1.16,100.00,2.50,1.71,51.25,50.38
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.46,-1.80,17.50,97.50,2.63,57.50,55.99
Training and development manager,Public relations manager,48.0,66.4,92.59,5.65,-0.37,97.50,7.50,3.01,52.50,50.92
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.38,1.56,40.00,97.50,-0.59,68.75,68.34
Project management specialist,Human resources manager,47.3,76.5,92.47,5.52,-1.07,100.00,52.50,3.29,76.25,73.74
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.10,-3.06,55.00,60.00,2.58,57.50,56.02
Management analyst,Human resources manager,46.6,76.5,92.37,2.96,-0.31,100.00,25.00,1.63,62.50,61.48
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,3.23,-2.04,100.00,55.00,2.64,77.50,75.45
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.76,3.06,52.50,100.00,-1.15,76.25,75.37
Project management specialist,Human resources worker,47.3,76.5,92.21,6.46,-4.04,100.00,45.00,5.25,72.50,68.69
Facilities manager,Human resources manager,23.4,76.5,92.06,2.67,-2.54,82.50,70.00,2.61,76.25,74.26
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,2.37,-5.61,100.00,67.50,3.99,83.75,80.41
Training and development manager,Marketing specialist,48.0,61.7,91.94,5.02,-2.45,95.00,35.00,3.74,65.00,62.57
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.29,-3.79,90.00,90.00,3.54,90.00,86.82
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,2.37,-3.94,100.00,67.50,3.16,83.75,81.11
Management analyst,Human resources worker,46.6,76.5,91.64,3.57,-3.35,100.00,20.00,3.46,60.00,57.92
Training and development manager,Human resources worker,48.0,76.5,91.58,9.58,-3.02,70.00,72.50,6.30,71.25,66.76
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.35,0.81,97.50,92.50,-0.23,95.00,94.78
