occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,97.50,37.50,30.00,67.50,47.25
Sales manager,Marketing manager,33.1,62.4,20.00,67.50,-2.50,43.75,42.66
Project management specialist,Training and development specialist,47.3,56.7,85.00,7.50,5.00,46.25,43.94
Project management specialist,Marketing specialist,47.3,61.7,100.00,2.50,3.75,51.25,49.33
Project management specialist,Marketing manager,47.3,62.4,100.00,7.50,0.00,53.75,53.75
Information security analyst,Operations research analyst,19.3,55.0,15.00,50.00,12.50,32.50,28.44
Financial and investment analyst,Operations research analyst,43.9,55.0,82.50,12.50,-5.00,47.50,45.12
Management analyst,Marketing manager,46.6,62.4,100.00,0.00,-2.50,50.00,48.75
Sales manager,Public relations manager,33.1,66.4,87.50,42.50,23.75,65.00,49.56
Management analyst,Marketing specialist,46.6,61.7,100.00,0.00,-1.25,50.00,49.38
Sales manager,Human resources manager,33.1,76.5,7.50,62.50,15.00,35.00,29.75
Sales manager,Marketing specialist,33.1,61.7,92.50,62.50,30.00,77.50,54.25
Training and development manager,Marketing manager,48.0,62.4,42.50,10.00,-7.50,26.25,24.28
Training and development manager,Administrative services manager,48.0,74.0,0.00,85.00,15.00,42.50,36.12
Project management specialist,Administrative services manager,47.3,74.0,30.00,87.50,8.75,58.75,53.61
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,-1.25,50.00,49.38
Management analyst,Financial manager,46.6,56.2,35.00,35.00,-5.00,35.00,33.25
Sales manager,Financial manager,33.1,56.2,0.00,97.50,1.25,48.75,48.14
Training and development manager,Human resources manager,48.0,76.5,12.50,25.00,17.50,18.75,15.47
Project management specialist,Public relations manager,47.3,66.4,100.00,7.50,2.50,53.75,52.41
Management analyst,Operations research analyst,46.6,55.0,77.50,7.50,-7.50,42.50,39.31
Management analyst,Public relations manager,46.6,66.4,100.00,2.50,-1.25,51.25,50.61
Purchasing manager,Human resources manager,47.7,76.5,5.00,87.50,7.50,46.25,42.78
Training and development manager,Public relations manager,48.0,66.4,97.50,7.50,1.25,52.50,51.84
Purchasing manager,Marketing manager,47.7,62.4,27.50,87.50,0.00,57.50,57.50
Project management specialist,Human resources manager,47.3,76.5,95.00,40.00,13.75,67.50,58.22
Purchasing manager,Public relations manager,47.7,66.4,52.50,62.50,11.25,57.50,51.03
Management analyst,Human resources manager,46.6,76.5,100.00,2.50,1.25,51.25,50.61
Architectural and engineering manager,Marketing manager,12.8,62.4,92.50,5.00,3.75,48.75,46.92
Financial and investment analyst,Financial manager,43.9,56.2,5.00,85.00,0.00,45.00,45.00
Project management specialist,Human resources worker,47.3,76.5,92.50,15.00,16.25,53.75,45.02
Facilities manager,Human resources manager,23.4,76.5,75.00,62.50,17.50,68.75,56.72
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,12.50,13.75,53.75,46.36
Training and development manager,Marketing specialist,48.0,61.7,87.50,7.50,10.00,47.50,42.75
Architectural and engineering manager,Administrative services manager,12.8,74.0,77.50,67.50,12.50,72.50,63.44
Architectural and engineering manager,Human resources manager,12.8,76.5,92.50,10.00,10.00,51.25,46.13
Management analyst,Human resources worker,46.6,76.5,100.00,0.00,6.25,50.00,46.88
Training and development manager,Human resources worker,48.0,76.5,57.50,52.50,42.50,55.00,31.62
Project management specialist,Operations research analyst,47.3,55.0,47.50,30.00,-5.00,38.75,36.81
Project management specialist,Financial manager,47.3,56.2,27.50,97.50,-1.25,62.50,61.72
Sales manager,Human resources worker,33.1,76.5,55.00,82.50,23.75,68.75,52.42
Facilities manager,Marketing manager,23.4,62.4,85.00,45.00,7.50,65.00,60.13
Facilities manager,Administrative services manager,23.4,74.0,10.00,95.00,1.25,52.50,51.84
Sales manager,Administrative services manager,33.1,74.0,0.00,100.00,1.25,50.00,49.38
Management analyst,Administrative services manager,46.6,74.0,27.50,40.00,10.00,33.75,30.38
Purchasing manager,Human resources worker,47.7,76.5,12.50,95.00,7.50,53.75,49.72
Management analyst,Training and development specialist,46.6,56.7,100.00,5.00,0.00,52.50,52.50
Architectural and engineering manager,Public relations manager,12.8,66.4,97.50,2.50,1.25,50.00,49.38
Financial and investment analyst,Training and development specialist,43.9,56.7,97.50,17.50,11.25,57.50,51.03
Facilities manager,Public relations manager,23.4,66.4,100.00,37.50,12.50,68.75,60.16
Sales manager,Training and development specialist,33.1,56.7,97.50,72.50,18.75,85.00,69.06
Financial and investment analyst,Administrative services manager,43.9,74.0,47.50,87.50,10.00,67.50,60.75
Architectural and engineering manager,Financial manager,12.8,56.2,85.00,82.50,2.50,83.75,81.66
Purchasing manager,Marketing specialist,47.7,61.7,57.50,92.50,10.00,75.00,67.50
Training and development manager,Financial manager,48.0,56.2,2.50,97.50,-1.25,50.00,49.38
Sales manager,Advertising sales agent,33.1,52.7,100.00,7.69,12.12,53.85,47.32
Management analyst,Accountant,46.6,57.0,62.50,65.00,-10.00,63.75,57.38
Industrial production manager,Human resources manager,19.1,76.5,77.50,75.00,23.75,76.25,58.14
Facilities manager,Social and community service manager,23.4,71.7,97.50,10.00,2.50,53.75,52.41
Purchasing manager,Administrative services manager,47.7,74.0,0.00,100.00,1.25,50.00,49.38
Industrial production manager,Financial manager,19.1,56.2,47.50,100.00,6.25,73.75,69.14
Operation manager,Financial manager,37.1,56.2,52.50,90.00,-3.75,71.25,68.58
Industrial production manager,Human resources worker,19.1,76.5,87.50,70.00,35.00,78.75,51.19
Sales manager,Insurance sales agent,33.1,54.9,97.50,0.00,-1.61,48.75,47.96
Architectural and engineering manager,Marketing specialist,12.8,61.7,95.00,15.00,15.00,55.00,46.75
Postsecondary teacher,Secondary school teacher,46.6,56.9,77.50,0.00,7.14,38.75,35.98
Facilities manager,Human resources worker,23.4,76.5,80.00,65.00,26.25,72.50,53.47
Software developer,Marketing specialist,20.2,61.7,100.00,40.00,22.50,70.00,54.25
Industrial production manager,Marketing manager,19.1,62.4,92.50,80.00,12.50,86.25,75.47
Facilities manager,Training and development specialist,23.4,56.7,77.50,42.50,6.25,60.00,56.25
Software developer,Operations research analyst,20.2,55.0,82.50,20.00,20.00,51.25,41.00
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,17.50,8.75,58.75,53.61
Information security analyst,Administrative services manager,19.3,74.0,37.50,97.50,7.50,67.50,62.44
Industrial production manager,Operations research analyst,19.1,55.0,57.50,90.00,10.00,73.75,66.38
Facilities manager,Financial manager,23.4,56.2,47.50,90.00,-5.00,68.75,65.31
Financial and investment analyst,Marketing manager,43.9,62.4,95.00,52.50,6.25,73.75,69.14
Industrial production manager,Public relations manager,19.1,66.4,100.00,52.50,25.00,76.25,57.19
Project management specialist,Public relations specialist,47.3,76.2,100.00,37.50,15.00,68.75,58.44
Industrial production manager,Administrative services manager,19.1,74.0,35.00,100.00,3.75,67.50,64.97
Facilities manager,Marketing specialist,23.4,61.7,92.50,57.50,8.75,75.00,68.44
Financial and investment analyst,Marketing specialist,43.9,61.7,97.50,47.50,12.50,72.50,63.44
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,3.57,70.37,14.55,36.97,31.59
Operation manager,Marketing manager,37.1,62.4,80.00,20.00,10.00,50.00,45.00
Industrial production manager,Training and development specialist,19.1,56.7,85.00,60.00,28.75,72.50,51.66
