occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.38,-7.33,97.50,37.50,4.35,67.50,64.56
Sales manager,Marketing manager,33.1,62.4,96.46,-0.80,-2.92,20.00,67.50,1.06,43.75,43.29
Project management specialist,Training and development specialist,47.3,56.7,96.32,3.09,-3.55,85.00,7.50,3.32,46.25,44.71
Project management specialist,Marketing specialist,47.3,61.7,96.15,2.08,-2.46,100.00,2.50,2.27,51.25,50.09
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.95,-2.40,100.00,7.50,0.72,53.75,53.36
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.85,-3.41,15.00,50.00,0.78,32.50,32.25
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.83,-2.23,82.50,12.50,2.03,47.50,46.54
Management analyst,Marketing manager,46.6,62.4,94.88,-1.10,-0.92,100.00,0.00,-0.09,50.00,49.96
Sales manager,Public relations manager,33.1,66.4,94.60,1.78,-5.10,87.50,42.50,3.44,65.00,62.76
Management analyst,Marketing specialist,46.6,61.7,94.50,1.29,-0.86,100.00,0.00,1.08,50.00,49.46
Sales manager,Human resources manager,33.1,76.5,94.40,2.92,-5.73,7.50,62.50,4.33,35.00,33.49
Sales manager,Marketing specialist,33.1,61.7,94.34,2.96,-4.99,92.50,62.50,3.98,77.50,74.42
Training and development manager,Marketing manager,48.0,62.4,94.32,-3.25,-2.54,42.50,10.00,-0.35,26.25,26.16
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.16,-3.40,0.00,85.00,1.12,42.50,42.02
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.03,-1.76,30.00,87.50,1.39,58.75,57.93
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.41,1.33,0.00,100.00,-1.37,50.00,49.32
Management analyst,Financial manager,46.6,56.2,94.00,-4.83,2.43,35.00,35.00,-3.63,35.00,33.73
Sales manager,Financial manager,33.1,56.2,93.76,-1.96,0.73,0.00,97.50,-1.35,48.75,48.09
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.14,-6.55,12.50,25.00,3.20,18.75,18.15
Project management specialist,Public relations manager,47.3,66.4,93.13,1.55,-4.82,100.00,7.50,3.19,53.75,52.04
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.10,1.82,77.50,7.50,-1.46,42.50,41.88
Management analyst,Public relations manager,46.6,66.4,92.91,1.06,-2.73,100.00,2.50,1.89,51.25,50.28
Purchasing manager,Human resources manager,47.7,76.5,92.77,2.73,-3.11,5.00,87.50,2.92,46.25,44.90
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.29,-5.21,97.50,7.50,2.46,52.50,51.21
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.50,-0.05,27.50,87.50,-0.72,57.50,57.08
Project management specialist,Human resources manager,47.3,76.5,92.47,2.41,-4.59,95.00,40.00,3.50,67.50,65.14
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.53,-3.36,52.50,62.50,1.94,57.50,56.38
Management analyst,Human resources manager,46.6,76.5,92.37,1.61,-3.24,100.00,2.50,2.42,51.25,50.01
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.46,-6.03,92.50,5.00,3.75,48.75,46.92
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-3.14,-1.69,5.00,85.00,-0.73,45.00,44.67
Project management specialist,Human resources worker,47.3,76.5,92.21,4.55,-7.29,92.50,15.00,5.92,53.75,50.57
Facilities manager,Human resources manager,23.4,76.5,92.06,1.86,-4.09,75.00,62.50,2.97,68.75,66.71
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,4.85,-7.46,95.00,12.50,6.16,53.75,50.44
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.92,-4.71,87.50,7.50,2.81,47.50,46.16
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.89,-6.13,77.50,67.50,4.01,72.50,69.59
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,2.91,-7.49,92.50,10.00,5.20,51.25,48.59
Management analyst,Human resources worker,46.6,76.5,91.64,4.08,-4.99,100.00,0.00,4.53,50.00,47.73
Training and development manager,Human resources worker,48.0,76.5,91.58,3.42,-10.13,57.50,52.50,6.77,55.00,51.27
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.54,0.14,47.50,30.00,-0.84,38.75,38.42
Project management specialist,Financial manager,47.3,56.2,91.15,-1.77,1.80,27.50,97.50,-1.78,62.50,61.39
Sales manager,Human resources worker,33.1,76.5,91.09,4.61,-7.09,55.00,82.50,5.85,68.75,64.73
Facilities manager,Marketing manager,23.4,62.4,90.92,0.47,-2.00,85.00,45.00,1.24,65.00,64.20
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.39,-0.80,10.00,95.00,1.09,52.50,51.93
Sales manager,Administrative services manager,33.1,74.0,90.73,1.70,-2.02,0.00,100.00,1.86,50.00,49.07
Management analyst,Administrative services manager,46.6,74.0,90.68,0.23,-1.07,27.50,40.00,0.65,33.75,33.53
Purchasing manager,Human resources worker,47.7,76.5,90.36,5.26,-4.36,12.50,95.00,4.81,53.75,51.16
Management analyst,Training and development specialist,46.6,56.7,90.32,2.76,-2.53,100.00,5.00,2.64,52.50,51.11
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.55,-7.35,97.50,2.50,4.45,50.00,47.78
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,7.63,-7.86,97.50,17.50,7.74,57.50,53.05
Facilities manager,Public relations manager,23.4,66.4,90.26,1.61,-4.35,100.00,37.50,2.98,68.75,66.70
Sales manager,Training and development specialist,33.1,56.7,90.18,4.14,-4.76,97.50,72.50,4.45,85.00,81.22
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,3.61,-6.13,47.50,87.50,4.87,67.50,64.21
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.37,-3.05,85.00,82.50,1.71,83.75,82.32
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.59,-2.42,57.50,92.50,2.00,75.00,73.50
Training and development manager,Financial manager,48.0,56.2,90.06,-5.15,1.61,2.50,97.50,-3.38,50.00,48.31
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.34,-5.02,100.00,7.69,2.34,53.85,52.59
Management analyst,Accountant,46.6,57.0,89.84,-2.65,1.06,62.50,65.00,-1.85,63.75,62.57
Industrial production manager,Human resources manager,19.1,76.5,89.80,6.92,-8.16,77.50,75.00,7.54,76.25,70.50
Facilities manager,Social and community service manager,23.4,71.7,89.67,2.49,-4.45,97.50,10.00,3.47,53.75,51.88
Purchasing manager,Administrative services manager,47.7,74.0,89.51,1.47,-0.10,0.00,100.00,0.78,50.00,49.61
Industrial production manager,Financial manager,19.1,56.2,89.51,4.37,0.07,47.50,100.00,2.15,73.75,72.16
Operation manager,Financial manager,37.1,56.2,89.31,-1.31,-0.68,52.50,90.00,-0.32,71.25,71.03
Industrial production manager,Human resources worker,19.1,76.5,89.29,9.05,-11.84,87.50,70.00,10.45,78.75,70.52
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.48,-4.99,97.50,0.00,2.74,48.75,47.42
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,3.73,-7.67,95.00,15.00,5.70,55.00,51.86
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,4.73,1.49,77.50,0.00,1.62,38.75,38.12
Facilities manager,Human resources worker,23.4,76.5,88.96,2.97,-6.85,80.00,65.00,4.91,72.50,68.94
