occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,55.00,17.50,20.00,36.25,29.00
Sales manager,Marketing manager,33.1,62.4,60.00,87.50,10.00,73.75,66.38
Project management specialist,Training and development specialist,47.3,56.7,100.00,57.50,1.25,78.75,77.77
Project management specialist,Marketing specialist,47.3,61.7,100.00,20.00,-5.00,60.00,57.00
Project management specialist,Marketing manager,47.3,62.4,100.00,12.50,-6.25,56.25,52.73
Information security analyst,Operations research analyst,19.3,55.0,85.00,100.00,0.00,92.50,92.50
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,65.00,3.75,82.50,79.41
Management analyst,Marketing manager,46.6,62.4,100.00,7.50,-1.25,53.75,53.08
Sales manager,Public relations manager,33.1,66.4,82.50,17.50,18.75,50.00,40.62
Management analyst,Marketing specialist,46.6,61.7,100.00,2.50,1.25,51.25,50.61
Sales manager,Human resources manager,33.1,76.5,52.50,90.00,25.00,71.25,53.44
Sales manager,Marketing specialist,33.1,61.7,70.00,47.50,22.50,58.75,45.53
Training and development manager,Marketing manager,48.0,62.4,95.00,75.00,-8.75,85.00,77.56
Training and development manager,Administrative services manager,48.0,74.0,32.50,100.00,15.00,66.25,56.31
Project management specialist,Administrative services manager,47.3,74.0,72.50,92.50,10.00,82.50,74.25
Purchasing manager,Financial manager,47.7,56.2,2.50,100.00,0.00,51.25,51.25
Management analyst,Financial manager,46.6,56.2,87.50,80.00,-15.00,83.75,71.19
Sales manager,Financial manager,33.1,56.2,20.00,100.00,1.25,60.00,59.25
Training and development manager,Human resources manager,48.0,76.5,82.50,85.00,10.00,83.75,75.37
Project management specialist,Public relations manager,47.3,66.4,100.00,0.00,1.25,50.00,49.38
Management analyst,Operations research analyst,46.6,55.0,95.00,87.50,-3.75,91.25,87.83
Management analyst,Public relations manager,46.6,66.4,100.00,2.50,-2.50,51.25,49.97
Purchasing manager,Human resources manager,47.7,76.5,35.00,97.50,13.75,66.25,57.14
Training and development manager,Public relations manager,48.0,66.4,92.50,5.00,5.00,48.75,46.31
Purchasing manager,Marketing manager,47.7,62.4,47.50,97.50,2.50,72.50,70.69
Project management specialist,Human resources manager,47.3,76.5,100.00,42.50,2.50,71.25,69.47
Purchasing manager,Public relations manager,47.7,66.4,60.00,57.50,10.00,58.75,52.87
Management analyst,Human resources manager,46.6,76.5,100.00,12.50,7.50,56.25,52.03
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,52.50,3.75,76.25,73.39
Financial and investment analyst,Financial manager,43.9,56.2,55.00,100.00,5.00,77.50,73.62
Project management specialist,Human resources worker,47.3,76.5,100.00,37.50,3.75,68.75,66.17
Facilities manager,Human resources manager,23.4,76.5,92.50,65.00,6.25,78.75,73.83
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,62.50,2.50,81.25,79.22
Training and development manager,Marketing specialist,48.0,61.7,95.00,35.00,0.00,65.00,65.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,95.00,92.50,3.75,93.75,90.23
Architectural and engineering manager,Human resources manager,12.8,76.5,100.00,60.00,8.75,80.00,73.00
Management analyst,Human resources worker,46.6,76.5,100.00,15.00,8.75,57.50,52.47
Training and development manager,Human resources worker,48.0,76.5,70.00,62.50,22.50,66.25,51.34
Project management specialist,Operations research analyst,47.3,55.0,95.00,92.50,0.00,93.75,93.75
Project management specialist,Financial manager,47.3,56.2,52.50,95.00,-2.50,73.75,71.91
Sales manager,Human resources worker,33.1,76.5,52.50,77.50,31.25,65.00,44.69
Facilities manager,Marketing manager,23.4,62.4,95.00,65.00,-1.25,80.00,79.00
Facilities manager,Administrative services manager,23.4,74.0,37.50,100.00,8.75,68.75,62.73
Sales manager,Administrative services manager,33.1,74.0,7.50,100.00,6.25,53.75,50.39
Management analyst,Administrative services manager,46.6,74.0,85.00,92.50,2.50,88.75,86.53
Purchasing manager,Human resources worker,47.7,76.5,32.50,97.50,16.25,65.00,54.44
Management analyst,Training and development specialist,46.6,56.7,100.00,5.00,-2.50,52.50,51.19
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,5.00,5.00,52.50,49.88
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,40.00,8.75,70.00,63.87
Facilities manager,Public relations manager,23.4,66.4,97.50,15.00,6.25,56.25,52.73
Sales manager,Training and development specialist,33.1,56.7,60.00,57.50,22.50,58.75,45.53
Financial and investment analyst,Administrative services manager,43.9,74.0,82.50,97.50,13.75,90.00,77.62
Architectural and engineering manager,Financial manager,12.8,56.2,97.50,100.00,-1.25,98.75,97.52
Purchasing manager,Marketing specialist,47.7,61.7,52.50,97.50,0.00,75.00,75.00
Training and development manager,Financial manager,48.0,56.2,7.50,100.00,-3.75,53.75,51.73
Sales manager,Advertising sales agent,33.1,52.7,82.50,11.54,13.64,47.02,40.61
Management analyst,Accountant,46.6,57.0,85.00,72.50,5.00,78.75,74.81
Industrial production manager,Human resources manager,19.1,76.5,92.50,95.00,5.00,93.75,89.06
Facilities manager,Social and community service manager,23.4,71.7,100.00,7.50,1.25,53.75,53.08
Purchasing manager,Administrative services manager,47.7,74.0,0.00,100.00,2.50,50.00,48.75
Industrial production manager,Financial manager,19.1,56.2,55.00,100.00,6.25,77.50,72.66
Operation manager,Financial manager,37.1,56.2,77.50,100.00,-1.25,88.75,87.64
Industrial production manager,Human resources worker,19.1,76.5,87.50,85.00,15.00,86.25,73.31
Sales manager,Insurance sales agent,33.1,54.9,97.50,18.18,3.23,57.84,55.98
Architectural and engineering manager,Marketing specialist,12.8,61.7,97.50,45.00,8.75,71.25,65.02
Postsecondary teacher,Secondary school teacher,46.6,56.9,100.00,53.33,11.43,76.67,67.90
Facilities manager,Human resources worker,23.4,76.5,92.50,60.00,13.75,76.25,65.77
Software developer,Marketing specialist,20.2,61.7,100.00,22.50,7.50,61.25,56.66
Industrial production manager,Marketing manager,19.1,62.4,92.50,90.00,1.25,91.25,90.11
Facilities manager,Training and development specialist,23.4,56.7,97.50,62.50,-2.50,80.00,78.00
Software developer,Operations research analyst,20.2,55.0,100.00,80.00,6.25,90.00,84.38
Web and digital interface designer,Marketing specialist,42.7,61.7,100.00,27.50,1.25,63.75,62.95
Information security analyst,Administrative services manager,19.3,74.0,75.00,100.00,1.25,87.50,86.41
