occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,4.24,-0.27,55.00,17.50,2.25,36.25,35.43
Sales manager,Marketing manager,33.1,62.4,96.46,3.35,1.23,60.00,87.50,1.06,73.75,72.97
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.33,-1.24,100.00,57.50,1.28,78.75,77.74
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.49,-0.33,100.00,20.00,0.91,60.00,59.46
Project management specialist,Marketing manager,47.3,62.4,95.99,1.78,1.11,100.00,12.50,0.34,56.25,56.06
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.37,-0.72,85.00,100.00,0.55,92.50,92.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,2.87,-0.41,100.00,65.00,1.64,82.50,81.15
Management analyst,Marketing manager,46.6,62.4,94.88,0.15,0.90,100.00,7.50,-0.38,53.75,53.55
Sales manager,Public relations manager,33.1,66.4,94.60,5.48,-2.43,82.50,17.50,3.96,50.00,48.02
Management analyst,Marketing specialist,46.6,61.7,94.50,0.55,-0.49,100.00,2.50,0.52,51.25,50.98
Sales manager,Human resources manager,33.1,76.5,94.40,5.97,-3.67,52.50,90.00,4.82,71.25,67.81
Sales manager,Marketing specialist,33.1,61.7,94.34,4.44,-2.21,70.00,47.50,3.32,58.75,56.80
Training and development manager,Marketing manager,48.0,62.4,94.32,0.70,2.53,95.00,75.00,-0.91,85.00,84.22
Training and development manager,Administrative services manager,48.0,74.0,94.24,3.11,-0.87,32.50,100.00,1.99,66.25,64.93
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.57,-2.42,72.50,92.50,3.00,82.50,80.03
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.02,3.40,2.50,100.00,-2.21,51.25,50.12
Management analyst,Financial manager,46.6,56.2,94.00,-1.01,5.54,87.50,80.00,-3.28,83.75,81.00
Sales manager,Financial manager,33.1,56.2,93.76,1.02,3.50,20.00,100.00,-1.24,60.00,59.26
Training and development manager,Human resources manager,48.0,76.5,93.69,4.87,-0.81,82.50,85.00,2.84,83.75,81.37
Project management specialist,Public relations manager,47.3,66.4,93.13,2.67,-1.90,100.00,0.00,2.29,50.00,48.86
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.11,1.01,95.00,87.50,-0.56,91.25,90.74
Management analyst,Public relations manager,46.6,66.4,92.91,1.74,-1.48,100.00,2.50,1.61,51.25,50.42
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.53,-1.69,35.00,97.50,2.61,66.25,64.52
Training and development manager,Public relations manager,48.0,66.4,92.59,3.94,-0.83,92.50,5.00,2.38,48.75,47.59
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.13,2.30,47.50,97.50,-1.09,72.50,71.71
Project management specialist,Human resources manager,47.3,76.5,92.47,4.45,-2.75,100.00,42.50,3.60,71.25,68.68
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.99,-2.43,60.00,57.50,2.21,58.75,57.45
Management analyst,Human resources manager,46.6,76.5,92.37,2.64,-1.52,100.00,12.50,2.08,56.25,55.08
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.73,-1.40,100.00,52.50,1.57,76.25,75.05
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.11,2.33,55.00,100.00,-0.61,77.50,77.02
Project management specialist,Human resources worker,47.3,76.5,92.21,4.15,-3.37,100.00,37.50,3.76,68.75,66.17
Facilities manager,Human resources manager,23.4,76.5,92.06,2.18,-2.17,92.50,65.00,2.17,78.75,77.04
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.27,-3.27,100.00,62.50,2.27,81.25,79.40
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.20,0.13,95.00,35.00,1.03,65.00,64.33
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.06,-4.31,95.00,92.50,3.68,93.75,90.30
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,2.05,-4.15,100.00,60.00,3.10,80.00,77.52
Management analyst,Human resources worker,46.6,76.5,91.64,2.88,-2.84,100.00,15.00,2.86,57.50,55.86
Training and development manager,Human resources worker,48.0,76.5,91.58,6.79,-2.23,70.00,62.50,4.51,66.25,63.26
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.66,0.95,95.00,92.50,-0.14,93.75,93.62
Project management specialist,Financial manager,47.3,56.2,91.15,1.50,4.10,52.50,95.00,-1.30,73.75,72.79
Sales manager,Human resources worker,33.1,76.5,91.09,6.97,-4.58,52.50,77.50,5.77,65.00,61.25
Facilities manager,Marketing manager,23.4,62.4,90.92,0.61,0.95,95.00,65.00,-0.17,80.00,79.87
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.89,-1.54,37.50,100.00,1.21,68.75,67.92
Sales manager,Administrative services manager,33.1,74.0,90.73,3.29,-2.26,7.50,100.00,2.78,53.75,52.26
Management analyst,Administrative services manager,46.6,74.0,90.68,1.78,-2.19,85.00,92.50,1.99,88.75,86.99
Purchasing manager,Human resources worker,47.7,76.5,90.36,4.68,-2.42,32.50,97.50,3.55,65.00,62.69
Management analyst,Training and development specialist,46.6,56.7,90.32,2.03,-0.22,100.00,5.00,1.12,52.50,51.91
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.25,-3.75,100.00,5.00,2.50,52.50,51.19
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,4.46,-4.60,100.00,40.00,4.53,70.00,66.83
Facilities manager,Public relations manager,23.4,66.4,90.26,1.83,-2.20,97.50,15.00,2.01,56.25,55.12
Sales manager,Training and development specialist,33.1,56.7,90.18,6.54,-2.93,60.00,57.50,4.73,58.75,55.97
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,5.46,-5.37,82.50,97.50,5.41,90.00,85.13
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.34,0.66,97.50,100.00,-0.16,98.75,98.59
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.69,-1.20,52.50,97.50,0.95,75.00,74.29
Training and development manager,Financial manager,48.0,56.2,90.06,-1.04,5.56,7.50,100.00,-3.30,53.75,51.97
Sales manager,Advertising sales agent,33.1,52.7,89.99,2.84,-0.55,82.50,11.54,1.70,47.02,46.22
Management analyst,Accountant,46.6,57.0,89.84,1.50,1.52,85.00,72.50,-0.01,78.75,78.74
Industrial production manager,Human resources manager,19.1,76.5,89.80,6.54,-3.48,92.50,95.00,5.01,93.75,89.06
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.40,-2.49,100.00,7.50,1.95,53.75,52.70
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.91,-1.42,0.00,100.00,1.17,50.00,49.42
Industrial production manager,Financial manager,19.1,56.2,89.51,2.65,2.39,55.00,100.00,0.13,77.50,77.40
Operation manager,Financial manager,37.1,56.2,89.31,0.86,4.35,77.50,100.00,-1.75,88.75,87.20
Industrial production manager,Human resources worker,19.1,76.5,89.29,7.86,-4.76,87.50,85.00,6.31,86.25,80.81
Sales manager,Insurance sales agent,33.1,54.9,89.13,3.85,-1.38,97.50,18.18,2.62,57.84,56.33
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,1.53,-3.31,97.50,45.00,2.42,71.25,69.53
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-0.66,-7.95,100.00,53.33,3.64,76.67,73.87
Facilities manager,Human resources worker,23.4,76.5,88.96,2.94,-2.86,92.50,60.00,2.90,76.25,74.04
Software developer,Marketing specialist,20.2,61.7,88.94,7.36,-6.97,100.00,22.50,7.17,61.25,56.86
Industrial production manager,Marketing manager,19.1,62.4,88.93,5.47,-0.24,92.50,90.00,2.86,91.25,88.64
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.13,-0.72,97.50,62.50,0.43,80.00,79.66
Software developer,Operations research analyst,20.2,55.0,88.88,7.14,-6.63,100.00,80.00,6.88,90.00,83.81
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,2.36,-3.26,100.00,27.50,2.81,63.75,61.96
Information security analyst,Administrative services manager,19.3,74.0,88.53,3.70,-2.78,75.00,100.00,3.24,87.50,84.67
Industrial production manager,Operations research analyst,19.1,55.0,88.39,4.53,-0.53,72.50,92.50,2.53,82.50,80.41
Facilities manager,Financial manager,23.4,56.2,88.37,-1.66,3.16,80.00,95.00,-2.41,87.50,85.39
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,4.85,-0.45,97.50,40.00,2.65,68.75,66.93
Industrial production manager,Public relations manager,19.1,66.4,88.35,5.68,-3.47,97.50,42.50,4.58,70.00,66.80
Project management specialist,Public relations specialist,47.3,76.2,88.35,2.19,-3.29,100.00,32.50,2.74,66.25,64.43
Industrial production manager,Administrative services manager,19.1,74.0,88.30,5.74,-2.69,57.50,100.00,4.22,78.75,75.43
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.14,-1.46,97.50,60.00,1.30,78.75,77.72
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,5.63,-2.41,97.50,25.00,4.02,61.25,58.79
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.49,-2.48,67.86,100.00,1.49,83.93,82.68
Operation manager,Marketing manager,37.1,62.4,88.12,2.53,2.06,97.50,85.00,0.24,91.25,91.03
Industrial production manager,Training and development specialist,19.1,56.7,88.10,6.13,-2.11,97.50,87.50,4.12,92.50,88.69
Purchasing manager,Accountant,47.7,57.0,88.07,0.69,0.03,0.00,97.50,0.33,48.75,48.59
