occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,55.00,23.75,77.50,59.09
Sales manager,Marketing manager,33.1,62.4,30.00,57.50,0.00,43.75,43.75
Project management specialist,Training and development specialist,47.3,56.7,87.50,10.00,1.25,48.75,48.14
Project management specialist,Marketing specialist,47.3,61.7,100.00,2.50,1.25,51.25,50.61
Project management specialist,Marketing manager,47.3,62.4,100.00,5.00,-1.25,52.50,51.84
Information security analyst,Operations research analyst,19.3,55.0,15.00,52.50,12.50,33.75,29.53
Financial and investment analyst,Operations research analyst,43.9,55.0,80.00,17.50,-2.50,48.75,47.53
Management analyst,Marketing manager,46.6,62.4,100.00,0.00,0.00,50.00,50.00
Sales manager,Public relations manager,33.1,66.4,92.50,40.00,15.00,66.25,56.31
Management analyst,Marketing specialist,46.6,61.7,100.00,2.50,-1.25,51.25,50.61
Sales manager,Human resources manager,33.1,76.5,10.00,62.50,12.50,36.25,31.72
Sales manager,Marketing specialist,33.1,61.7,92.50,60.00,13.75,76.25,65.77
Training and development manager,Marketing manager,48.0,62.4,55.00,10.00,-10.00,32.50,29.25
Training and development manager,Administrative services manager,48.0,74.0,0.00,90.00,6.25,45.00,42.19
Project management specialist,Administrative services manager,47.3,74.0,35.00,80.00,16.25,57.50,48.16
Purchasing manager,Financial manager,47.7,56.2,0.00,100.00,0.00,50.00,50.00
Management analyst,Financial manager,46.6,56.2,30.00,45.00,-6.25,37.50,35.16
Sales manager,Financial manager,33.1,56.2,0.00,97.50,0.00,48.75,48.75
Training and development manager,Human resources manager,48.0,76.5,15.00,35.00,20.00,25.00,20.00
Project management specialist,Public relations manager,47.3,66.4,100.00,5.00,0.00,52.50,52.50
Management analyst,Operations research analyst,46.6,55.0,80.00,10.00,-2.50,45.00,43.88
Management analyst,Public relations manager,46.6,66.4,100.00,2.50,-1.25,51.25,50.61
Purchasing manager,Human resources manager,47.7,76.5,5.00,85.00,6.25,45.00,42.19
Training and development manager,Public relations manager,48.0,66.4,97.50,7.50,1.25,52.50,51.84
Purchasing manager,Marketing manager,47.7,62.4,27.50,85.00,0.00,56.25,56.25
Project management specialist,Human resources manager,47.3,76.5,100.00,30.00,16.25,65.00,54.44
Purchasing manager,Public relations manager,47.7,66.4,57.50,62.50,8.75,60.00,54.75
Management analyst,Human resources manager,46.6,76.5,100.00,7.50,5.00,53.75,51.06
Architectural and engineering manager,Marketing manager,12.8,62.4,92.50,10.00,3.75,51.25,49.33
Financial and investment analyst,Financial manager,43.9,56.2,2.50,80.00,3.75,41.25,39.70
Project management specialist,Human resources worker,47.3,76.5,95.00,10.00,7.50,52.50,48.56
Facilities manager,Human resources manager,23.4,76.5,77.50,40.00,12.50,58.75,51.41
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,15.00,10.00,55.00,49.50
