occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.93,-3.84,100.00,55.00,2.39,77.50,75.65
Sales manager,Marketing manager,33.1,62.4,96.46,-0.80,-2.23,30.00,57.50,0.72,43.75,43.44
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.93,-2.68,87.50,10.00,1.80,48.75,47.87
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.19,-0.96,100.00,2.50,0.39,51.25,51.05
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.98,-1.34,100.00,5.00,0.18,52.50,52.41
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.72,-3.22,15.00,52.50,0.75,33.75,33.50
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,2.31,-1.84,80.00,17.50,2.07,48.75,47.74
Management analyst,Marketing manager,46.6,62.4,94.88,-1.52,-0.22,100.00,0.00,-0.65,50.00,49.67
Sales manager,Public relations manager,33.1,66.4,94.60,2.29,-4.33,92.50,40.00,3.31,66.25,64.06
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.40,0.10,100.00,2.50,-0.25,51.25,51.12
Sales manager,Human resources manager,33.1,76.5,94.40,3.52,-6.29,10.00,62.50,4.91,36.25,34.47
Sales manager,Marketing specialist,33.1,61.7,94.34,1.55,-3.65,92.50,60.00,2.60,76.25,74.27
Training and development manager,Marketing manager,48.0,62.4,94.32,-3.16,-1.05,55.00,10.00,-1.05,32.50,32.16
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.01,-2.91,0.00,90.00,1.45,45.00,44.35
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.16,-3.02,35.00,80.00,2.59,57.50,56.01
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.83,1.68,0.00,100.00,-1.76,50.00,49.12
Management analyst,Financial manager,46.6,56.2,94.00,-4.29,1.43,30.00,45.00,-2.86,37.50,36.43
Sales manager,Financial manager,33.1,56.2,93.76,-1.95,0.75,0.00,97.50,-1.35,48.75,48.09
Training and development manager,Human resources manager,48.0,76.5,93.69,0.94,-5.25,15.00,35.00,3.10,25.00,24.23
Project management specialist,Public relations manager,47.3,66.4,93.13,0.87,-3.81,100.00,5.00,2.34,52.50,51.27
