occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,27.50,22.50,5.00,25.00,23.75
Sales manager,Marketing manager,33.1,62.4,72.50,95.00,8.75,83.75,76.42
Project management specialist,Training and development specialist,47.3,56.7,100.00,17.50,12.50,58.75,51.41
Project management specialist,Marketing specialist,47.3,61.7,100.00,2.50,0.00,51.25,51.25
Project management specialist,Marketing manager,47.3,62.4,100.00,5.00,1.25,52.50,51.84
Information security analyst,Operations research analyst,19.3,55.0,75.00,77.50,7.50,76.25,70.53
Financial and investment analyst,Operations research analyst,43.9,55.0,87.50,32.50,12.50,60.00,52.50
Management analyst,Marketing manager,46.6,62.4,100.00,7.50,3.75,53.75,51.73
Sales manager,Public relations manager,33.1,66.4,75.00,80.00,37.50,77.50,48.44
Management analyst,Marketing specialist,46.6,61.7,100.00,2.50,2.50,51.25,49.97
Sales manager,Human resources manager,33.1,76.5,5.00,92.50,5.00,48.75,46.31
Sales manager,Marketing specialist,33.1,61.7,65.00,80.00,18.75,72.50,58.91
Training and development manager,Marketing manager,48.0,62.4,92.50,40.00,2.50,66.25,64.59
Training and development manager,Administrative services manager,48.0,74.0,2.50,100.00,0.00,51.25,51.25
Project management specialist,Administrative services manager,47.3,74.0,50.00,75.00,12.50,62.50,54.69
Purchasing manager,Financial manager,47.7,56.2,35.00,80.00,-7.50,57.50,53.19
Management analyst,Financial manager,46.6,56.2,82.50,20.00,-2.50,51.25,49.97
Sales manager,Financial manager,33.1,56.2,20.00,97.50,-10.00,58.75,52.88
Training and development manager,Human resources manager,48.0,76.5,5.00,90.00,12.50,47.50,41.56
Project management specialist,Public relations manager,47.3,66.4,100.00,2.50,1.25,51.25,50.61
Management analyst,Operations research analyst,46.6,55.0,52.50,87.50,6.25,70.00,65.62
Management analyst,Public relations manager,46.6,66.4,100.00,7.50,1.25,53.75,53.08
Purchasing manager,Human resources manager,47.7,76.5,22.50,85.00,26.25,53.75,39.64
Training and development manager,Public relations manager,48.0,66.4,100.00,22.50,12.50,61.25,53.59
Purchasing manager,Marketing manager,47.7,62.4,92.50,57.50,16.25,75.00,62.81
Project management specialist,Human resources manager,47.3,76.5,87.50,5.00,13.75,46.25,39.89
Purchasing manager,Public relations manager,47.7,66.4,97.50,20.00,23.75,58.75,44.80
Management analyst,Human resources manager,46.6,76.5,95.00,47.50,10.00,71.25,64.12
Architectural and engineering manager,Marketing manager,12.8,62.4,97.50,7.50,3.75,52.50,50.53
Financial and investment analyst,Financial manager,43.9,56.2,95.00,0.00,-2.50,47.50,46.31
Project management specialist,Human resources worker,47.3,76.5,95.00,7.50,8.75,51.25,46.77
Facilities manager,Human resources manager,23.4,76.5,37.50,95.00,23.75,66.25,50.52
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,57.50,17.50,78.75,64.97
Training and development manager,Marketing specialist,48.0,61.7,95.00,32.50,0.00,63.75,63.75
Architectural and engineering manager,Administrative services manager,12.8,74.0,77.50,90.00,10.00,83.75,75.38
Architectural and engineering manager,Human resources manager,12.8,76.5,92.50,45.00,32.50,68.75,46.41
Management analyst,Human resources worker,46.6,76.5,97.50,5.00,7.50,51.25,47.41
Training and development manager,Human resources worker,48.0,76.5,37.50,65.00,36.25,51.25,32.67
Project management specialist,Operations research analyst,47.3,55.0,77.50,85.00,0.00,81.25,81.25
Project management specialist,Financial manager,47.3,56.2,67.50,17.50,-3.75,42.50,40.91
Sales manager,Human resources worker,33.1,76.5,30.00,92.50,20.00,61.25,49.00
Facilities manager,Marketing manager,23.4,62.4,90.00,60.00,16.25,75.00,62.81
Facilities manager,Administrative services manager,23.4,74.0,5.00,97.50,3.75,51.25,49.33
Sales manager,Administrative services manager,33.1,74.0,0.00,100.00,0.00,50.00,50.00
Management analyst,Administrative services manager,46.6,74.0,47.50,70.00,6.25,58.75,55.08
Purchasing manager,Human resources worker,47.7,76.5,40.00,75.00,43.75,57.50,32.34
Management analyst,Training and development specialist,46.6,56.7,100.00,25.00,10.00,62.50,56.25
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,5.00,8.75,52.50,47.91
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,42.50,16.25,71.25,59.67
Facilities manager,Public relations manager,23.4,66.4,92.50,55.00,25.00,73.75,55.31
Sales manager,Training and development specialist,33.1,56.7,37.50,85.00,16.25,61.25,51.30
Financial and investment analyst,Administrative services manager,43.9,74.0,80.00,60.00,21.25,70.00,55.12
Architectural and engineering manager,Financial manager,12.8,56.2,90.00,45.00,12.50,67.50,59.06
Purchasing manager,Marketing specialist,47.7,61.7,90.00,42.50,13.75,66.25,57.14
