occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,2.20,-4.58,27.50,22.50,3.39,25.00,24.15
Sales manager,Marketing manager,33.1,62.4,96.46,2.32,-6.54,72.50,95.00,4.43,83.75,80.04
Project management specialist,Training and development specialist,47.3,56.7,96.32,2.89,-6.70,100.00,17.50,4.80,58.75,55.93
Project management specialist,Marketing specialist,47.3,61.7,96.15,2.61,-3.59,100.00,2.50,3.10,51.25,49.66
Project management specialist,Marketing manager,47.3,62.4,95.99,0.70,-2.58,100.00,5.00,1.64,52.50,51.64
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.69,-5.38,75.00,77.50,3.54,76.25,73.55
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.16,-8.04,87.50,32.50,4.60,60.00,57.24
Management analyst,Marketing manager,46.6,62.4,94.88,-1.75,-4.29,100.00,7.50,1.27,53.75,53.07
Sales manager,Public relations manager,33.1,66.4,94.60,6.36,-10.10,75.00,80.00,8.23,77.50,71.12
Management analyst,Marketing specialist,46.6,61.7,94.50,0.02,-5.88,100.00,2.50,2.95,51.25,49.74
Sales manager,Human resources manager,33.1,76.5,94.40,5.62,-10.48,5.00,92.50,8.05,48.75,44.82
Sales manager,Marketing specialist,33.1,61.7,94.34,3.48,-6.88,65.00,80.00,5.18,72.50,68.74
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.11,-2.65,92.50,40.00,0.77,66.25,65.74
Training and development manager,Administrative services manager,48.0,74.0,94.24,2.25,-4.00,2.50,100.00,3.12,51.25,49.65
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.22,-5.46,50.00,75.00,4.34,62.50,59.79
Purchasing manager,Financial manager,47.7,56.2,94.07,-3.87,-4.53,35.00,80.00,0.33,57.50,57.31
Management analyst,Financial manager,46.6,56.2,94.00,-5.43,-1.83,82.50,20.00,-1.80,51.25,50.33
Sales manager,Financial manager,33.1,56.2,93.76,-4.52,-2.90,20.00,97.50,-0.81,58.75,58.27
Training and development manager,Human resources manager,48.0,76.5,93.69,5.19,-4.58,5.00,90.00,4.88,47.50,45.18
Project management specialist,Public relations manager,47.3,66.4,93.13,3.05,-3.89,100.00,2.50,3.47,51.25,49.47
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.01,-1.19,52.50,87.50,0.09,70.00,69.94
Management analyst,Public relations manager,46.6,66.4,92.91,-0.17,-4.67,100.00,7.50,2.25,53.75,52.54
Purchasing manager,Human resources manager,47.7,76.5,92.77,7.58,-11.31,22.50,85.00,9.45,53.75,48.67
Training and development manager,Public relations manager,48.0,66.4,92.59,3.77,-4.28,100.00,22.50,4.02,61.25,58.79
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.36,-6.29,92.50,57.50,4.33,75.00,71.76
Project management specialist,Human resources manager,47.3,76.5,92.47,5.93,-8.84,87.50,5.00,7.39,46.25,42.83
Purchasing manager,Public relations manager,47.7,66.4,92.38,6.17,-9.34,97.50,20.00,7.75,58.75,54.20
Management analyst,Human resources manager,46.6,76.5,92.37,1.94,-8.78,95.00,47.50,5.36,71.25,67.43
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,2.92,-8.65,97.50,7.50,5.78,52.50,49.46
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.87,-2.33,95.00,0.00,0.23,47.50,47.39
Project management specialist,Human resources worker,47.3,76.5,92.21,7.00,-6.95,95.00,7.50,6.98,51.25,47.67
Facilities manager,Human resources manager,23.4,76.5,92.06,10.07,-10.20,37.50,95.00,10.14,66.25,59.53
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,4.04,-15.52,100.00,57.50,9.78,78.75,71.04
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.83,-2.63,95.00,32.50,1.73,63.75,62.65
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,4.96,-13.67,77.50,90.00,9.31,83.75,75.95
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,6.52,-17.13,92.50,45.00,11.82,68.75,60.62
Management analyst,Human resources worker,46.6,76.5,91.64,4.89,-7.75,97.50,5.00,6.32,51.25,48.01
Training and development manager,Human resources worker,48.0,76.5,91.58,8.03,-6.70,37.50,65.00,7.37,51.25,47.48
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.23,-0.56,77.50,85.00,-0.33,81.25,80.98
Project management specialist,Financial manager,47.3,56.2,91.15,-5.72,-2.00,67.50,17.50,-1.86,42.50,41.71
