occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,92.50,70.00,10.00,81.25,73.12
Sales manager,Marketing manager,33.1,62.4,7.50,47.50,18.75,27.50,22.34
Project management specialist,Training and development specialist,47.3,56.7,100.00,10.00,1.25,55.00,54.31
Project management specialist,Marketing specialist,47.3,61.7,100.00,0.00,0.00,50.00,50.00
Project management specialist,Marketing manager,47.3,62.4,100.00,2.50,0.00,51.25,51.25
Information security analyst,Operations research analyst,19.3,55.0,52.50,62.50,11.25,57.50,51.03
Financial and investment analyst,Operations research analyst,43.9,55.0,87.50,42.50,8.75,65.00,59.31
Management analyst,Marketing manager,46.6,62.4,100.00,2.50,1.25,51.25,50.61
Sales manager,Public relations manager,33.1,66.4,42.50,50.00,50.00,46.25,23.12
Management analyst,Marketing specialist,46.6,61.7,100.00,0.00,1.25,50.00,49.38
Sales manager,Human resources manager,33.1,76.5,15.00,95.00,10.00,55.00,49.50
Sales manager,Marketing specialist,33.1,61.7,30.00,52.50,27.50,41.25,29.91
Training and development manager,Marketing manager,48.0,62.4,85.00,15.00,5.00,50.00,47.50
Training and development manager,Administrative services manager,48.0,74.0,0.00,100.00,0.00,50.00,50.00
Project management specialist,Administrative services manager,47.3,74.0,70.00,95.00,8.75,82.50,75.28
Purchasing manager,Financial manager,47.7,56.2,42.50,82.50,3.75,62.50,60.16
Management analyst,Financial manager,46.6,56.2,87.50,30.00,-17.50,58.75,48.47
Sales manager,Financial manager,33.1,56.2,5.00,95.00,-5.00,50.00,47.50
Training and development manager,Human resources manager,48.0,76.5,12.50,85.00,22.50,48.75,37.78
Project management specialist,Public relations manager,47.3,66.4,100.00,0.00,1.25,50.00,49.38
Management analyst,Operations research analyst,46.6,55.0,72.50,95.00,10.00,83.75,75.37
Management analyst,Public relations manager,46.6,66.4,100.00,2.50,5.00,51.25,48.69
Purchasing manager,Human resources manager,47.7,76.5,17.50,75.00,28.75,46.25,32.95
Training and development manager,Public relations manager,48.0,66.4,77.50,2.50,8.75,40.00,36.50
Purchasing manager,Marketing manager,47.7,62.4,90.00,35.00,7.50,62.50,57.81
Project management specialist,Human resources manager,47.3,76.5,92.50,17.50,18.75,55.00,44.69
Purchasing manager,Public relations manager,47.7,66.4,92.50,7.50,12.50,50.00,43.75
Management analyst,Human resources manager,46.6,76.5,95.00,42.50,12.50,68.75,60.16
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,17.50,6.25,58.75,55.08
Financial and investment analyst,Financial manager,43.9,56.2,100.00,17.50,1.25,58.75,58.02
Project management specialist,Human resources worker,47.3,76.5,97.50,7.50,10.00,52.50,47.25
Facilities manager,Human resources manager,23.4,76.5,17.50,70.00,30.00,43.75,30.62
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,40.00,21.25,67.50,53.16
Training and development manager,Marketing specialist,48.0,61.7,85.00,10.00,2.50,47.50,46.31
