occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.02,-1.24,92.50,70.00,2.13,81.25,79.52
Sales manager,Marketing manager,33.1,62.4,96.46,6.74,-3.68,7.50,47.50,5.21,27.50,26.07
Project management specialist,Training and development specialist,47.3,56.7,96.32,4.84,-4.22,100.00,10.00,4.53,55.00,52.51
Project management specialist,Marketing specialist,47.3,61.7,96.15,2.90,-3.74,100.00,0.00,3.32,50.00,48.34
Project management specialist,Marketing manager,47.3,62.4,95.99,1.11,-1.87,100.00,2.50,1.49,51.25,50.49
Information security analyst,Operations research analyst,19.3,55.0,95.42,7.43,-2.67,52.50,62.50,5.05,57.50,54.59
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,7.49,-1.35,87.50,42.50,4.42,65.00,62.13
Management analyst,Marketing manager,46.6,62.4,94.88,1.52,1.15,100.00,2.50,0.19,51.25,51.15
Sales manager,Public relations manager,33.1,66.4,94.60,9.50,-8.16,42.50,50.00,8.83,46.25,42.17
Management analyst,Marketing specialist,46.6,61.7,94.50,3.49,-0.87,100.00,0.00,2.18,50.00,48.91
Sales manager,Human resources manager,33.1,76.5,94.40,9.88,-7.14,15.00,95.00,8.51,55.00,50.32
Sales manager,Marketing specialist,33.1,61.7,94.34,6.16,-4.43,30.00,52.50,5.29,41.25,39.07
Training and development manager,Marketing manager,48.0,62.4,94.32,2.61,-0.26,85.00,15.00,1.43,50.00,49.28
Training and development manager,Administrative services manager,48.0,74.0,94.24,4.61,-1.35,0.00,100.00,2.98,50.00,48.51
Project management specialist,Administrative services manager,47.3,74.0,94.20,4.67,-1.36,70.00,95.00,3.02,82.50,80.01
Purchasing manager,Financial manager,47.7,56.2,94.07,4.66,4.51,42.50,82.50,0.08,62.50,62.45
Management analyst,Financial manager,46.6,56.2,94.00,1.18,5.42,87.50,30.00,-2.12,58.75,57.51
Sales manager,Financial manager,33.1,56.2,93.76,2.32,3.28,5.00,95.00,-0.48,50.00,49.76
Training and development manager,Human resources manager,48.0,76.5,93.69,4.93,-7.01,12.50,85.00,5.97,48.75,45.84
Project management specialist,Public relations manager,47.3,66.4,93.13,2.77,-5.00,100.00,0.00,3.89,50.00,48.06
Management analyst,Operations research analyst,46.6,55.0,92.92,3.65,2.62,72.50,95.00,0.52,83.75,83.32
Management analyst,Public relations manager,46.6,66.4,92.91,3.66,-1.00,100.00,2.50,2.33,51.25,50.05
Purchasing manager,Human resources manager,47.7,76.5,92.77,10.53,-8.80,17.50,75.00,9.67,46.25,41.78
Training and development manager,Public relations manager,48.0,66.4,92.59,4.54,-5.35,77.50,2.50,4.94,40.00,38.02
Purchasing manager,Marketing manager,47.7,62.4,92.52,5.57,-2.92,90.00,35.00,4.24,62.50,59.85
Project management specialist,Human resources manager,47.3,76.5,92.47,7.09,-7.67,92.50,17.50,7.38,55.00,50.94
Purchasing manager,Public relations manager,47.7,66.4,92.38,7.55,-7.39,92.50,7.50,7.47,50.00,46.26
Management analyst,Human resources manager,46.6,76.5,92.37,7.95,-4.29,95.00,42.50,6.12,68.75,64.54
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,3.13,-7.48,100.00,17.50,5.31,58.75,55.63
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.88,1.39,100.00,17.50,0.25,58.75,58.60
Project management specialist,Human resources worker,47.3,76.5,92.21,6.24,-7.26,97.50,7.50,6.75,52.50,48.96
Facilities manager,Human resources manager,23.4,76.5,92.06,11.45,-8.09,17.50,70.00,9.77,43.75,39.48
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,4.87,-10.00,95.00,40.00,7.44,67.50,62.48
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.92,-2.08,85.00,10.00,2.50,47.50,46.31
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,8.43,-6.61,87.50,95.00,7.52,91.25,84.39
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,7.39,-12.89,95.00,62.50,10.14,78.75,70.77
Management analyst,Human resources worker,46.6,76.5,91.64,7.71,-4.71,100.00,7.50,6.21,53.75,50.41
Training and development manager,Human resources worker,48.0,76.5,91.58,7.00,-8.17,62.50,75.00,7.59,68.75,63.53
Project management specialist,Operations research analyst,47.3,55.0,91.31,1.66,1.43,67.50,77.50,0.12,72.50,72.41
Project management specialist,Financial manager,47.3,56.2,91.15,0.82,5.89,92.50,50.00,-2.53,71.25,69.44
Sales manager,Human resources worker,33.1,76.5,91.09,10.73,-7.71,25.00,90.00,9.22,57.50,52.20
Facilities manager,Marketing manager,23.4,62.4,90.92,7.35,-1.91,70.00,32.50,4.63,51.25,48.88
Facilities manager,Administrative services manager,23.4,74.0,90.81,10.26,-2.05,7.50,100.00,6.15,53.75,50.44
Sales manager,Administrative services manager,33.1,74.0,90.73,6.51,-2.47,2.50,100.00,4.49,51.25,48.95
Management analyst,Administrative services manager,46.6,74.0,90.68,5.57,2.82,62.50,85.00,1.37,73.75,72.74
Purchasing manager,Human resources worker,47.7,76.5,90.36,11.64,-10.42,30.00,62.50,11.03,46.25,41.15
