occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,7.50,-5.00,53.75,51.06
Sales manager,Marketing manager,33.1,62.4,85.00,100.00,7.50,92.50,85.56
Project management specialist,Training and development specialist,47.3,56.7,100.00,22.50,5.00,61.25,58.19
Project management specialist,Marketing specialist,47.3,61.7,100.00,0.00,0.00,50.00,50.00
Project management specialist,Marketing manager,47.3,62.4,100.00,0.00,-1.25,50.00,49.38
Information security analyst,Operations research analyst,19.3,55.0,92.50,70.00,1.25,81.25,80.23
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,22.50,6.25,61.25,57.42
Management analyst,Marketing manager,46.6,62.4,97.50,60.00,11.25,78.75,69.89
Sales manager,Public relations manager,33.1,66.4,72.50,80.00,33.75,76.25,50.52
Management analyst,Marketing specialist,46.6,61.7,100.00,32.50,11.25,66.25,58.80
Sales manager,Human resources manager,33.1,76.5,20.00,85.00,18.75,52.50,42.66
Sales manager,Marketing specialist,33.1,61.7,87.50,85.00,7.50,86.25,79.78
Training and development manager,Marketing manager,48.0,62.4,100.00,70.00,12.50,85.00,74.38
Training and development manager,Administrative services manager,48.0,74.0,52.50,100.00,27.50,76.25,55.28
Project management specialist,Administrative services manager,47.3,74.0,70.00,87.50,28.75,78.75,56.11
Purchasing manager,Financial manager,47.7,56.2,10.00,100.00,-6.25,55.00,51.56
Management analyst,Financial manager,46.6,56.2,17.50,95.00,-5.00,56.25,53.44
Sales manager,Financial manager,33.1,56.2,2.50,100.00,-1.25,51.25,50.61
Training and development manager,Human resources manager,48.0,76.5,25.00,100.00,16.25,62.50,52.34
Project management specialist,Public relations manager,47.3,66.4,100.00,17.50,3.75,58.75,56.55
Management analyst,Operations research analyst,46.6,55.0,80.00,95.00,-1.25,87.50,86.41
Management analyst,Public relations manager,46.6,66.4,100.00,52.50,10.00,76.25,68.62
Purchasing manager,Human resources manager,47.7,76.5,35.00,80.00,28.75,57.50,40.97
Training and development manager,Public relations manager,48.0,66.4,100.00,87.50,7.50,93.75,86.72
Purchasing manager,Marketing manager,47.7,62.4,97.50,65.00,1.25,81.25,80.23
Project management specialist,Human resources manager,47.3,76.5,85.00,37.50,30.00,61.25,42.88
Purchasing manager,Public relations manager,47.7,66.4,95.00,47.50,22.50,71.25,55.22
Management analyst,Human resources manager,46.6,76.5,57.50,82.50,6.25,70.00,65.62
Architectural and engineering manager,Marketing manager,12.8,62.4,100.00,27.50,18.75,63.75,51.80
Financial and investment analyst,Financial manager,43.9,56.2,62.50,32.50,-3.75,47.50,45.72
Project management specialist,Human resources worker,47.3,76.5,95.00,25.00,13.75,60.00,51.75
Facilities manager,Human resources manager,23.4,76.5,40.00,90.00,15.00,65.00,55.25
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,57.50,11.25,78.75,69.89
Training and development manager,Marketing specialist,48.0,61.7,100.00,72.50,10.00,86.25,77.63
Architectural and engineering manager,Administrative services manager,12.8,74.0,92.50,82.50,10.00,87.50,78.75
Architectural and engineering manager,Human resources manager,12.8,76.5,95.00,55.00,20.00,75.00,60.00
Management analyst,Human resources worker,46.6,76.5,90.00,45.00,30.00,67.50,47.25
Training and development manager,Human resources worker,48.0,76.5,75.00,62.50,46.25,68.75,36.95
Project management specialist,Operations research analyst,47.3,55.0,97.50,85.00,1.25,91.25,90.11
Project management specialist,Financial manager,47.3,56.2,60.00,65.00,-17.50,62.50,51.56
Sales manager,Human resources worker,33.1,76.5,45.00,80.00,25.00,62.50,46.88
Facilities manager,Marketing manager,23.4,62.4,92.50,82.50,-6.25,87.50,82.03
Facilities manager,Administrative services manager,23.4,74.0,12.50,97.50,7.50,55.00,50.88
Sales manager,Administrative services manager,33.1,74.0,0.00,100.00,1.25,50.00,49.38
Management analyst,Administrative services manager,46.6,74.0,40.00,97.50,11.25,68.75,61.02
Purchasing manager,Human resources worker,47.7,76.5,65.00,65.00,37.50,65.00,40.62
Management analyst,Training and development specialist,46.6,56.7,100.00,55.00,3.75,77.50,74.59
Architectural and engineering manager,Public relations manager,12.8,66.4,100.00,45.00,16.25,72.50,60.72
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,40.00,11.25,70.00,62.12
Facilities manager,Public relations manager,23.4,66.4,90.00,90.00,-1.25,90.00,88.88
Sales manager,Training and development specialist,33.1,56.7,92.50,77.50,-6.25,85.00,79.69
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,72.50,21.25,85.00,66.94
Architectural and engineering manager,Financial manager,12.8,56.2,90.00,72.50,-2.50,81.25,79.22
Purchasing manager,Marketing specialist,47.7,61.7,97.50,60.00,-7.50,78.75,72.84
Training and development manager,Financial manager,48.0,56.2,42.50,100.00,-18.75,71.25,57.89
Sales manager,Advertising sales agent,33.1,52.7,77.50,46.15,28.79,61.83,44.03
Management analyst,Accountant,46.6,57.0,85.00,50.00,3.75,67.50,64.97
Industrial production manager,Human resources manager,19.1,76.5,72.50,90.00,15.00,81.25,69.06
Facilities manager,Social and community service manager,23.4,71.7,85.00,67.50,6.25,76.25,71.48
Purchasing manager,Administrative services manager,47.7,74.0,15.00,95.00,8.75,55.00,50.19
Industrial production manager,Financial manager,19.1,56.2,62.50,100.00,-5.00,81.25,77.19
Operation manager,Financial manager,37.1,56.2,45.00,100.00,-6.25,72.50,67.97
Industrial production manager,Human resources worker,19.1,76.5,82.50,75.00,15.00,78.75,66.94
Sales manager,Insurance sales agent,33.1,54.9,90.00,36.36,9.68,63.18,57.07
Architectural and engineering manager,Marketing specialist,12.8,61.7,97.50,42.50,16.25,70.00,58.62
Postsecondary teacher,Secondary school teacher,46.6,56.9,97.50,56.67,4.29,77.08,73.78
Facilities manager,Human resources worker,23.4,76.5,57.50,92.50,23.75,75.00,57.19
Software developer,Marketing specialist,20.2,61.7,97.50,80.00,13.75,88.75,76.55
Industrial production manager,Marketing manager,19.1,62.4,97.50,47.50,16.25,72.50,60.72
Facilities manager,Training and development specialist,23.4,56.7,82.50,97.50,-7.50,90.00,83.25
Software developer,Operations research analyst,20.2,55.0,67.50,87.50,17.50,77.50,63.94
Web and digital interface designer,Marketing specialist,42.7,61.7,95.00,75.00,15.00,85.00,72.25
Information security analyst,Administrative services manager,19.3,74.0,82.50,95.00,2.50,88.75,86.53
Industrial production manager,Operations research analyst,19.1,55.0,90.00,100.00,-2.50,95.00,92.62
Facilities manager,Financial manager,23.4,56.2,45.00,97.50,-16.25,71.25,59.67
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,7.50,3.75,53.75,51.73
Industrial production manager,Public relations manager,19.1,66.4,97.50,82.50,8.75,90.00,82.12
Project management specialist,Public relations specialist,47.3,76.2,100.00,7.50,5.00,53.75,51.06
Industrial production manager,Administrative services manager,19.1,74.0,62.50,100.00,10.00,81.25,73.12
Facilities manager,Marketing specialist,23.4,61.7,100.00,82.50,-2.50,91.25,88.97
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,10.00,0.00,55.00,55.00
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,10.71,100.00,5.45,55.36,52.34
Operation manager,Marketing manager,37.1,62.4,97.50,52.50,12.50,75.00,65.62
Industrial production manager,Training and development specialist,19.1,56.7,97.50,90.00,1.25,93.75,92.58
Purchasing manager,Accountant,47.7,57.0,82.50,40.00,6.25,61.25,57.42
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,5.00,-1.25,52.50,51.84
Financial and investment analyst,Public relations manager,43.9,66.4,100.00,5.00,3.75,52.50,50.53
Chemical engineer,Medical scientist,21.6,51.8,47.50,94.74,-6.41,71.12,66.56
Operation manager,Human resources manager,37.1,76.5,65.00,57.50,22.50,61.25,47.47
Architectural and engineering manager,Human resources worker,12.8,76.5,100.00,52.50,23.75,76.25,58.14
Operation manager,Public relations manager,37.1,66.4,100.00,27.50,16.25,63.75,53.39
Training and development manager,Social and community service manager,48.0,71.7,95.00,90.00,10.00,92.50,83.25
Financial and investment analyst,Accountant,43.9,57.0,97.50,20.00,6.25,58.75,55.08
Financial and investment analyst,Human resources manager,43.9,76.5,100.00,37.50,26.25,68.75,50.70
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,100.00,34.21,7.69,67.11,61.94
Purchasing manager,Training and development specialist,47.7,56.7,97.50,87.50,-3.75,92.50,89.03
Web developer,Graphic designer,19.4,54.7,52.50,91.89,10.39,72.20,64.70
Purchasing manager,Social and community service manager,47.7,71.7,80.00,72.50,2.50,76.25,74.34
Chemical engineer,Biological scientist,21.6,55.0,60.00,97.30,-2.60,78.65,76.61
Dentist,Dental hygienist,39.5,95.7,57.89,66.67,53.66,62.28,28.86
Software quality tester,Operations research analyst,44.1,55.0,57.50,95.00,-2.50,76.25,74.34
Web and digital interface designer,Graphic designer,42.7,54.7,50.00,54.05,14.29,52.03,44.59
Information security analyst,Training and development specialist,19.3,56.7,100.00,85.00,6.25,92.50,86.72
Software developer,Graphic designer,20.2,54.7,77.50,86.49,11.69,81.99,72.41
Architectural and engineering manager,Social and community service manager,12.8,71.7,100.00,65.00,7.50,82.50,76.31
Web and digital interface designer,Operations research analyst,42.7,55.0,80.00,92.50,0.00,86.25,86.25
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,92.86,36.36,-5.13,64.61,61.30
Lawyer,Paralegal,39.5,83.0,95.00,30.00,26.25,62.50,46.09
