occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.35,-1.95,100.00,7.50,0.80,53.75,53.32
Sales manager,Marketing manager,33.1,62.4,96.46,3.94,-3.26,85.00,100.00,3.60,92.50,89.17
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.03,-4.08,100.00,22.50,2.55,61.25,59.69
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.71,-6.00,100.00,0.00,3.86,50.00,48.07
Project management specialist,Marketing manager,47.3,62.4,95.99,1.86,-5.78,100.00,0.00,3.82,50.00,48.09
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.31,1.20,92.50,70.00,-1.75,81.25,79.82
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.34,-8.66,100.00,22.50,4.50,61.25,58.49
Management analyst,Marketing manager,46.6,62.4,94.88,-4.11,-7.92,97.50,60.00,1.91,78.75,77.25
Sales manager,Public relations manager,33.1,66.4,94.60,9.60,-8.63,72.50,80.00,9.12,76.25,69.30
Management analyst,Marketing specialist,46.6,61.7,94.50,-2.80,-10.64,100.00,32.50,3.92,66.25,63.65
Sales manager,Human resources manager,33.1,76.5,94.40,10.62,-11.74,20.00,85.00,11.18,52.50,46.63
Sales manager,Marketing specialist,33.1,61.7,94.34,3.60,-3.30,87.50,85.00,3.45,86.25,83.28
Training and development manager,Marketing manager,48.0,62.4,94.32,2.10,-6.42,100.00,70.00,4.26,85.00,81.38
Training and development manager,Administrative services manager,48.0,74.0,94.24,14.79,-7.82,52.50,100.00,11.30,76.25,67.63
Project management specialist,Administrative services manager,47.3,74.0,94.20,14.66,-10.30,70.00,87.50,12.48,78.75,68.92
Purchasing manager,Financial manager,47.7,56.2,94.07,-9.77,3.44,10.00,100.00,-6.60,55.00,51.37
Management analyst,Financial manager,46.6,56.2,94.00,-10.37,2.87,17.50,95.00,-6.62,56.25,52.53
Sales manager,Financial manager,33.1,56.2,93.76,-4.20,4.15,2.50,100.00,-4.18,51.25,49.11
Training and development manager,Human resources manager,48.0,76.5,93.69,7.63,-10.75,25.00,100.00,9.19,62.50,56.75
Project management specialist,Public relations manager,47.3,66.4,93.13,3.16,-8.50,100.00,17.50,5.83,58.75,55.32
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.90,1.60,80.00,95.00,-1.75,87.50,85.97
Management analyst,Public relations manager,46.6,66.4,92.91,-0.29,-9.69,100.00,52.50,4.70,76.25,72.66
Purchasing manager,Human resources manager,47.7,76.5,92.77,9.00,-13.07,35.00,80.00,11.03,57.50,51.16
Training and development manager,Public relations manager,48.0,66.4,92.59,8.59,-7.29,100.00,87.50,7.94,93.75,86.31
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.13,-3.43,97.50,65.00,2.28,81.25,79.40
Project management specialist,Human resources manager,47.3,76.5,92.47,12.20,-12.26,85.00,37.50,12.23,61.25,53.76
Purchasing manager,Public relations manager,47.7,66.4,92.38,4.97,-11.68,95.00,47.50,8.32,71.25,65.32
Management analyst,Human resources manager,46.6,76.5,92.37,6.41,-8.44,57.50,82.50,7.42,70.00,64.80
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.83,-15.48,100.00,27.50,8.66,63.75,58.23
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-4.98,-5.22,62.50,32.50,0.12,47.50,47.44
Project management specialist,Human resources worker,47.3,76.5,92.21,11.39,-14.09,95.00,25.00,12.74,60.00,52.36
Facilities manager,Human resources manager,23.4,76.5,92.06,8.17,-7.19,40.00,90.00,7.68,65.00,60.01
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.70,-13.34,100.00,57.50,7.52,78.75,72.83
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.39,-4.81,100.00,72.50,3.60,86.25,83.15
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,7.50,-15.36,92.50,82.50,11.43,87.50,77.50
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,4.96,-22.23,95.00,55.00,13.60,75.00,64.80
Management analyst,Human resources worker,46.6,76.5,91.64,11.01,-17.64,90.00,45.00,14.33,67.50,57.83
Training and development manager,Human resources worker,48.0,76.5,91.58,13.03,-18.23,75.00,62.50,15.63,68.75,58.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.83,1.69,97.50,85.00,-1.26,91.25,90.10
Project management specialist,Financial manager,47.3,56.2,91.15,-4.27,7.98,60.00,65.00,-6.12,62.50,58.67
Sales manager,Human resources worker,33.1,76.5,91.09,14.96,-11.92,45.00,80.00,13.44,62.50,54.10
Facilities manager,Marketing manager,23.4,62.4,90.92,-3.94,0.82,92.50,82.50,-2.38,87.50,85.41
Facilities manager,Administrative services manager,23.4,74.0,90.81,8.87,-4.92,12.50,97.50,6.89,55.00,51.21
Sales manager,Administrative services manager,33.1,74.0,90.73,7.74,-7.95,0.00,100.00,7.85,50.00,46.08
Management analyst,Administrative services manager,46.6,74.0,90.68,7.28,-8.89,40.00,97.50,8.08,68.75,63.19
Purchasing manager,Human resources worker,47.7,76.5,90.36,13.93,-17.52,65.00,65.00,15.72,65.00,54.78
Management analyst,Training and development specialist,46.6,56.7,90.32,-1.92,-1.54,100.00,55.00,-0.19,77.50,77.35
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.40,-15.49,100.00,45.00,8.45,72.50,66.38
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.39,-8.72,100.00,40.00,5.06,70.00,66.46
Facilities manager,Public relations manager,23.4,66.4,90.26,1.15,2.93,90.00,90.00,-0.89,90.00,89.20
Sales manager,Training and development specialist,33.1,56.7,90.18,-3.41,-2.92,92.50,77.50,-0.25,85.00,84.79
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,7.92,-20.02,97.50,72.50,13.97,85.00,73.13
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-2.13,-4.51,90.00,72.50,1.19,81.25,80.28
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.31,4.58,97.50,60.00,-1.63,78.75,77.47
Training and development manager,Financial manager,48.0,56.2,90.06,-10.57,4.24,42.50,100.00,-7.41,71.25,65.97
Sales manager,Advertising sales agent,33.1,52.7,89.99,6.66,-12.84,77.50,46.15,9.75,61.83,55.80
Management analyst,Accountant,46.6,57.0,89.84,-2.38,-7.42,85.00,50.00,2.52,67.50,65.80
Industrial production manager,Human resources manager,19.1,76.5,89.80,9.45,-17.66,72.50,90.00,13.56,81.25,70.23
