occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,15.00,1.25,57.50,56.78
Sales manager,Marketing manager,33.1,62.4,2.50,20.00,8.75,11.25,10.27
Project management specialist,Training and development specialist,47.3,56.7,97.50,5.00,0.00,51.25,51.25
Project management specialist,Marketing specialist,47.3,61.7,100.00,0.00,-1.25,50.00,49.38
Project management specialist,Marketing manager,47.3,62.4,100.00,0.00,-1.25,50.00,49.38
Information security analyst,Operations research analyst,19.3,55.0,72.50,47.50,-1.25,60.00,59.25
Financial and investment analyst,Operations research analyst,43.9,55.0,92.50,27.50,-3.75,60.00,57.75
Management analyst,Marketing manager,46.6,62.4,77.50,25.00,15.00,51.25,43.56
Sales manager,Public relations manager,33.1,66.4,30.00,45.00,28.75,37.50,26.72
Management analyst,Marketing specialist,46.6,61.7,97.50,15.00,5.00,56.25,53.44
Sales manager,Human resources manager,33.1,76.5,10.00,80.00,16.25,45.00,37.69
Sales manager,Marketing specialist,33.1,61.7,27.50,35.00,12.50,31.25,27.34
Training and development manager,Marketing manager,48.0,62.4,55.00,10.00,11.25,32.50,28.84
Training and development manager,Administrative services manager,48.0,74.0,0.00,87.50,15.00,43.75,37.19
Project management specialist,Administrative services manager,47.3,74.0,62.50,65.00,40.00,63.75,38.25
Purchasing manager,Financial manager,47.7,56.2,7.50,97.50,-5.00,52.50,49.88
Management analyst,Financial manager,46.6,56.2,25.00,90.00,-8.75,57.50,52.47
Sales manager,Financial manager,33.1,56.2,0.00,100.00,0.00,50.00,50.00
Training and development manager,Human resources manager,48.0,76.5,2.50,72.50,18.75,37.50,30.47
Project management specialist,Public relations manager,47.3,66.4,100.00,2.50,1.25,51.25,50.61
Management analyst,Operations research analyst,46.6,55.0,52.50,85.00,0.00,68.75,68.75
Management analyst,Public relations manager,46.6,66.4,75.00,20.00,6.25,47.50,44.53
Purchasing manager,Human resources manager,47.7,76.5,17.50,57.50,36.25,37.50,23.91
Training and development manager,Public relations manager,48.0,66.4,42.50,5.00,17.50,23.75,19.59
Purchasing manager,Marketing manager,47.7,62.4,82.50,17.50,3.75,50.00,48.12
Project management specialist,Human resources manager,47.3,76.5,82.50,12.50,18.75,47.50,38.59
Purchasing manager,Public relations manager,47.7,66.4,62.50,10.00,15.00,36.25,30.81
Management analyst,Human resources manager,46.6,76.5,40.00,82.50,16.25,61.25,51.30
Architectural and engineering manager,Marketing manager,12.8,62.4,97.50,20.00,12.50,58.75,51.41
Financial and investment analyst,Financial manager,43.9,56.2,92.50,80.00,-2.50,86.25,84.09
Project management specialist,Human resources worker,47.3,76.5,90.00,17.50,11.25,53.75,47.70
Facilities manager,Human resources manager,23.4,76.5,15.00,72.50,15.00,43.75,37.19
Architectural and engineering manager,Training and development specialist,12.8,56.7,97.50,22.50,7.50,60.00,55.50
Training and development manager,Marketing specialist,48.0,61.7,72.50,5.00,5.00,38.75,36.81
