occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.52,-1.50,100.00,15.00,1.51,57.50,56.63
Sales manager,Marketing manager,33.1,62.4,96.46,4.14,-5.34,2.50,20.00,4.74,11.25,10.72
Project management specialist,Training and development specialist,47.3,56.7,96.32,5.79,1.94,97.50,5.00,1.93,51.25,50.26
Project management specialist,Marketing specialist,47.3,61.7,96.15,3.81,-2.71,100.00,0.00,3.26,50.00,48.37
Project management specialist,Marketing manager,47.3,62.4,95.99,3.74,-3.40,100.00,0.00,3.57,50.00,48.21
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.56,4.07,72.50,47.50,-2.82,60.00,58.31
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,5.94,0.91,92.50,27.50,2.52,60.00,58.49
Management analyst,Marketing manager,46.6,62.4,94.88,3.75,-1.88,77.50,25.00,2.82,51.25,49.81
Sales manager,Public relations manager,33.1,66.4,94.60,9.55,-10.97,30.00,45.00,10.26,37.50,33.65
Management analyst,Marketing specialist,46.6,61.7,94.50,4.06,-2.48,97.50,15.00,3.27,56.25,54.41
Sales manager,Human resources manager,33.1,76.5,94.40,9.16,-12.54,10.00,80.00,10.85,45.00,40.12
Sales manager,Marketing specialist,33.1,61.7,94.34,3.06,-4.59,27.50,35.00,3.82,31.25,30.06
Training and development manager,Marketing manager,48.0,62.4,94.32,6.76,-3.01,55.00,10.00,4.88,32.50,30.91
Training and development manager,Administrative services manager,48.0,74.0,94.24,8.29,-10.97,0.00,87.50,9.63,43.75,39.54
Project management specialist,Administrative services manager,47.3,74.0,94.20,14.83,-12.21,62.50,65.00,13.52,63.75,55.13
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.77,8.69,7.50,97.50,-4.73,52.50,50.01
Management analyst,Financial manager,46.6,56.2,94.00,-1.92,11.17,25.00,90.00,-6.55,57.50,53.74
Sales manager,Financial manager,33.1,56.2,93.76,-1.48,6.02,0.00,100.00,-3.75,50.00,48.12
Training and development manager,Human resources manager,48.0,76.5,93.69,9.82,-9.87,2.50,72.50,9.85,37.50,33.81
Project management specialist,Public relations manager,47.3,66.4,93.13,5.26,-4.95,100.00,2.50,5.10,51.25,48.64
Management analyst,Operations research analyst,46.6,55.0,92.92,2.79,5.16,52.50,85.00,-1.18,68.75,67.94
Management analyst,Public relations manager,46.6,66.4,92.91,3.64,-3.70,75.00,20.00,3.67,47.50,45.76
Purchasing manager,Human resources manager,47.7,76.5,92.77,10.59,-15.76,17.50,57.50,13.18,37.50,32.56
Training and development manager,Public relations manager,48.0,66.4,92.59,9.22,-7.96,42.50,5.00,8.59,23.75,21.71
Purchasing manager,Marketing manager,47.7,62.4,92.52,5.36,-3.44,82.50,17.50,4.40,50.00,47.80
Project management specialist,Human resources manager,47.3,76.5,92.47,15.48,-8.26,82.50,12.50,11.87,47.50,41.86
Purchasing manager,Public relations manager,47.7,66.4,92.38,8.95,-9.51,62.50,10.00,9.23,36.25,32.90
