occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,7.50,-7.50,53.75,49.72
Sales manager,Marketing manager,33.1,62.4,80.00,87.50,13.75,83.75,72.23
Project management specialist,Training and development specialist,47.3,56.7,100.00,27.50,10.00,63.75,57.38
Project management specialist,Marketing specialist,47.3,61.7,100.00,2.50,3.75,51.25,49.33
Project management specialist,Marketing manager,47.3,62.4,100.00,2.50,0.00,51.25,51.25
Information security analyst,Operations research analyst,19.3,55.0,87.50,75.00,-3.75,81.25,78.20
Financial and investment analyst,Operations research analyst,43.9,55.0,97.50,22.50,5.00,60.00,57.00
Management analyst,Marketing manager,46.6,62.4,95.00,57.50,18.75,76.25,61.95
Sales manager,Public relations manager,33.1,66.4,70.00,77.50,41.25,73.75,43.33
Management analyst,Marketing specialist,46.6,61.7,97.50,32.50,21.25,65.00,51.19
Sales manager,Human resources manager,33.1,76.5,25.00,75.00,27.50,50.00,36.25
Sales manager,Marketing specialist,33.1,61.7,77.50,82.50,17.50,80.00,66.00
Training and development manager,Marketing manager,48.0,62.4,97.50,75.00,11.25,86.25,76.55
Training and development manager,Administrative services manager,48.0,74.0,42.50,100.00,18.75,71.25,57.89
Project management specialist,Administrative services manager,47.3,74.0,70.00,87.50,30.00,78.75,55.12
Purchasing manager,Financial manager,47.7,56.2,12.50,97.50,-12.50,55.00,48.13
Management analyst,Financial manager,46.6,56.2,25.00,95.00,-11.25,60.00,53.25
Sales manager,Financial manager,33.1,56.2,2.50,100.00,-2.50,51.25,49.97
Training and development manager,Human resources manager,48.0,76.5,10.00,100.00,12.50,55.00,48.13
Project management specialist,Public relations manager,47.3,66.4,100.00,20.00,5.00,60.00,57.00
Management analyst,Operations research analyst,46.6,55.0,80.00,95.00,1.25,87.50,86.41
Management analyst,Public relations manager,46.6,66.4,92.50,50.00,23.75,71.25,54.33
Purchasing manager,Human resources manager,47.7,76.5,42.50,75.00,36.25,58.75,37.45
Training and development manager,Public relations manager,48.0,66.4,95.00,92.50,11.25,93.75,83.20
Purchasing manager,Marketing manager,47.7,62.4,97.50,65.00,5.00,81.25,77.19
Project management specialist,Human resources manager,47.3,76.5,72.50,50.00,46.25,61.25,32.92
Purchasing manager,Public relations manager,47.7,66.4,92.50,45.00,25.00,68.75,51.56
Management analyst,Human resources manager,46.6,76.5,62.50,82.50,32.50,72.50,48.94
Architectural and engineering manager,Marketing manager,12.8,62.4,97.50,27.50,20.00,62.50,50.00
Financial and investment analyst,Financial manager,43.9,56.2,55.00,30.00,-5.00,42.50,40.38
Project management specialist,Human resources worker,47.3,76.5,85.00,30.00,26.25,57.50,42.41
Facilities manager,Human resources manager,23.4,76.5,35.00,90.00,17.50,62.50,51.56
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,50.00,16.25,75.00,62.81
Training and development manager,Marketing specialist,48.0,61.7,95.00,80.00,8.75,87.50,79.84
Architectural and engineering manager,Administrative services manager,12.8,74.0,90.00,75.00,12.50,82.50,72.19
Architectural and engineering manager,Human resources manager,12.8,76.5,92.50,50.00,23.75,71.25,54.33
Management analyst,Human resources worker,46.6,76.5,77.50,42.50,55.00,60.00,27.00
Training and development manager,Human resources worker,48.0,76.5,60.00,62.50,55.00,61.25,27.56
Project management specialist,Operations research analyst,47.3,55.0,95.00,87.50,0.00,91.25,91.25
Project management specialist,Financial manager,47.3,56.2,55.00,65.00,-21.25,60.00,47.25
Sales manager,Human resources worker,33.1,76.5,47.50,77.50,40.00,62.50,37.50
Facilities manager,Marketing manager,23.4,62.4,75.00,80.00,5.00,77.50,73.62
Facilities manager,Administrative services manager,23.4,74.0,12.50,97.50,5.00,55.00,52.25
Sales manager,Administrative services manager,33.1,74.0,0.00,100.00,1.25,50.00,49.38
Management analyst,Administrative services manager,46.6,74.0,42.50,95.00,11.25,68.75,61.02
Purchasing manager,Human resources worker,47.7,76.5,57.50,62.50,48.75,60.00,30.75
Management analyst,Training and development specialist,46.6,56.7,100.00,47.50,13.75,73.75,63.61
Architectural and engineering manager,Public relations manager,12.8,66.4,97.50,42.50,20.00,70.00,56.00
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,35.00,15.00,67.50,57.38
Facilities manager,Public relations manager,23.4,66.4,75.00,92.50,13.75,83.75,72.23
Sales manager,Training and development specialist,33.1,56.7,92.50,70.00,1.25,81.25,80.23
Financial and investment analyst,Administrative services manager,43.9,74.0,97.50,62.50,25.00,80.00,60.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.00,70.00,-1.25,80.00,79.00
Purchasing manager,Marketing specialist,47.7,61.7,97.50,57.50,0.00,77.50,77.50
Training and development manager,Financial manager,48.0,56.2,42.50,100.00,-21.25,71.25,56.11
Sales manager,Advertising sales agent,33.1,52.7,75.00,46.15,16.67,60.58,50.48
Management analyst,Accountant,46.6,57.0,87.50,47.50,10.00,67.50,60.75
Industrial production manager,Human resources manager,19.1,76.5,67.50,85.00,22.50,76.25,59.09
Facilities manager,Social and community service manager,23.4,71.7,75.00,62.50,11.25,68.75,61.02
Purchasing manager,Administrative services manager,47.7,74.0,15.00,95.00,10.00,55.00,49.50
Industrial production manager,Financial manager,19.1,56.2,60.00,97.50,-1.25,78.75,77.77
Operation manager,Financial manager,37.1,56.2,45.00,97.50,-5.00,71.25,67.69
Industrial production manager,Human resources worker,19.1,76.5,77.50,72.50,18.75,75.00,60.94
Sales manager,Insurance sales agent,33.1,54.9,90.00,31.82,8.06,60.91,56.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,97.50,42.50,20.00,70.00,56.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,97.50,53.33,5.71,75.42,71.11
Facilities manager,Human resources worker,23.4,76.5,57.50,92.50,25.00,75.00,56.25
Software developer,Marketing specialist,20.2,61.7,90.00,77.50,18.75,83.75,68.05
Industrial production manager,Marketing manager,19.1,62.4,87.50,52.50,20.00,70.00,56.00
Facilities manager,Training and development specialist,23.4,56.7,75.00,95.00,-2.50,85.00,82.88
Software developer,Operations research analyst,20.2,55.0,62.50,87.50,13.75,75.00,64.69
Web and digital interface designer,Marketing specialist,42.7,61.7,92.50,75.00,20.00,83.75,67.00
Information security analyst,Administrative services manager,19.3,74.0,82.50,95.00,1.25,88.75,87.64
Industrial production manager,Operations research analyst,19.1,55.0,85.00,100.00,-3.75,92.50,89.03
Facilities manager,Financial manager,23.4,56.2,35.00,97.50,-11.25,66.25,58.80
Financial and investment analyst,Marketing manager,43.9,62.4,100.00,7.50,6.25,53.75,50.39
Industrial production manager,Public relations manager,19.1,66.4,90.00,80.00,15.00,85.00,72.25
Project management specialist,Public relations specialist,47.3,76.2,100.00,17.50,7.50,58.75,54.34
Industrial production manager,Administrative services manager,19.1,74.0,62.50,100.00,11.25,81.25,72.11
Facilities manager,Marketing specialist,23.4,61.7,85.00,85.00,7.50,85.00,78.62
Financial and investment analyst,Marketing specialist,43.9,61.7,100.00,12.50,2.50,56.25,54.84
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,10.71,100.00,5.45,55.36,52.34
Operation manager,Marketing manager,37.1,62.4,97.50,50.00,13.75,73.75,63.61
Industrial production manager,Training and development specialist,19.1,56.7,92.50,87.50,6.25,90.00,84.38
Purchasing manager,Accountant,47.7,57.0,82.50,40.00,6.25,61.25,57.42
Financial and investment analyst,Insurance underwriter,43.9,56.9,100.00,2.50,0.00,51.25,51.25
Financial and investment analyst,Public relations manager,43.9,66.4,100.00,7.50,5.00,53.75,51.06
Chemical engineer,Medical scientist,21.6,51.8,40.00,92.11,1.28,66.05,65.21
Operation manager,Human resources manager,37.1,76.5,62.50,55.00,32.50,58.75,39.66
Architectural and engineering manager,Human resources worker,12.8,76.5,100.00,50.00,28.75,75.00,53.44
Operation manager,Public relations manager,37.1,66.4,100.00,32.50,23.75,66.25,50.52
Training and development manager,Social and community service manager,48.0,71.7,95.00,90.00,10.00,92.50,83.25
Financial and investment analyst,Accountant,43.9,57.0,97.50,20.00,10.00,58.75,52.88
Financial and investment analyst,Human resources manager,43.9,76.5,100.00,32.50,26.25,66.25,48.86
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,97.50,47.37,8.97,72.43,65.93
Purchasing manager,Training and development specialist,47.7,56.7,95.00,82.50,3.75,88.75,85.42
Web developer,Graphic designer,19.4,54.7,52.50,91.89,12.99,72.20,62.82
Purchasing manager,Social and community service manager,47.7,71.7,82.50,65.00,17.50,73.75,60.84
Chemical engineer,Biological scientist,21.6,55.0,57.50,94.59,3.90,76.05,73.08
Dentist,Dental hygienist,39.5,95.7,57.89,100.00,51.22,78.95,38.51
Software quality tester,Operations research analyst,44.1,55.0,60.00,95.00,-3.75,77.50,74.59
Web and digital interface designer,Graphic designer,42.7,54.7,47.50,54.05,15.58,50.78,42.86
Information security analyst,Training and development specialist,19.3,56.7,97.50,82.50,8.75,90.00,82.12
Software developer,Graphic designer,20.2,54.7,75.00,89.19,11.69,82.09,72.50
Architectural and engineering manager,Social and community service manager,12.8,71.7,100.00,62.50,11.25,81.25,72.11
Web and digital interface designer,Operations research analyst,42.7,55.0,80.00,92.50,0.00,86.25,86.25
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,92.86,36.36,-7.69,64.61,59.64
Lawyer,Paralegal,39.5,83.0,97.50,30.00,20.00,63.75,51.00
Architectural and engineering manager,Operations research analyst,12.8,55.0,97.50,67.50,0.00,82.50,82.50
Operation manager,Social and community service manager,37.1,71.7,95.00,55.00,16.25,75.00,62.81
Industrial production manager,Social and community service manager,19.1,71.7,95.00,87.50,2.50,91.25,88.97
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,32.14,92.50,8.82,62.32,56.82
Property assessor,Insurance underwriter,34.2,56.9,90.00,67.50,6.25,78.75,73.83
Operation manager,Human resources worker,37.1,76.5,75.00,60.00,43.75,67.50,37.97
Computer systems analyst,Operations research analyst,37.8,55.0,60.00,92.50,2.50,76.25,74.34
Building cleaner,Housekeeping cleaner,38.7,88.4,84.85,82.50,9.59,83.67,75.65
Postsecondary teacher,School psychologist,46.6,87.9,85.00,25.00,6.94,55.00,51.18
Industrial production manager,Accountant,19.1,57.0,82.50,80.00,15.00,81.25,69.06
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,77.50,37.50,6.25,57.50,53.91
Facilities manager,Social and human service assistant,23.4,75.3,100.00,72.50,2.50,86.25,84.09
Chemical technician,Medical scientist,35.0,51.8,28.57,100.00,1.52,64.29,63.31
Counter and rental clerk,Order clerk,38.7,58.3,62.50,87.50,16.67,75.00,62.50
