occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.89,-2.54,100.00,7.50,1.71,53.75,52.83
Sales manager,Marketing manager,33.1,62.4,96.46,6.30,-6.91,80.00,87.50,6.61,83.75,78.22
Project management specialist,Training and development specialist,47.3,56.7,96.32,2.16,-6.61,100.00,27.50,4.39,63.75,60.95
Project management specialist,Marketing specialist,47.3,61.7,96.15,3.49,-8.34,100.00,2.50,5.91,51.25,48.22
Project management specialist,Marketing manager,47.3,62.4,95.99,3.64,-7.91,100.00,2.50,5.78,51.25,48.29
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.52,3.12,87.50,75.00,-2.82,81.25,78.96
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.36,-6.96,97.50,22.50,3.66,60.00,57.80
Management analyst,Marketing manager,46.6,62.4,94.88,1.29,-13.44,95.00,57.50,7.37,76.25,70.63
Sales manager,Public relations manager,33.1,66.4,94.60,14.94,-12.13,70.00,77.50,13.54,73.75,63.76
Management analyst,Marketing specialist,46.6,61.7,94.50,2.03,-15.81,97.50,32.50,8.92,65.00,59.20
Sales manager,Human resources manager,33.1,76.5,94.40,15.61,-16.33,25.00,75.00,15.97,50.00,42.02
Sales manager,Marketing specialist,33.1,61.7,94.34,6.58,-7.15,77.50,82.50,6.87,80.00,74.51
Training and development manager,Marketing manager,48.0,62.4,94.32,1.23,-6.62,97.50,75.00,3.92,86.25,82.87
Training and development manager,Administrative services manager,48.0,74.0,94.24,10.36,-7.34,42.50,100.00,8.85,71.25,64.95
Project management specialist,Administrative services manager,47.3,74.0,94.20,16.65,-13.04,70.00,87.50,14.85,78.75,67.06
Purchasing manager,Financial manager,47.7,56.2,94.07,-10.87,6.85,12.50,97.50,-8.86,55.00,50.13
Management analyst,Financial manager,46.6,56.2,94.00,-12.52,3.41,25.00,95.00,-7.97,60.00,55.22
Sales manager,Financial manager,33.1,56.2,93.76,-6.83,5.80,2.50,100.00,-6.32,51.25,48.01
Training and development manager,Human resources manager,48.0,76.5,93.69,9.55,-12.63,10.00,100.00,11.09,55.00,48.90
Project management specialist,Public relations manager,47.3,66.4,93.13,5.72,-11.63,100.00,20.00,8.67,60.00,54.80
Management analyst,Operations research analyst,46.6,55.0,92.92,0.41,1.45,80.00,95.00,-0.52,87.50,87.04
Management analyst,Public relations manager,46.6,66.4,92.91,5.83,-15.63,92.50,50.00,10.73,71.25,63.61
Purchasing manager,Human resources manager,47.7,76.5,92.77,16.22,-15.79,42.50,75.00,16.00,58.75,49.35
Training and development manager,Public relations manager,48.0,66.4,92.59,9.74,-8.75,95.00,92.50,9.25,93.75,85.08
Purchasing manager,Marketing manager,47.7,62.4,92.52,4.56,-6.21,97.50,65.00,5.39,81.25,76.87
Project management specialist,Human resources manager,47.3,76.5,92.47,18.93,-17.46,72.50,50.00,18.19,61.25,50.11
Purchasing manager,Public relations manager,47.7,66.4,92.38,11.19,-12.47,92.50,45.00,11.83,68.75,60.62
Management analyst,Human resources manager,46.6,76.5,92.37,17.26,-14.60,62.50,82.50,15.93,72.50,60.95
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,2.70,-17.91,97.50,27.50,10.30,62.50,56.06
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-7.53,-4.88,55.00,30.00,-1.32,42.50,41.94
Project management specialist,Human resources worker,47.3,76.5,92.21,17.25,-18.30,85.00,30.00,17.78,57.50,47.28
Facilities manager,Human resources manager,23.4,76.5,92.06,12.65,-9.01,35.00,90.00,10.83,62.50,55.73
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.58,-17.81,100.00,50.00,9.69,75.00,67.73
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.82,-6.87,95.00,80.00,4.84,87.50,83.26
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,7.58,-17.08,90.00,75.00,12.33,82.50,72.33
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,6.91,-25.49,92.50,50.00,16.20,71.25,59.71
Management analyst,Human resources worker,46.6,76.5,91.64,19.36,-26.63,77.50,42.50,22.99,60.00,46.20
Training and development manager,Human resources worker,48.0,76.5,91.58,14.80,-21.64,60.00,62.50,18.22,61.25,50.09
Project management specialist,Operations research analyst,47.3,55.0,91.31,-1.16,2.19,95.00,87.50,-1.68,91.25,89.72
Project management specialist,Financial manager,47.3,56.2,91.15,-5.82,9.35,55.00,65.00,-7.59,60.00,55.45
Sales manager,Human resources worker,33.1,76.5,91.09,20.34,-15.88,47.50,77.50,18.11,62.50,51.18
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.57,-1.70,75.00,80.00,0.56,77.50,77.06
Facilities manager,Administrative services manager,23.4,74.0,90.81,9.31,-4.91,12.50,97.50,7.11,55.00,51.09
Sales manager,Administrative services manager,33.1,74.0,90.73,7.78,-7.86,0.00,100.00,7.82,50.00,46.09
Management analyst,Administrative services manager,46.6,74.0,90.68,12.90,-10.44,42.50,95.00,11.67,68.75,60.72
Purchasing manager,Human resources worker,47.7,76.5,90.36,20.04,-21.90,57.50,62.50,20.97,60.00,47.42
Management analyst,Training and development specialist,46.6,56.7,90.32,1.16,-6.91,100.00,47.50,4.03,73.75,70.77
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,2.29,-18.58,97.50,42.50,10.43,70.00,62.70
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.74,-12.59,100.00,35.00,7.16,67.50,62.66
Facilities manager,Public relations manager,23.4,66.4,90.26,6.13,0.60,75.00,92.50,2.77,83.75,81.43
Sales manager,Training and development specialist,33.1,56.7,90.18,-0.55,-6.96,92.50,70.00,3.21,81.25,78.65
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,9.70,-21.60,97.50,62.50,15.65,80.00,67.48
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-1.56,-4.13,90.00,70.00,1.29,80.00,78.97
Purchasing manager,Marketing specialist,47.7,61.7,90.08,4.25,0.13,97.50,57.50,2.06,77.50,75.90
Training and development manager,Financial manager,48.0,56.2,90.06,-16.40,7.46,42.50,100.00,-11.93,71.25,62.75
Sales manager,Advertising sales agent,33.1,52.7,89.99,2.95,-10.82,75.00,46.15,6.88,60.58,56.41
Management analyst,Accountant,46.6,57.0,89.84,-0.77,-9.15,87.50,47.50,4.19,67.50,64.67
Industrial production manager,Human resources manager,19.1,76.5,89.80,14.58,-18.97,67.50,85.00,16.78,76.25,63.46
Facilities manager,Social and community service manager,23.4,71.7,89.67,4.08,-6.05,75.00,62.50,5.06,68.75,65.27
Purchasing manager,Administrative services manager,47.7,74.0,89.51,10.00,-10.49,15.00,95.00,10.25,55.00,49.36
Industrial production manager,Financial manager,19.1,56.2,89.51,-2.17,-2.02,60.00,97.50,-0.08,78.75,78.69
Operation manager,Financial manager,37.1,56.2,89.31,-7.10,6.53,45.00,97.50,-6.82,71.25,66.39
Industrial production manager,Human resources worker,19.1,76.5,89.29,14.00,-20.45,77.50,72.50,17.23,75.00,62.08
Sales manager,Insurance sales agent,33.1,54.9,89.13,-1.13,-8.08,90.00,31.82,3.47,60.91,58.79
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,2.87,-18.17,97.50,42.50,10.52,70.00,62.64
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-0.76,-7.68,97.50,53.33,3.46,75.42,72.81
Facilities manager,Human resources worker,23.4,76.5,88.96,16.63,-9.94,57.50,92.50,13.28,75.00,65.04
Software developer,Marketing specialist,20.2,61.7,88.94,12.10,-20.64,90.00,77.50,16.37,83.75,70.04
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.14,-18.51,87.50,52.50,9.32,70.00,63.47
Facilities manager,Training and development specialist,23.4,56.7,88.90,-3.80,0.14,75.00,95.00,-1.97,85.00,83.32
Software developer,Operations research analyst,20.2,55.0,88.88,11.39,-5.80,62.50,87.50,8.59,75.00,68.55
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,4.79,-18.69,92.50,75.00,11.74,83.75,73.91
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.93,-3.92,82.50,95.00,2.42,88.75,86.60
