occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,15.00,5.00,57.50,54.62
Sales manager,Marketing manager,33.1,62.4,15.00,40.00,22.50,27.50,21.31
Project management specialist,Training and development specialist,47.3,56.7,97.50,5.00,0.00,51.25,51.25
Project management specialist,Marketing specialist,47.3,61.7,100.00,0.00,-1.25,50.00,49.38
Project management specialist,Marketing manager,47.3,62.4,100.00,2.50,0.00,51.25,51.25
Information security analyst,Operations research analyst,19.3,55.0,67.50,50.00,-8.75,58.75,53.61
Financial and investment analyst,Operations research analyst,43.9,55.0,92.50,32.50,-3.75,62.50,60.16
Management analyst,Marketing manager,46.6,62.4,77.50,30.00,21.25,53.75,42.33
Sales manager,Public relations manager,33.1,66.4,35.00,55.00,43.75,45.00,25.31
Management analyst,Marketing specialist,46.6,61.7,97.50,17.50,11.25,57.50,51.03
Sales manager,Human resources manager,33.1,76.5,22.50,80.00,26.25,51.25,37.80
Sales manager,Marketing specialist,33.1,61.7,37.50,52.50,33.75,45.00,29.81
Training and development manager,Marketing manager,48.0,62.4,45.00,17.50,11.25,31.25,27.73
Training and development manager,Administrative services manager,48.0,74.0,0.00,92.50,8.75,46.25,42.20
Project management specialist,Administrative services manager,47.3,74.0,65.00,70.00,33.75,67.50,44.72
Purchasing manager,Financial manager,47.7,56.2,17.50,97.50,-5.00,57.50,54.62
Management analyst,Financial manager,46.6,56.2,22.50,82.50,-12.50,52.50,45.94
Sales manager,Financial manager,33.1,56.2,0.00,97.50,-2.50,48.75,47.53
Training and development manager,Human resources manager,48.0,76.5,2.50,90.00,11.25,46.25,41.05
Project management specialist,Public relations manager,47.3,66.4,100.00,12.50,6.25,56.25,52.73
Management analyst,Operations research analyst,46.6,55.0,62.50,87.50,-1.25,75.00,74.06
Management analyst,Public relations manager,46.6,66.4,75.00,35.00,26.25,55.00,40.56
Purchasing manager,Human resources manager,47.7,76.5,20.00,57.50,38.75,38.75,23.73
Training and development manager,Public relations manager,48.0,66.4,30.00,15.00,13.75,22.50,19.41
Purchasing manager,Marketing manager,47.7,62.4,82.50,35.00,11.25,58.75,52.14
Project management specialist,Human resources manager,47.3,76.5,82.50,40.00,43.75,61.25,34.45
Purchasing manager,Public relations manager,47.7,66.4,60.00,27.50,32.50,43.75,29.53
Management analyst,Human resources manager,46.6,76.5,42.50,80.00,27.50,61.25,44.41
Architectural and engineering manager,Marketing manager,12.8,62.4,95.00,27.50,21.25,61.25,48.23
Financial and investment analyst,Financial manager,43.9,56.2,92.50,80.00,-6.25,86.25,80.86
Project management specialist,Human resources worker,47.3,76.5,90.00,35.00,21.25,62.50,49.22
Facilities manager,Human resources manager,23.4,76.5,15.00,75.00,13.75,45.00,38.81
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,30.00,13.75,62.50,53.91
Training and development manager,Marketing specialist,48.0,61.7,70.00,17.50,15.00,43.75,37.19
Architectural and engineering manager,Administrative services manager,12.8,74.0,87.50,70.00,15.00,78.75,66.94
Architectural and engineering manager,Human resources manager,12.8,76.5,92.50,52.50,26.25,72.50,53.47
Management analyst,Human resources worker,46.6,76.5,77.50,47.50,47.50,62.50,32.81
Training and development manager,Human resources worker,48.0,76.5,57.50,67.50,58.75,62.50,25.78
Project management specialist,Operations research analyst,47.3,55.0,85.00,57.50,-6.25,71.25,66.80
Project management specialist,Financial manager,47.3,56.2,75.00,75.00,-7.50,75.00,69.38
Sales manager,Human resources worker,33.1,76.5,40.00,70.00,33.75,55.00,36.44
Facilities manager,Marketing manager,23.4,62.4,55.00,72.50,-3.75,63.75,61.36
Facilities manager,Administrative services manager,23.4,74.0,12.50,95.00,7.50,53.75,49.72
Sales manager,Administrative services manager,33.1,74.0,2.50,100.00,2.50,51.25,49.97
Management analyst,Administrative services manager,46.6,74.0,40.00,97.50,12.50,68.75,60.16
