occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,2.44,-2.60,100.00,15.00,2.52,57.50,56.05
Sales manager,Marketing manager,33.1,62.4,96.46,7.46,-7.07,15.00,40.00,7.27,27.50,25.50
Project management specialist,Training and development specialist,47.3,56.7,96.32,7.27,-0.60,97.50,5.00,3.94,51.25,49.23
Project management specialist,Marketing specialist,47.3,61.7,96.15,4.89,-5.74,100.00,0.00,5.31,50.00,47.34
Project management specialist,Marketing manager,47.3,62.4,95.99,4.80,-5.63,100.00,2.50,5.22,51.25,48.58
Information security analyst,Operations research analyst,19.3,55.0,95.42,-4.03,3.56,67.50,50.00,-3.80,58.75,56.52
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,5.22,0.38,92.50,32.50,2.42,62.50,60.99
Management analyst,Marketing manager,46.6,62.4,94.88,7.67,-8.55,77.50,30.00,8.11,53.75,49.39
Sales manager,Public relations manager,33.1,66.4,94.60,14.74,-14.36,35.00,55.00,14.55,45.00,38.45
Management analyst,Marketing specialist,46.6,61.7,94.50,7.64,-9.02,97.50,17.50,8.33,57.50,52.71
Sales manager,Human resources manager,33.1,76.5,94.40,14.03,-17.62,22.50,80.00,15.83,51.25,43.14
Sales manager,Marketing specialist,33.1,61.7,94.34,8.08,-7.15,37.50,52.50,7.62,45.00,41.57
Training and development manager,Marketing manager,48.0,62.4,94.32,5.72,-2.29,45.00,17.50,4.00,31.25,30.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,8.81,-5.90,0.00,92.50,7.35,46.25,42.85
Project management specialist,Administrative services manager,47.3,74.0,94.20,17.30,-13.40,65.00,70.00,15.35,67.50,57.14
Purchasing manager,Financial manager,47.7,56.2,94.07,-4.63,10.16,17.50,97.50,-7.40,57.50,53.25
Management analyst,Financial manager,46.6,56.2,94.00,-2.73,13.19,22.50,82.50,-7.96,52.50,48.32
Sales manager,Financial manager,33.1,56.2,93.76,-3.50,7.37,0.00,97.50,-5.44,48.75,46.10
Training and development manager,Human resources manager,48.0,76.5,93.69,12.45,-10.79,2.50,90.00,11.62,46.25,40.88
Project management specialist,Public relations manager,47.3,66.4,93.13,7.77,-9.10,100.00,12.50,8.44,56.25,51.50
Management analyst,Operations research analyst,46.6,55.0,92.92,1.99,2.57,62.50,87.50,-0.29,75.00,74.78
Management analyst,Public relations manager,46.6,66.4,92.91,8.32,-12.47,75.00,35.00,10.39,55.00,49.28
Purchasing manager,Human resources manager,47.7,76.5,92.77,13.87,-21.34,20.00,57.50,17.60,38.75,31.93
Training and development manager,Public relations manager,48.0,66.4,92.59,11.97,-8.89,30.00,15.00,10.43,22.50,20.15
Purchasing manager,Marketing manager,47.7,62.4,92.52,6.58,-5.99,82.50,35.00,6.29,58.75,55.06
