occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,22.50,0.00,0.00,11.25,11.25
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,30.00,0.00,2.50,15.00,14.62
Financial and investment analyst,Operations research analyst,43.9,55.0,0.00,17.50,6.25,8.75,8.20
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,70.00,0.00,3.75,35.00,33.69
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,40.00,15.00,-1.25,27.50,27.16
Sales manager,Marketing specialist,33.1,61.7,45.00,0.00,0.00,22.50,22.50
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,32.50,45.00,-3.75,38.75,37.30
Project management specialist,Administrative services manager,47.3,74.0,90.00,22.50,2.50,56.25,54.84
Purchasing manager,Financial manager,47.7,56.2,5.00,0.00,0.00,2.50,2.50
Management analyst,Financial manager,46.6,56.2,5.00,0.00,1.25,2.50,2.47
Sales manager,Financial manager,33.1,56.2,57.50,10.00,1.25,33.75,33.33
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,15.00,7.50,6.25,11.25,10.55
Management analyst,Public relations manager,46.6,66.4,5.00,2.50,0.00,3.75,3.75
Purchasing manager,Human resources manager,47.7,76.5,2.50,0.00,0.00,1.25,1.25
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,1.25,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,2.50,2.50,0.00,2.50,2.50
Architectural and engineering manager,Marketing manager,12.8,62.4,30.00,0.00,2.50,15.00,14.62
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,7.50,2.50,-1.25,5.00,4.94
