occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.02,-0.08,0.00,0.00,0.05,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.06,0.27,22.50,0.00,-0.10,11.25,11.24
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.32,-0.01,0.00,0.00,-0.16,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.21,0.00,0.00,0.00,-0.11,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.31,0.06,0.00,0.00,-0.19,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.13,-0.58,30.00,0.00,0.23,15.00,14.97
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.16,-0.95,0.00,17.50,0.56,8.75,8.70
Management analyst,Marketing manager,46.6,62.4,94.88,-0.09,0.14,0.00,0.00,-0.11,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.11,0.14,70.00,0.00,-0.02,35.00,34.99
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.46,-0.19,0.00,0.00,-0.13,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.09,0.04,40.00,15.00,0.02,27.50,27.49
Sales manager,Marketing specialist,33.1,61.7,94.34,-0.15,0.04,45.00,0.00,-0.10,22.50,22.48
Training and development manager,Marketing manager,48.0,62.4,94.32,0.21,0.29,0.00,0.00,-0.04,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.19,0.29,32.50,45.00,-0.05,38.75,38.73
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.11,0.22,90.00,22.50,-0.16,56.25,56.16
Purchasing manager,Financial manager,47.7,56.2,94.07,0.01,0.08,5.00,0.00,-0.04,2.50,2.50
Management analyst,Financial manager,46.6,56.2,94.00,-0.11,0.00,5.00,0.00,-0.05,2.50,2.50
Sales manager,Financial manager,33.1,56.2,93.76,0.01,0.11,57.50,10.00,-0.05,33.75,33.73
Training and development manager,Human resources manager,48.0,76.5,93.69,0.05,0.18,0.00,0.00,-0.07,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.26,0.01,0.00,0.00,-0.13,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,0.04,-0.74,15.00,7.50,0.39,11.25,11.21
Management analyst,Public relations manager,46.6,66.4,92.91,-0.19,0.03,5.00,2.50,-0.11,3.75,3.75
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.03,0.00,2.50,0.00,0.01,1.25,1.25
Training and development manager,Public relations manager,48.0,66.4,92.59,0.11,0.09,0.00,0.00,0.01,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.12,0.21,0.00,0.00,-0.04,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,-0.21,-0.04,0.00,0.00,-0.08,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,-0.03,0.09,0.00,0.00,-0.06,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,-0.07,0.01,2.50,2.50,-0.04,2.50,2.50
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.16,-0.09,30.00,0.00,0.12,15.00,14.98
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.02,-0.31,0.00,0.00,0.14,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,-0.16,-0.20,0.00,0.00,0.02,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,0.03,-0.02,7.50,2.50,0.03,5.00,5.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.01,0.17,2.50,5.00,-0.09,3.75,3.75
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.02,-0.18,0.00,0.00,0.08,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.36,0.12,100.00,65.00,0.12,82.50,82.40
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.15,0.09,60.00,7.50,0.03,33.75,33.74
Management analyst,Human resources worker,46.6,76.5,91.64,-0.15,-0.05,0.00,0.00,-0.05,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.05,-0.19,0.00,0.00,0.07,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.26,-0.19,5.00,5.00,-0.04,5.00,5.00
Project management specialist,Financial manager,47.3,56.2,91.15,-0.47,0.02,0.00,0.00,-0.24,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,0.08,-0.05,60.00,0.00,0.07,30.00,29.98
Facilities manager,Marketing manager,23.4,62.4,90.92,0.02,0.11,0.00,0.00,-0.04,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.06,0.27,100.00,50.00,-0.11,75.00,74.92
Sales manager,Administrative services manager,33.1,74.0,90.73,0.48,0.36,100.00,60.00,0.06,80.00,79.95
