occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,77.50,100.00,-1.25,88.75,87.64
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing manager,47.3,62.4,100.00,100.00,0.00,100.00,100.00
Information security analyst,Operations research analyst,19.3,55.0,87.50,100.00,-1.25,93.75,92.58
Financial and investment analyst,Operations research analyst,43.9,55.0,100.00,82.50,-6.25,91.25,85.55
Management analyst,Marketing manager,46.6,62.4,100.00,100.00,0.00,100.00,100.00
Sales manager,Public relations manager,33.1,66.4,32.50,100.00,1.25,66.25,65.42
Management analyst,Marketing specialist,46.6,61.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources manager,33.1,76.5,62.50,90.00,-3.75,76.25,73.39
Sales manager,Marketing specialist,33.1,61.7,45.00,100.00,0.00,72.50,72.50
Training and development manager,Marketing manager,48.0,62.4,100.00,100.00,0.00,100.00,100.00
Training and development manager,Administrative services manager,48.0,74.0,82.50,52.50,-3.75,67.50,64.97
Project management specialist,Administrative services manager,47.3,74.0,30.00,55.00,1.25,42.50,41.97
Purchasing manager,Financial manager,47.7,56.2,97.50,100.00,-2.50,98.75,96.28
Management analyst,Financial manager,46.6,56.2,95.00,95.00,-1.25,95.00,93.81
Sales manager,Financial manager,33.1,56.2,42.50,90.00,0.00,66.25,66.25
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,100.00,100.00,0.00,100.00,100.00
Management analyst,Operations research analyst,46.6,55.0,97.50,87.50,-2.50,92.50,90.19
Management analyst,Public relations manager,46.6,66.4,85.00,100.00,-2.50,92.50,90.19
Purchasing manager,Human resources manager,47.7,76.5,97.50,100.00,0.00,98.75,98.75
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources manager,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Public relations manager,47.7,66.4,95.00,100.00,0.00,97.50,97.50
Management analyst,Human resources manager,46.6,76.5,97.50,97.50,0.00,97.50,97.50
Architectural and engineering manager,Marketing manager,12.8,62.4,22.50,100.00,-3.75,61.25,58.95
Financial and investment analyst,Financial manager,43.9,56.2,100.00,97.50,-2.50,98.75,96.28
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,0.00,100.00,100.00
Facilities manager,Human resources manager,23.4,76.5,92.50,100.00,-1.25,96.25,95.05
Architectural and engineering manager,Training and development specialist,12.8,56.7,95.00,100.00,0.00,97.50,97.50
Training and development manager,Marketing specialist,48.0,61.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,0.00,30.00,3.75,15.00,14.44
Architectural and engineering manager,Human resources manager,12.8,76.5,25.00,97.50,0.00,61.25,61.25
Management analyst,Human resources worker,46.6,76.5,100.00,100.00,0.00,100.00,100.00
Training and development manager,Human resources worker,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Operations research analyst,47.3,55.0,100.00,95.00,0.00,97.50,97.50
Project management specialist,Financial manager,47.3,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Human resources worker,33.1,76.5,37.50,100.00,1.25,68.75,67.89
Facilities manager,Marketing manager,23.4,62.4,100.00,100.00,0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,25.00,40.00,1.25,32.50,32.09
Sales manager,Administrative services manager,33.1,74.0,17.50,32.50,1.25,25.00,24.69
Management analyst,Administrative services manager,46.6,74.0,5.00,5.00,1.25,5.00,4.94
Purchasing manager,Human resources worker,47.7,76.5,97.50,100.00,0.00,98.75,98.75
Management analyst,Training and development specialist,46.6,56.7,100.00,85.00,0.00,92.50,92.50
Architectural and engineering manager,Public relations manager,12.8,66.4,2.50,100.00,0.00,51.25,51.25
Financial and investment analyst,Training and development specialist,43.9,56.7,100.00,100.00,0.00,100.00,100.00
Facilities manager,Public relations manager,23.4,66.4,87.50,100.00,-1.25,93.75,92.58
Sales manager,Training and development specialist,33.1,56.7,82.50,85.00,-1.25,83.75,82.70
Financial and investment analyst,Administrative services manager,43.9,74.0,77.50,37.50,-1.25,57.50,56.78
Architectural and engineering manager,Financial manager,12.8,56.2,10.00,100.00,-1.25,55.00,54.31
Purchasing manager,Marketing specialist,47.7,61.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Financial manager,48.0,56.2,100.00,100.00,0.00,100.00,100.00
Sales manager,Advertising sales agent,33.1,52.7,0.00,38.46,1.52,19.23,18.94
Management analyst,Accountant,46.6,57.0,27.50,45.00,16.25,36.25,30.36
Industrial production manager,Human resources manager,19.1,76.5,92.50,97.50,1.25,95.00,93.81
