occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.03,0.08,100.00,100.00,-0.05,100.00,99.95
Sales manager,Marketing manager,33.1,62.4,96.46,-0.15,-0.31,77.50,100.00,0.08,88.75,88.68
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.31,-0.03,100.00,100.00,0.17,100.00,99.83
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.21,-0.00,100.00,100.00,0.11,100.00,99.89
Project management specialist,Marketing manager,47.3,62.4,95.99,0.35,-0.12,100.00,100.00,0.24,100.00,99.76
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.27,0.49,87.50,100.00,-0.11,93.75,93.65
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.18,1.01,100.00,82.50,-0.59,91.25,90.71
Management analyst,Marketing manager,46.6,62.4,94.88,0.00,-0.08,100.00,100.00,0.04,100.00,99.96
Sales manager,Public relations manager,33.1,66.4,94.60,-0.02,-0.11,32.50,100.00,0.05,66.25,66.22
Management analyst,Marketing specialist,46.6,61.7,94.50,0.31,0.22,100.00,100.00,0.04,100.00,99.96
Sales manager,Human resources manager,33.1,76.5,94.40,-0.18,0.06,62.50,90.00,-0.12,76.25,76.16
Sales manager,Marketing specialist,33.1,61.7,94.34,-0.01,0.00,45.00,100.00,-0.01,72.50,72.49
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.21,-0.45,100.00,100.00,0.12,100.00,99.88
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.30,-0.21,82.50,52.50,-0.04,67.50,67.47
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.18,-0.13,30.00,55.00,0.16,42.50,42.43
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.05,-0.08,97.50,100.00,0.02,98.75,98.73
Management analyst,Financial manager,46.6,56.2,94.00,0.02,0.02,95.00,95.00,0.00,95.00,95.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.05,-0.10,42.50,90.00,0.03,66.25,66.23
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.09,-0.19,100.00,100.00,0.05,100.00,99.95
Project management specialist,Public relations manager,47.3,66.4,93.13,0.39,0.02,100.00,100.00,0.18,100.00,99.82
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.05,0.80,97.50,87.50,-0.43,92.50,92.11
Management analyst,Public relations manager,46.6,66.4,92.91,0.12,0.01,85.00,100.00,0.06,92.50,92.45
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.14,0.13,97.50,100.00,-0.14,98.75,98.61
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.10,-0.17,100.00,100.00,0.04,100.00,99.96
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.18,-0.23,100.00,100.00,0.03,100.00,99.97
Project management specialist,Human resources manager,47.3,76.5,92.47,0.38,0.12,100.00,100.00,0.13,100.00,99.87
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.04,-0.04,95.00,100.00,0.04,97.50,97.46
Management analyst,Human resources manager,46.6,76.5,92.37,-0.05,0.16,97.50,97.50,-0.10,97.50,97.40
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-0.25,-0.04,22.50,100.00,-0.10,61.25,61.19
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.01,0.30,100.00,97.50,-0.15,98.75,98.61
Project management specialist,Human resources worker,47.3,76.5,92.21,0.12,0.18,100.00,100.00,-0.03,100.00,99.97
Facilities manager,Human resources manager,23.4,76.5,92.06,-0.11,0.15,92.50,100.00,-0.13,96.25,96.12
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.07,-0.10,95.00,100.00,0.01,97.50,97.49
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.02,0.18,100.00,100.00,-0.10,100.00,99.90
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.36,0.01,0.00,30.00,-0.19,15.00,14.97
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-0.19,-0.07,25.00,97.50,-0.06,61.25,61.21
Management analyst,Human resources worker,46.6,76.5,91.64,0.05,0.19,100.00,100.00,-0.07,100.00,99.93
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.03,0.22,100.00,100.00,-0.13,100.00,99.87
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.43,0.19,100.00,95.00,0.12,97.50,97.38
Project management specialist,Financial manager,47.3,56.2,91.15,0.58,-0.06,100.00,100.00,0.32,100.00,99.68
Sales manager,Human resources worker,33.1,76.5,91.09,-0.18,0.12,37.50,100.00,-0.15,68.75,68.65
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.03,-0.15,100.00,100.00,0.06,100.00,99.94
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.25,-0.18,25.00,40.00,-0.03,32.50,32.49
Sales manager,Administrative services manager,33.1,74.0,90.73,-0.61,-0.28,17.50,32.50,-0.16,25.00,24.96
Management analyst,Administrative services manager,46.6,74.0,90.68,-0.37,-0.11,5.00,5.00,-0.13,5.00,4.99
Purchasing manager,Human resources worker,47.7,76.5,90.36,-0.09,0.16,97.50,100.00,-0.12,98.75,98.63
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.02,-0.10,100.00,85.00,0.04,92.50,92.46
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-0.13,-0.08,2.50,100.00,-0.03,51.25,51.24
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-0.06,0.24,100.00,100.00,-0.15,100.00,99.85
Facilities manager,Public relations manager,23.4,66.4,90.26,0.08,0.04,87.50,100.00,0.02,93.75,93.73
Sales manager,Training and development specialist,33.1,56.7,90.18,-0.25,-0.13,82.50,85.00,-0.06,83.75,83.70
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-0.08,0.20,77.50,37.50,-0.14,57.50,57.42
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.13,0.03,10.00,100.00,-0.08,55.00,54.96
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.12,0.14,100.00,100.00,-0.01,100.00,99.99
Training and development manager,Financial manager,48.0,56.2,90.06,-0.05,-0.31,100.00,100.00,0.13,100.00,99.87
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.28,-0.08,0.00,38.46,-0.10,19.23,19.21
Management analyst,Accountant,46.6,57.0,89.84,-0.13,-0.71,27.50,45.00,0.29,36.25,36.14
Industrial production manager,Human resources manager,19.1,76.5,89.80,0.14,-0.01,92.50,97.50,0.07,95.00,94.93
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.19,-0.06,100.00,90.00,0.12,95.00,94.89
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-0.40,-0.14,52.50,40.00,-0.13,46.25,46.19
Industrial production manager,Financial manager,19.1,56.2,89.51,0.28,-0.08,85.00,80.00,0.18,82.50,82.35
Operation manager,Financial manager,37.1,56.2,89.31,-0.01,0.01,95.00,100.00,-0.01,97.50,97.49
Industrial production manager,Human resources worker,19.1,76.5,89.29,0.14,0.23,80.00,100.00,-0.05,90.00,89.96
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.35,-0.32,0.00,40.91,-0.02,20.45,20.45
