occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,17.50,7.50,-28.75,12.50,8.91
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,2.50,1.25,1.25,1.23
Project management specialist,Marketing manager,47.3,62.4,0.00,37.50,-23.75,18.75,14.30
Information security analyst,Operations research analyst,19.3,55.0,37.50,12.50,8.75,25.00,22.81
Financial and investment analyst,Operations research analyst,43.9,55.0,62.50,57.50,-6.25,60.00,56.25
Management analyst,Marketing manager,46.6,62.4,7.50,30.00,-33.75,18.75,12.42
Sales manager,Public relations manager,33.1,66.4,87.50,95.00,17.50,91.25,75.28
Management analyst,Marketing specialist,46.6,61.7,12.50,50.00,18.75,31.25,25.39
Sales manager,Human resources manager,33.1,76.5,45.00,17.50,6.25,31.25,29.30
Sales manager,Marketing specialist,33.1,61.7,30.00,72.50,10.00,51.25,46.12
Training and development manager,Marketing manager,48.0,62.4,0.00,2.50,-1.25,1.25,1.23
Training and development manager,Administrative services manager,48.0,74.0,97.50,52.50,22.50,75.00,58.13
Project management specialist,Administrative services manager,47.3,74.0,100.00,90.00,5.00,95.00,90.25
Purchasing manager,Financial manager,47.7,56.2,20.00,47.50,-32.50,33.75,22.78
Management analyst,Financial manager,46.6,56.2,40.00,60.00,-38.75,50.00,30.63
Sales manager,Financial manager,33.1,56.2,70.00,57.50,-28.75,63.75,45.42
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,1.25,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,20.00,17.50,-6.25,18.75,17.58
Management analyst,Public relations manager,46.6,66.4,22.50,92.50,-16.25,57.50,48.16
Purchasing manager,Human resources manager,47.7,76.5,5.00,0.00,5.00,2.50,2.38
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,2.50,30.00,-27.50,16.25,11.78
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,1.25,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,0.00,52.50,13.75,26.25,22.64
Management analyst,Human resources manager,46.6,76.5,20.00,2.50,-10.00,11.25,10.12
Architectural and engineering manager,Marketing manager,12.8,62.4,22.50,27.50,-28.75,25.00,17.81
Financial and investment analyst,Financial manager,43.9,56.2,27.50,67.50,-36.25,47.50,30.28
Project management specialist,Human resources worker,47.3,76.5,0.00,0.00,0.00,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,5.00,0.00,3.75,2.50,2.41
Architectural and engineering manager,Training and development specialist,12.8,56.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing specialist,48.0,61.7,0.00,2.50,1.25,1.25,1.23
Architectural and engineering manager,Administrative services manager,12.8,74.0,100.00,95.00,16.25,97.50,81.66
Architectural and engineering manager,Human resources manager,12.8,76.5,52.50,30.00,-1.25,41.25,40.73
Management analyst,Human resources worker,46.6,76.5,12.50,7.50,-15.00,10.00,8.50
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,-1.25,0.00,0.00
