occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-3.93,-0.70,0.00,0.00,-1.61,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,-1.50,2.74,17.50,7.50,-2.12,12.50,12.24
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.96,-0.58,0.00,0.00,0.77,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.78,-3.24,0.00,2.50,2.51,1.25,1.22
Project management specialist,Marketing manager,47.3,62.4,95.99,1.47,4.60,0.00,37.50,-1.56,18.75,18.46
Information security analyst,Operations research analyst,19.3,55.0,95.42,1.21,-0.45,37.50,12.50,0.83,25.00,24.79
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.37,-0.34,62.50,57.50,-0.01,60.00,59.99
Management analyst,Marketing manager,46.6,62.4,94.88,-2.11,3.78,7.50,30.00,-2.94,18.75,18.20
Sales manager,Public relations manager,33.1,66.4,94.60,-0.82,-2.32,87.50,95.00,0.75,91.25,90.57
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.47,-2.94,12.50,50.00,1.23,31.25,30.86
Sales manager,Human resources manager,33.1,76.5,94.40,-1.04,-2.32,45.00,17.50,0.64,31.25,31.05
Sales manager,Marketing specialist,33.1,61.7,94.34,-1.75,-2.42,30.00,72.50,0.34,51.25,51.08
Training and development manager,Marketing manager,48.0,62.4,94.32,-4.28,4.09,0.00,2.50,-4.19,1.25,1.20
Training and development manager,Administrative services manager,48.0,74.0,94.24,3.11,-2.28,97.50,52.50,2.70,75.00,72.98
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.17,-1.05,100.00,90.00,0.61,95.00,94.42
Purchasing manager,Financial manager,47.7,56.2,94.07,-2.96,2.62,20.00,47.50,-2.79,33.75,32.81
Management analyst,Financial manager,46.6,56.2,94.00,-2.29,2.74,40.00,60.00,-2.51,50.00,48.74
Sales manager,Financial manager,33.1,56.2,93.76,-1.71,1.94,70.00,57.50,-1.83,63.75,62.59
Training and development manager,Human resources manager,48.0,76.5,93.69,-2.85,0.61,0.00,0.00,-1.73,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,0.43,-0.07,0.00,0.00,0.25,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.90,0.06,20.00,17.50,-0.98,18.75,18.57
Management analyst,Public relations manager,46.6,66.4,92.91,-3.19,-0.78,22.50,92.50,-1.20,57.50,56.81
Purchasing manager,Human resources manager,47.7,76.5,92.77,-3.89,-1.29,5.00,0.00,-1.30,2.50,2.47
Training and development manager,Public relations manager,48.0,66.4,92.59,-3.48,0.57,0.00,0.00,-2.02,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-2.33,3.77,2.50,30.00,-3.05,16.25,15.75
Project management specialist,Human resources manager,47.3,76.5,92.47,2.01,0.27,0.00,0.00,0.87,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,-3.28,-2.17,0.00,52.50,-0.55,26.25,26.10
Management analyst,Human resources manager,46.6,76.5,92.37,-3.38,-0.87,20.00,2.50,-1.25,11.25,11.11
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.28,3.00,22.50,27.50,-1.36,25.00,24.66
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.49,2.78,27.50,67.50,-2.13,47.50,46.49
Project management specialist,Human resources worker,47.3,76.5,92.21,2.24,-0.03,0.00,0.00,1.13,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,-2.84,-1.27,5.00,0.00,-0.79,2.50,2.48
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.59,-1.23,0.00,0.00,1.41,0.00,0.00
Training and development manager,Marketing specialist,48.0,61.7,91.94,-3.78,-3.71,0.00,2.50,-0.03,1.25,1.25
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.18,-0.12,100.00,95.00,0.15,97.50,97.35
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.69,-1.00,52.50,30.00,0.84,41.25,40.90
Management analyst,Human resources worker,46.6,76.5,91.64,-1.83,0.06,12.50,7.50,-0.94,10.00,9.91
Training and development manager,Human resources worker,48.0,76.5,91.58,-2.57,0.18,0.00,0.00,-1.38,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.17,0.05,2.50,25.00,0.06,13.75,13.74
Project management specialist,Financial manager,47.3,56.2,91.15,1.06,3.26,0.00,57.50,-1.10,28.75,28.43
Sales manager,Human resources worker,33.1,76.5,91.09,-1.30,-1.65,30.00,15.00,0.17,22.50,22.46
Facilities manager,Marketing manager,23.4,62.4,90.92,-2.08,2.51,7.50,2.50,-2.29,5.00,4.89
Facilities manager,Administrative services manager,23.4,74.0,90.81,-4.88,-1.89,62.50,92.50,-1.50,77.50,76.34
Sales manager,Administrative services manager,33.1,74.0,90.73,0.70,-1.51,100.00,95.00,1.10,97.50,96.43
Management analyst,Administrative services manager,46.6,74.0,90.68,-5.59,-0.34,57.50,100.00,-2.62,78.75,76.68
Purchasing manager,Human resources worker,47.7,76.5,90.36,-2.43,-0.55,12.50,0.00,-0.94,6.25,6.19
Management analyst,Training and development specialist,46.6,56.7,90.32,-1.94,-0.21,0.00,0.00,-0.87,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.05,-1.16,42.50,85.00,1.11,63.75,63.04
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-1.54,-0.26,2.50,0.00,-0.64,1.25,1.24
Facilities manager,Public relations manager,23.4,66.4,90.26,-2.73,-1.80,5.00,22.50,-0.47,13.75,13.69
Sales manager,Training and development specialist,33.1,56.7,90.18,-1.17,-1.57,20.00,0.00,0.20,10.00,9.98
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.72,-0.36,100.00,95.00,1.04,97.50,96.49
