occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,82.50,90.00,26.25,86.25,63.61
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,97.50,-1.25,98.75,97.52
Project management specialist,Marketing manager,47.3,62.4,97.50,65.00,17.50,81.25,67.03
Information security analyst,Operations research analyst,19.3,55.0,82.50,65.00,-11.25,73.75,65.45
Financial and investment analyst,Operations research analyst,43.9,55.0,55.00,27.50,3.75,41.25,39.70
Management analyst,Marketing manager,46.6,62.4,95.00,82.50,21.25,88.75,69.89
Sales manager,Public relations manager,33.1,66.4,17.50,5.00,-15.00,11.25,9.56
Management analyst,Marketing specialist,46.6,61.7,80.00,62.50,-22.50,71.25,55.22
Sales manager,Human resources manager,33.1,76.5,52.50,82.50,-17.50,67.50,55.69
Sales manager,Marketing specialist,33.1,61.7,57.50,57.50,-11.25,57.50,51.03
Training and development manager,Marketing manager,48.0,62.4,100.00,85.00,7.50,92.50,85.56
Training and development manager,Administrative services manager,48.0,74.0,5.00,2.50,-1.25,3.75,3.70
Project management specialist,Administrative services manager,47.3,74.0,10.00,0.00,0.00,5.00,5.00
Purchasing manager,Financial manager,47.7,56.2,82.50,60.00,25.00,71.25,53.44
Management analyst,Financial manager,46.6,56.2,62.50,45.00,22.50,53.75,41.66
Sales manager,Financial manager,33.1,56.2,32.50,42.50,28.75,37.50,26.72
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,97.50,100.00,-3.75,98.75,95.05
Management analyst,Operations research analyst,46.6,55.0,90.00,85.00,-2.50,87.50,85.31
Management analyst,Public relations manager,46.6,66.4,67.50,20.00,16.25,43.75,36.64
Purchasing manager,Human resources manager,47.7,76.5,95.00,97.50,-1.25,96.25,95.05
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,92.50,75.00,22.50,83.75,64.91
Project management specialist,Human resources manager,47.3,76.5,90.00,100.00,-8.75,95.00,86.69
Purchasing manager,Public relations manager,47.7,66.4,92.50,45.00,-15.00,68.75,58.44
Management analyst,Human resources manager,46.6,76.5,75.00,95.00,12.50,85.00,74.38
Architectural and engineering manager,Marketing manager,12.8,62.4,57.50,60.00,40.00,58.75,35.25
Financial and investment analyst,Financial manager,43.9,56.2,80.00,20.00,20.00,50.00,40.00
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,-7.50,100.00,92.50
Facilities manager,Human resources manager,23.4,76.5,92.50,97.50,2.50,95.00,92.62
Architectural and engineering manager,Training and development specialist,12.8,56.7,100.00,100.00,0.00,100.00,100.00
Training and development manager,Marketing specialist,48.0,61.7,100.00,100.00,0.00,100.00,100.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,0.00,0.00,-15.00,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,40.00,82.50,5.00,61.25,58.19
Management analyst,Human resources worker,46.6,76.5,55.00,85.00,16.25,70.00,58.62
Training and development manager,Human resources worker,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Operations research analyst,47.3,55.0,75.00,92.50,-15.00,83.75,71.19
Project management specialist,Financial manager,47.3,56.2,85.00,50.00,23.75,67.50,51.47
Sales manager,Human resources worker,33.1,76.5,77.50,70.00,-6.25,73.75,69.14
Facilities manager,Marketing manager,23.4,62.4,95.00,82.50,22.50,88.75,68.78
Facilities manager,Administrative services manager,23.4,74.0,50.00,0.00,23.75,25.00,19.06
Sales manager,Administrative services manager,33.1,74.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,40.00,0.00,20.00,20.00,16.00
Purchasing manager,Human resources worker,47.7,76.5,77.50,87.50,15.00,82.50,70.12
Management analyst,Training and development specialist,46.6,56.7,100.00,100.00,0.00,100.00,100.00
