occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,4.35,0.71,100.00,100.00,1.82,100.00,98.18
Sales manager,Marketing manager,33.1,62.4,96.46,1.48,-2.52,82.50,90.00,2.00,86.25,84.53
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.92,0.66,100.00,100.00,-0.79,100.00,99.21
Project management specialist,Marketing specialist,47.3,61.7,96.15,-2.28,3.27,100.00,97.50,-2.77,98.75,96.01
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.49,-6.14,97.50,65.00,2.32,81.25,79.36
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.67,0.55,82.50,65.00,-0.61,73.75,73.30
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.10,0.01,55.00,27.50,0.05,41.25,41.23
Management analyst,Marketing manager,46.6,62.4,94.88,1.40,-2.26,95.00,82.50,1.83,88.75,87.12
Sales manager,Public relations manager,33.1,66.4,94.60,0.79,1.93,17.50,5.00,-0.57,11.25,11.19
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.04,2.86,80.00,62.50,-1.45,71.25,70.22
Sales manager,Human resources manager,33.1,76.5,94.40,0.72,1.81,52.50,82.50,-0.55,67.50,67.13
Sales manager,Marketing specialist,33.1,61.7,94.34,1.57,3.03,57.50,57.50,-0.73,57.50,57.08
Training and development manager,Marketing manager,48.0,62.4,94.32,3.68,-4.31,100.00,85.00,4.00,92.50,88.80
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.70,-0.02,5.00,2.50,-0.84,3.75,3.72
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.32,-1.19,10.00,0.00,-0.06,5.00,5.00
Purchasing manager,Financial manager,47.7,56.2,94.07,2.65,-2.17,82.50,60.00,2.41,71.25,69.53
Management analyst,Financial manager,46.6,56.2,94.00,1.67,-1.49,62.50,45.00,1.58,53.75,52.90
Sales manager,Financial manager,33.1,56.2,93.76,1.49,-1.95,32.50,42.50,1.72,37.50,36.86
Training and development manager,Human resources manager,48.0,76.5,93.69,2.05,-1.04,100.00,100.00,1.55,100.00,98.45
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.28,-1.49,97.50,100.00,0.61,98.75,98.15
Management analyst,Operations research analyst,46.6,55.0,92.92,1.18,0.94,90.00,85.00,0.12,87.50,87.40
Management analyst,Public relations manager,46.6,66.4,92.91,2.31,0.02,67.50,20.00,1.14,43.75,43.25
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.76,1.52,95.00,97.50,1.12,96.25,95.17
Training and development manager,Public relations manager,48.0,66.4,92.59,2.51,0.18,100.00,100.00,1.16,100.00,98.84
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.04,-3.32,92.50,75.00,2.68,83.75,81.51
Project management specialist,Human resources manager,47.3,76.5,92.47,-1.41,-1.56,90.00,100.00,0.07,95.00,94.93
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.83,2.05,92.50,45.00,0.39,68.75,68.48
Management analyst,Human resources manager,46.6,76.5,92.37,3.04,0.37,75.00,95.00,1.34,85.00,83.86
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-0.18,-3.54,57.50,60.00,1.68,58.75,57.76
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.68,-0.68,80.00,20.00,1.18,50.00,49.41
Project management specialist,Human resources worker,47.3,76.5,92.21,-1.95,0.18,100.00,100.00,-1.06,100.00,98.94
Facilities manager,Human resources manager,23.4,76.5,92.06,3.41,0.67,92.50,97.50,1.37,95.00,93.70
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.62,1.22,100.00,100.00,-0.92,100.00,99.08
Training and development manager,Marketing specialist,48.0,61.7,91.94,3.31,3.42,100.00,100.00,-0.05,100.00,99.95
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.31,-0.85,0.00,0.00,0.27,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-0.69,0.01,40.00,82.50,-0.35,61.25,61.04
Management analyst,Human resources worker,46.6,76.5,91.64,1.93,-0.12,55.00,85.00,1.03,70.00,69.28
Training and development manager,Human resources worker,48.0,76.5,91.58,1.56,-0.14,100.00,100.00,0.85,100.00,99.15
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.57,0.17,75.00,92.50,-0.37,83.75,83.44
Project management specialist,Financial manager,47.3,56.2,91.15,-1.23,-4.36,85.00,50.00,1.56,67.50,66.44
Sales manager,Human resources worker,33.1,76.5,91.09,0.74,1.16,77.50,70.00,-0.21,73.75,73.59
