occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,40.00,32.50,-40.00,36.25,21.75
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,0.00,22.50,11.25,11.25,9.98
Project management specialist,Marketing manager,47.3,62.4,0.00,47.50,-23.75,23.75,18.11
Information security analyst,Operations research analyst,19.3,55.0,25.00,15.00,10.00,20.00,18.00
Financial and investment analyst,Operations research analyst,43.9,55.0,82.50,65.00,11.25,73.75,65.45
Management analyst,Marketing manager,46.6,62.4,30.00,32.50,-46.25,31.25,16.80
Sales manager,Public relations manager,33.1,66.4,95.00,90.00,2.50,92.50,90.19
Management analyst,Marketing specialist,46.6,61.7,22.50,75.00,16.25,48.75,40.83
Sales manager,Human resources manager,33.1,76.5,62.50,25.00,7.50,43.75,40.47
Sales manager,Marketing specialist,33.1,61.7,72.50,92.50,-2.50,82.50,80.44
Training and development manager,Marketing manager,48.0,62.4,0.00,2.50,-1.25,1.25,1.23
Training and development manager,Administrative services manager,48.0,74.0,97.50,50.00,23.75,73.75,56.23
Project management specialist,Administrative services manager,47.3,74.0,100.00,82.50,8.75,91.25,83.27
Purchasing manager,Financial manager,47.7,56.2,32.50,47.50,-26.25,40.00,29.50
Management analyst,Financial manager,46.6,56.2,47.50,65.00,-33.75,56.25,37.27
Sales manager,Financial manager,33.1,56.2,95.00,70.00,-8.75,82.50,75.28
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,-2.50,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,32.50,22.50,0.00,27.50,27.50
Management analyst,Public relations manager,46.6,66.4,37.50,85.00,-25.00,61.25,45.94
Purchasing manager,Human resources manager,47.7,76.5,10.00,0.00,-3.75,5.00,4.81
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,7.50,35.00,-18.75,21.25,17.27
Project management specialist,Human resources manager,47.3,76.5,0.00,0.00,8.75,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,0.00,45.00,13.75,22.50,19.41
