occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-3.56,-0.46,0.00,0.00,-1.55,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,-1.48,1.63,40.00,32.50,-1.55,36.25,35.69
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.13,-0.39,0.00,0.00,0.76,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.89,-2.76,0.00,22.50,2.33,11.25,10.99
Project management specialist,Marketing manager,47.3,62.4,95.99,1.45,3.67,0.00,47.50,-1.11,23.75,23.49
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.60,-1.73,25.00,15.00,1.16,20.00,19.77
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.15,-1.00,82.50,65.00,0.58,73.75,73.32
Management analyst,Marketing manager,46.6,62.4,94.88,-2.28,2.63,30.00,32.50,-2.45,31.25,30.48
Sales manager,Public relations manager,33.1,66.4,94.60,-0.79,-1.71,95.00,90.00,0.46,92.50,92.07
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.33,-2.58,22.50,75.00,1.13,48.75,48.20
Sales manager,Human resources manager,33.1,76.5,94.40,-1.03,-1.87,62.50,25.00,0.42,43.75,43.57
Sales manager,Marketing specialist,33.1,61.7,94.34,-2.08,-2.20,72.50,92.50,0.06,82.50,82.45
Training and development manager,Marketing manager,48.0,62.4,94.32,-4.56,3.22,0.00,2.50,-3.89,1.25,1.20
Training and development manager,Administrative services manager,48.0,74.0,94.24,2.90,-2.98,97.50,50.00,2.94,73.75,71.58
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.05,-1.92,100.00,82.50,0.94,91.25,90.40
Purchasing manager,Financial manager,47.7,56.2,94.07,-2.39,1.85,32.50,47.50,-2.12,40.00,39.15
Management analyst,Financial manager,46.6,56.2,94.00,-2.32,1.50,47.50,65.00,-1.91,56.25,55.18
Sales manager,Financial manager,33.1,56.2,93.76,-1.64,0.90,95.00,70.00,-1.27,82.50,81.45
Training and development manager,Human resources manager,48.0,76.5,93.69,-2.84,0.61,0.00,0.00,-1.72,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,0.49,0.30,0.00,0.00,0.10,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.74,-1.13,32.50,22.50,-0.30,27.50,27.42
Management analyst,Public relations manager,46.6,66.4,92.91,-2.95,-0.11,37.50,85.00,-1.42,61.25,60.38
Purchasing manager,Human resources manager,47.7,76.5,92.77,-3.65,-0.76,10.00,0.00,-1.45,5.00,4.93
Training and development manager,Public relations manager,48.0,66.4,92.59,-3.19,1.34,0.00,0.00,-2.27,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-1.94,2.98,7.50,35.00,-2.46,21.25,20.73
Project management specialist,Human resources manager,47.3,76.5,92.47,2.00,0.43,0.00,0.00,0.78,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,-3.11,-1.45,0.00,45.00,-0.83,22.50,22.31
Management analyst,Human resources manager,46.6,76.5,92.37,-3.35,-0.46,32.50,15.00,-1.45,23.75,23.41
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-0.02,2.25,37.50,25.00,-1.13,31.25,30.90
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.09,2.03,47.50,75.00,-1.56,61.25,60.29
Project management specialist,Human resources worker,47.3,76.5,92.21,2.25,0.34,0.00,0.00,0.96,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,-2.52,-0.83,12.50,0.00,-0.84,6.25,6.20
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.13,-1.09,0.00,0.00,1.11,0.00,0.00
Training and development manager,Marketing specialist,48.0,61.7,91.94,-3.56,-3.55,0.00,5.00,-0.01,2.50,2.50
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.01,-0.52,100.00,87.50,0.27,93.75,93.50
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.48,-0.96,57.50,42.50,0.72,50.00,49.64
Management analyst,Human resources worker,46.6,76.5,91.64,-1.72,0.71,40.00,40.00,-1.22,40.00,39.51
Training and development manager,Human resources worker,48.0,76.5,91.58,-2.53,0.52,0.00,0.00,-1.52,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.12,-0.77,2.50,32.50,0.45,17.50,17.42
Project management specialist,Financial manager,47.3,56.2,91.15,1.10,2.59,0.00,62.50,-0.74,31.25,31.02
Sales manager,Human resources worker,33.1,76.5,91.09,-1.35,-0.91,72.50,35.00,-0.22,53.75,53.63
Facilities manager,Marketing manager,23.4,62.4,90.92,-1.61,1.86,22.50,7.50,-1.74,15.00,14.74
Facilities manager,Administrative services manager,23.4,74.0,90.81,-4.62,-2.23,65.00,85.00,-1.19,75.00,74.11
Sales manager,Administrative services manager,33.1,74.0,90.73,0.36,-2.21,100.00,92.50,1.29,96.25,95.01
Management analyst,Administrative services manager,46.6,74.0,90.68,-5.74,-1.34,57.50,100.00,-2.20,78.75,77.02
Purchasing manager,Human resources worker,47.7,76.5,90.36,-2.37,0.10,30.00,12.50,-1.24,21.25,20.99
Management analyst,Training and development specialist,46.6,56.7,90.32,-1.77,0.03,2.50,0.00,-0.90,1.25,1.24
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.86,-0.05,52.50,67.50,0.46,60.00,59.73
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-0.80,0.29,10.00,0.00,-0.54,5.00,4.97
Facilities manager,Public relations manager,23.4,66.4,90.26,-2.34,-1.15,22.50,20.00,-0.59,21.25,21.12
Sales manager,Training and development specialist,33.1,56.7,90.18,-1.30,-1.44,40.00,2.50,0.07,21.25,21.23
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.65,-0.39,100.00,95.00,1.02,97.50,96.50
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.02,0.47,52.50,65.00,-0.24,58.75,58.61
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-2.08,-2.83,22.50,52.50,0.38,37.50,37.36
Training and development manager,Financial manager,48.0,56.2,90.06,-4.66,1.93,0.00,7.50,-3.29,3.75,3.63
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.88,-2.50,100.00,100.00,0.81,100.00,99.19
Management analyst,Accountant,46.6,57.0,89.84,-2.37,5.22,95.00,100.00,-3.79,97.50,93.80
Industrial production manager,Human resources manager,19.1,76.5,89.80,1.35,-1.54,67.50,42.50,1.45,55.00,54.20
Facilities manager,Social and community service manager,23.4,71.7,89.67,-1.84,-0.33,2.50,0.00,-0.75,1.25,1.24
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-6.71,-2.84,42.50,70.00,-1.93,56.25,55.16
Industrial production manager,Financial manager,19.1,56.2,89.51,1.09,0.50,70.00,70.00,0.29,70.00,69.79
Operation manager,Financial manager,37.1,56.2,89.31,1.02,0.78,60.00,67.50,0.12,63.75,63.68
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.83,-0.80,67.50,57.50,1.32,62.50,61.68
Sales manager,Insurance sales agent,33.1,54.9,89.13,-1.09,1.85,100.00,100.00,-1.47,100.00,98.53
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.46,-2.63,17.50,47.50,1.55,32.50,32.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,2.84,-1.88,60.00,33.33,2.36,46.67,45.57
Facilities manager,Human resources worker,23.4,76.5,88.96,-1.38,0.40,45.00,15.00,-0.89,30.00,29.73
Software developer,Marketing specialist,20.2,61.7,88.94,3.16,-1.74,22.50,0.00,2.45,11.25,10.97
Industrial production manager,Marketing manager,19.1,62.4,88.93,1.94,1.96,37.50,32.50,-0.01,35.00,35.00
Facilities manager,Training and development specialist,23.4,56.7,88.90,-1.62,-0.24,0.00,0.00,-0.69,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,88.88,0.78,-0.55,5.00,0.00,0.67,2.50,2.48
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,-2.62,-2.34,0.00,0.00,-0.14,0.00,0.00
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.83,-0.21,100.00,100.00,0.52,100.00,99.48
Industrial production manager,Operations research analyst,19.1,55.0,88.39,-0.13,-0.70,77.50,62.50,0.29,70.00,69.80
Facilities manager,Financial manager,23.4,56.2,88.37,-2.10,0.61,55.00,67.50,-1.35,61.25,60.42
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,-2.34,3.26,7.50,52.50,-2.80,30.00,29.16
Industrial production manager,Public relations manager,19.1,66.4,88.35,0.68,-1.54,37.50,85.00,1.11,61.25,60.57
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.01,0.21,0.00,7.50,0.40,3.75,3.73
Industrial production manager,Administrative services manager,19.1,74.0,88.30,-0.27,-2.50,97.50,97.50,1.12,97.50,96.41
Facilities manager,Marketing specialist,23.4,61.7,88.28,-1.42,-2.21,47.50,77.50,0.39,62.50,62.25
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,-1.71,-2.45,7.50,72.50,0.37,40.00,39.85
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,1.55,1.29,100.00,100.00,0.13,100.00,99.87
Operation manager,Marketing manager,37.1,62.4,88.12,1.64,1.84,37.50,40.00,-0.10,38.75,38.71
Industrial production manager,Training and development specialist,19.1,56.7,88.10,1.86,-1.50,0.00,0.00,1.68,0.00,0.00
Purchasing manager,Accountant,47.7,57.0,88.07,-1.84,4.90,85.00,100.00,-3.37,92.50,89.38
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-1.10,0.29,87.50,75.00,-0.70,81.25,80.68
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,-0.78,0.99,72.50,62.50,-0.88,67.50,66.90
Chemical engineer,Medical scientist,21.6,51.8,87.70,3.25,2.47,90.00,71.05,0.39,80.53,80.21
Operation manager,Human resources manager,37.1,76.5,87.61,0.19,-0.44,32.50,25.00,0.32,28.75,28.66
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,0.37,-1.18,47.50,47.50,0.77,47.50,47.13
Operation manager,Public relations manager,37.1,66.4,87.47,1.82,-1.21,47.50,85.00,1.52,66.25,65.25
Training and development manager,Social and community service manager,48.0,71.7,87.29,-2.58,0.28,0.00,0.00,-1.43,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,87.27,1.25,3.60,100.00,100.00,-1.18,100.00,98.82
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,-0.69,-1.15,32.50,35.00,0.23,33.75,33.67
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,-3.12,0.23,0.00,0.00,-1.67,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,86.71,-3.06,-0.55,0.00,0.00,-1.25,0.00,0.00
Web developer,Graphic designer,19.4,54.7,86.62,-0.56,-1.29,0.00,27.03,0.37,13.51,13.46
Purchasing manager,Social and community service manager,47.7,71.7,86.53,-2.84,-0.42,0.00,0.00,-1.21,0.00,0.00
Chemical engineer,Biological scientist,21.6,55.0,86.36,4.55,0.22,2.50,0.00,2.16,1.25,1.22
Dentist,Dental hygienist,39.5,95.7,86.25,-1.09,2.59,78.95,100.00,-1.84,89.47,87.83
Software quality tester,Operations research analyst,44.1,55.0,86.23,-0.91,-0.28,22.50,17.50,-0.31,20.00,19.94
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,-3.02,2.78,2.50,29.73,-2.90,16.11,15.65
Information security analyst,Training and development specialist,19.3,56.7,85.97,-0.66,0.62,0.00,0.00,-0.64,0.00,0.00
Software developer,Graphic designer,20.2,54.7,85.82,5.28,-0.69,22.50,32.43,2.99,27.47,26.65
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,0.81,-0.49,7.50,2.50,0.65,5.00,4.97
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,-2.43,-2.87,7.50,0.00,0.22,3.75,3.74
