occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,100.00,100.00,0.00,100.00,100.00
Sales manager,Marketing manager,33.1,62.4,42.50,70.00,31.25,56.25,38.67
Project management specialist,Training and development specialist,47.3,56.7,100.00,100.00,0.00,100.00,100.00
Project management specialist,Marketing specialist,47.3,61.7,100.00,97.50,-1.25,98.75,97.52
Project management specialist,Marketing manager,47.3,62.4,97.50,57.50,20.00,77.50,62.00
Information security analyst,Operations research analyst,19.3,55.0,92.50,70.00,-8.75,81.25,74.14
Financial and investment analyst,Operations research analyst,43.9,55.0,32.50,17.50,-1.25,25.00,24.69
Management analyst,Marketing manager,46.6,62.4,67.50,80.00,22.50,73.75,57.16
Sales manager,Public relations manager,33.1,66.4,2.50,7.50,-2.50,5.00,4.88
Management analyst,Marketing specialist,46.6,61.7,57.50,37.50,-15.00,47.50,40.38
Sales manager,Human resources manager,33.1,76.5,32.50,60.00,5.00,46.25,43.94
Sales manager,Marketing specialist,33.1,61.7,25.00,25.00,-12.50,25.00,21.88
Training and development manager,Marketing manager,48.0,62.4,100.00,90.00,5.00,95.00,90.25
Training and development manager,Administrative services manager,48.0,74.0,2.50,10.00,-3.75,6.25,6.02
Project management specialist,Administrative services manager,47.3,74.0,12.50,0.00,-1.25,6.25,6.17
Purchasing manager,Financial manager,47.7,56.2,75.00,50.00,22.50,62.50,48.44
Management analyst,Financial manager,46.6,56.2,45.00,47.50,12.50,46.25,40.47
Sales manager,Financial manager,33.1,56.2,10.00,30.00,11.25,20.00,17.75
Training and development manager,Human resources manager,48.0,76.5,100.00,100.00,0.00,100.00,100.00
Project management specialist,Public relations manager,47.3,66.4,95.00,100.00,-3.75,97.50,93.84
Management analyst,Operations research analyst,46.6,55.0,70.00,87.50,3.75,78.75,75.80
Management analyst,Public relations manager,46.6,66.4,47.50,20.00,17.50,33.75,27.84
Purchasing manager,Human resources manager,47.7,76.5,92.50,85.00,-1.25,88.75,87.64
Training and development manager,Public relations manager,48.0,66.4,100.00,100.00,0.00,100.00,100.00
Purchasing manager,Marketing manager,47.7,62.4,90.00,67.50,15.00,78.75,66.94
Project management specialist,Human resources manager,47.3,76.5,90.00,100.00,-13.75,95.00,81.94
Purchasing manager,Public relations manager,47.7,66.4,85.00,47.50,-8.75,66.25,60.45
Management analyst,Human resources manager,46.6,76.5,67.50,90.00,18.75,78.75,63.98
Architectural and engineering manager,Marketing manager,12.8,62.4,55.00,52.50,28.75,53.75,38.30
Financial and investment analyst,Financial manager,43.9,56.2,62.50,15.00,2.50,38.75,37.78
Project management specialist,Human resources worker,47.3,76.5,100.00,100.00,-20.00,100.00,80.00
Facilities manager,Human resources manager,23.4,76.5,87.50,97.50,3.75,92.50,89.03
Architectural and engineering manager,Training and development specialist,12.8,56.7,97.50,100.00,-5.00,98.75,93.81
