occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,3.96,0.42,100.00,100.00,1.77,100.00,98.23
Sales manager,Marketing manager,33.1,62.4,96.46,1.38,-1.39,42.50,70.00,1.38,56.25,55.47
Project management specialist,Training and development specialist,47.3,56.7,96.32,-1.04,0.38,100.00,100.00,-0.71,100.00,99.29
Project management specialist,Marketing specialist,47.3,61.7,96.15,-2.33,3.01,100.00,97.50,-2.67,98.75,96.12
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.58,-4.97,97.50,57.50,1.69,77.50,76.19
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.19,1.82,92.50,70.00,-1.01,81.25,80.43
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.39,0.56,32.50,17.50,-0.47,25.00,24.88
Management analyst,Marketing manager,46.6,62.4,94.88,1.64,-1.18,67.50,80.00,1.41,73.75,72.71
Sales manager,Public relations manager,33.1,66.4,94.60,0.75,1.43,2.50,7.50,-0.34,5.00,4.98
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.21,2.56,57.50,37.50,-1.39,47.50,46.84
Sales manager,Human resources manager,33.1,76.5,94.40,0.84,1.35,32.50,60.00,-0.25,46.25,46.13
Sales manager,Marketing specialist,33.1,61.7,94.34,1.89,2.88,25.00,25.00,-0.50,25.00,24.88
Training and development manager,Marketing manager,48.0,62.4,94.32,3.93,-3.02,100.00,90.00,3.47,95.00,91.70
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.17,0.89,2.50,10.00,-1.03,6.25,6.19
Project management specialist,Administrative services manager,47.3,74.0,94.20,-1.25,-0.20,12.50,0.00,-0.52,6.25,6.22
Purchasing manager,Financial manager,47.7,56.2,94.07,2.33,-1.61,75.00,50.00,1.97,62.50,61.27
Management analyst,Financial manager,46.6,56.2,94.00,1.69,-0.34,45.00,47.50,1.01,46.25,45.78
Sales manager,Financial manager,33.1,56.2,93.76,1.42,-0.88,10.00,30.00,1.15,20.00,19.77
Training and development manager,Human resources manager,48.0,76.5,93.69,2.37,-0.95,100.00,100.00,1.66,100.00,98.34
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.53,-1.74,95.00,100.00,0.61,97.50,96.91
Management analyst,Operations research analyst,46.6,55.0,92.92,1.18,2.01,70.00,87.50,-0.42,78.75,78.42
Management analyst,Public relations manager,46.6,66.4,92.91,1.90,-0.54,47.50,20.00,1.22,33.75,33.34
Purchasing manager,Human resources manager,47.7,76.5,92.77,3.47,0.87,92.50,85.00,1.30,88.75,87.60
Training and development manager,Public relations manager,48.0,66.4,92.59,2.27,-0.26,100.00,100.00,1.27,100.00,98.73
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.73,-2.54,90.00,67.50,2.13,78.75,77.07
Project management specialist,Human resources manager,47.3,76.5,92.47,-1.61,-1.58,90.00,100.00,-0.01,95.00,94.99
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.52,1.27,85.00,47.50,0.63,66.25,65.84
Management analyst,Human resources manager,46.6,76.5,92.37,3.14,0.17,67.50,90.00,1.49,78.75,77.58
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.09,-2.46,55.00,52.50,1.27,53.75,53.07
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.21,0.16,62.50,15.00,0.52,38.75,38.55
Project management specialist,Human resources worker,47.3,76.5,92.21,-2.25,-0.07,100.00,100.00,-1.09,100.00,98.91
Facilities manager,Human resources manager,23.4,76.5,92.06,2.93,0.22,87.50,97.50,1.36,92.50,91.24
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.17,1.10,97.50,100.00,-0.64,98.75,98.12
Training and development manager,Marketing specialist,48.0,61.7,91.94,3.31,3.16,100.00,97.50,0.08,98.75,98.67
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.14,-0.17,0.00,0.00,0.02,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-0.40,0.13,37.50,77.50,-0.26,57.50,57.35
Management analyst,Human resources worker,46.6,76.5,91.64,1.81,-0.75,42.50,52.50,1.28,47.50,46.89
Training and development manager,Human resources worker,48.0,76.5,91.58,1.67,-0.32,100.00,100.00,1.00,100.00,99.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.67,0.93,67.50,87.50,-0.80,77.50,76.88
Project management specialist,Financial manager,47.3,56.2,91.15,-1.39,-3.63,87.50,45.00,1.12,66.25,65.51
Sales manager,Human resources worker,33.1,76.5,91.09,0.87,0.32,47.50,42.50,0.28,45.00,44.88
Facilities manager,Marketing manager,23.4,62.4,90.92,1.82,-2.00,92.50,67.50,1.91,80.00,78.47
Facilities manager,Administrative services manager,23.4,74.0,90.81,3.88,1.31,42.50,0.00,1.28,21.25,20.98
Sales manager,Administrative services manager,33.1,74.0,90.73,-0.14,1.81,0.00,0.00,-0.97,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,2.45,-0.03,30.00,0.00,1.24,15.00,14.81
Purchasing manager,Human resources worker,47.7,76.5,90.36,2.37,-0.37,50.00,70.00,1.37,60.00,59.18
Management analyst,Training and development specialist,46.6,56.7,90.32,0.10,0.45,100.00,92.50,-0.18,96.25,96.08
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-0.67,0.12,25.00,67.50,-0.40,46.25,46.07
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,2.89,0.19,97.50,85.00,1.35,91.25,90.02
Facilities manager,Public relations manager,23.4,66.4,90.26,2.11,0.63,70.00,72.50,0.74,71.25,70.72
Sales manager,Training and development specialist,33.1,56.7,90.18,2.47,1.48,75.00,95.00,0.49,85.00,84.58
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-0.60,-1.31,2.50,0.00,0.35,1.25,1.25
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.16,-1.23,37.50,32.50,0.70,35.00,34.76
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.44,3.02,57.50,55.00,-0.79,56.25,55.81
Training and development manager,Financial manager,48.0,56.2,90.06,3.44,-2.02,100.00,80.00,2.73,90.00,87.54
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.96,2.44,0.00,3.85,-0.74,1.92,1.91
Management analyst,Accountant,46.6,57.0,89.84,0.85,-4.68,0.00,0.00,2.76,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,-1.26,0.93,27.50,52.50,-1.09,40.00,39.56
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.54,-0.04,100.00,100.00,0.79,100.00,99.21
Purchasing manager,Administrative services manager,47.7,74.0,89.51,4.40,2.44,57.50,0.00,0.98,28.75,28.47
Industrial production manager,Financial manager,19.1,56.2,89.51,-1.59,-0.94,17.50,30.00,-0.32,23.75,23.67
Operation manager,Financial manager,37.1,56.2,89.31,-1.04,-0.83,37.50,35.00,-0.10,36.25,36.21
Industrial production manager,Human resources worker,19.1,76.5,89.29,-1.99,0.83,15.00,45.00,-1.41,30.00,29.58
Sales manager,Insurance sales agent,33.1,54.9,89.13,1.48,-2.45,0.00,0.00,1.96,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,-0.22,2.68,75.00,65.00,-1.45,70.00,68.98
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-2.40,2.40,42.50,43.33,-2.40,42.92,41.89
Facilities manager,Human resources worker,23.4,76.5,88.96,2.20,-0.42,47.50,77.50,1.31,62.50,61.68
Software developer,Marketing specialist,20.2,61.7,88.94,-2.98,1.56,77.50,100.00,-2.27,88.75,86.73
