occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.01,1.12,100.00,20.00,-0.06,60.00,59.97
Sales manager,Marketing manager,33.1,62.4,96.46,2.45,-0.18,100.00,100.00,1.31,100.00,98.69
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.99,1.36,100.00,97.50,-0.19,98.75,98.56
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.19,0.29,100.00,100.00,-0.05,100.00,99.95
Project management specialist,Marketing manager,47.3,62.4,95.99,1.03,2.16,100.00,100.00,-0.56,100.00,99.44
Information security analyst,Operations research analyst,19.3,55.0,95.42,3.75,2.48,100.00,42.50,0.63,71.25,70.80
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.52,2.68,100.00,100.00,-0.58,100.00,99.42
Management analyst,Marketing manager,46.6,62.4,94.88,1.40,0.79,100.00,100.00,0.30,100.00,99.70
Sales manager,Public relations manager,33.1,66.4,94.60,2.33,-0.24,100.00,100.00,1.28,100.00,98.72
Management analyst,Marketing specialist,46.6,61.7,94.50,0.83,-0.42,100.00,100.00,0.62,100.00,99.38
Sales manager,Human resources manager,33.1,76.5,94.40,2.89,0.51,100.00,100.00,1.19,100.00,98.81
Sales manager,Marketing specialist,33.1,61.7,94.34,2.71,-1.13,100.00,100.00,1.92,100.00,98.08
Training and development manager,Marketing manager,48.0,62.4,94.32,0.29,0.92,100.00,100.00,-0.32,100.00,99.68
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.08,1.73,100.00,90.00,-0.33,95.00,94.69
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.12,2.55,100.00,100.00,-0.71,100.00,99.29
Purchasing manager,Financial manager,47.7,56.2,94.07,1.77,1.81,100.00,100.00,-0.02,100.00,99.98
Management analyst,Financial manager,46.6,56.2,94.00,1.61,2.33,97.50,100.00,-0.36,98.75,98.40
Sales manager,Financial manager,33.1,56.2,93.76,1.89,1.55,100.00,100.00,0.17,100.00,99.83
Training and development manager,Human resources manager,48.0,76.5,93.69,0.99,2.10,100.00,77.50,-0.55,88.75,88.26
