occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-1.12,-1.29,92.50,0.00,0.08,46.25,46.21
Sales manager,Marketing manager,33.1,62.4,96.46,0.21,-2.60,0.00,0.00,1.41,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,-1.18,-1.40,10.00,0.00,0.11,5.00,4.99
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.52,-0.24,7.50,0.00,-0.14,3.75,3.74
Project management specialist,Marketing manager,47.3,62.4,95.99,-2.56,-0.98,5.00,0.00,-0.79,2.50,2.48
Information security analyst,Operations research analyst,19.3,55.0,95.42,-2.32,-3.97,75.00,0.00,0.82,37.50,37.19
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.65,-2.71,0.00,0.00,0.53,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,-0.92,-1.30,0.00,2.50,0.19,1.25,1.25
Sales manager,Public relations manager,33.1,66.4,94.60,0.38,-2.52,0.00,0.00,1.45,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,0.31,-0.77,0.00,0.00,0.54,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,-0.43,-3.00,0.00,0.00,1.29,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,1.27,-3.03,0.00,0.00,2.15,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.15,-0.19,0.00,2.50,-0.48,1.25,1.24
Training and development manager,Administrative services manager,48.0,74.0,94.24,-1.99,-1.03,5.00,0.00,-0.48,2.50,2.49
Project management specialist,Administrative services manager,47.3,74.0,94.20,-2.97,-1.03,2.50,0.00,-0.97,1.25,1.24
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.90,-1.52,0.00,0.00,-0.19,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-2.67,-1.17,0.00,0.00,-0.75,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-1.61,-2.05,0.00,0.00,0.22,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-2.38,-0.94,15.00,0.00,-0.72,7.50,7.45
Project management specialist,Public relations manager,47.3,66.4,93.13,-2.45,-0.57,27.50,0.00,-0.94,13.75,13.62
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.55,-2.03,0.00,0.00,0.24,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,-0.97,-0.87,0.00,0.00,-0.05,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.64,-3.44,0.00,5.00,1.40,2.50,2.46
Training and development manager,Public relations manager,48.0,66.4,92.59,-1.26,-0.08,12.50,0.00,-0.59,6.25,6.21
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.37,-2.22,0.00,2.50,0.93,1.25,1.24
Project management specialist,Human resources manager,47.3,76.5,92.47,-3.19,-1.49,27.50,2.50,-0.85,15.00,14.87
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.33,-2.18,0.00,0.00,1.25,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,-1.51,-2.22,0.00,10.00,0.36,5.00,4.98
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,-0.17,-2.37,17.50,2.50,1.10,10.00,9.89
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-3.86,-2.43,0.00,0.00,-0.71,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,-1.91,-0.89,20.00,0.00,-0.51,10.00,9.95
Facilities manager,Human resources manager,23.4,76.5,92.06,-1.27,-2.04,15.00,0.00,0.38,7.50,7.47
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,-0.13,-3.73,12.50,0.00,1.80,6.25,6.14
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.17,0.13,7.50,0.00,-0.15,3.75,3.74
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,-0.52,-2.63,10.00,0.00,1.05,5.00,4.95
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,-1.62,-3.03,30.00,0.00,0.70,15.00,14.89
Management analyst,Human resources worker,46.6,76.5,91.64,-0.38,-1.74,0.00,0.00,0.68,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,-2.18,0.09,100.00,0.00,-1.13,50.00,49.43
Project management specialist,Operations research analyst,47.3,55.0,91.31,-2.66,-1.34,15.00,0.00,-0.66,7.50,7.45
Project management specialist,Financial manager,47.3,56.2,91.15,-4.21,-0.13,35.00,0.00,-2.04,17.50,17.14
Sales manager,Human resources worker,33.1,76.5,91.09,0.29,-3.13,0.00,0.00,1.71,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.65,-1.03,7.50,2.50,0.19,5.00,4.99
Facilities manager,Administrative services manager,23.4,74.0,90.81,-1.95,-2.50,12.50,0.00,0.28,6.25,6.23
Sales manager,Administrative services manager,33.1,74.0,90.73,-0.66,-2.52,0.00,0.00,0.93,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,-1.84,-1.75,0.00,0.00,-0.04,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.26,-3.12,0.00,0.00,1.69,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.56,-2.36,0.00,5.00,0.90,2.50,2.48
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-0.79,-2.53,40.00,0.00,0.87,20.00,19.83
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,-0.09,-3.31,2.50,0.00,1.61,1.25,1.23
Facilities manager,Public relations manager,23.4,66.4,90.26,-0.81,-1.19,12.50,0.00,0.19,6.25,6.24
Sales manager,Training and development specialist,33.1,56.7,90.18,0.03,-3.79,0.00,35.00,1.91,17.50,17.17
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,-1.06,-1.82,0.00,0.00,0.38,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-2.13,-0.66,42.50,0.00,-0.73,21.25,21.09
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.38,-2.24,0.00,0.00,1.31,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-3.31,0.24,40.00,0.00,-1.77,20.00,19.65
Sales manager,Advertising sales agent,33.1,52.7,89.99,-1.59,-3.60,0.00,3.85,1.01,1.92,1.90
Management analyst,Accountant,46.6,57.0,89.84,-2.75,-1.61,0.00,2.50,-0.57,1.25,1.24
Industrial production manager,Human resources manager,19.1,76.5,89.80,-0.28,-2.93,7.50,10.00,1.32,8.75,8.63
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.02,-2.36,2.50,0.00,1.19,1.25,1.24
Purchasing manager,Administrative services manager,47.7,74.0,89.51,-1.47,-2.75,0.00,0.00,0.64,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,-1.47,0.76,10.00,0.00,-1.12,5.00,4.94
Operation manager,Financial manager,37.1,56.2,89.31,-2.20,-0.37,0.00,0.00,-0.91,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,89.29,-0.91,-2.61,15.00,0.00,0.85,7.50,7.44
Sales manager,Insurance sales agent,33.1,54.9,89.13,-2.64,-1.40,2.50,0.00,-0.62,1.25,1.24
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.51,-3.10,30.00,0.00,1.80,15.00,14.73
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-1.10,-1.08,0.00,0.00,-0.01,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,-0.61,-1.71,5.00,0.00,0.55,2.50,2.49
Software developer,Marketing specialist,20.2,61.7,88.94,-0.23,-3.24,12.50,7.50,1.50,10.00,9.85
Industrial production manager,Marketing manager,19.1,62.4,88.93,-0.22,-1.98,5.00,2.50,0.88,3.75,3.72
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.07,-2.56,2.50,0.00,1.32,1.25,1.23
Software developer,Operations research analyst,20.2,55.0,88.88,-1.22,-4.23,27.50,2.50,1.51,15.00,14.77
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,-0.90,-1.15,40.00,0.00,0.13,20.00,19.97
Information security analyst,Administrative services manager,19.3,74.0,88.53,-2.85,-2.54,27.50,0.00,-0.15,13.75,13.73
Industrial production manager,Operations research analyst,19.1,55.0,88.39,-1.64,-2.23,15.00,0.00,0.30,7.50,7.48
Facilities manager,Financial manager,23.4,56.2,88.37,-1.92,-1.08,22.50,0.00,-0.42,11.25,11.20
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,-0.99,-1.65,2.50,2.50,0.33,2.50,2.49
Industrial production manager,Public relations manager,19.1,66.4,88.35,-0.23,-1.58,7.50,0.00,0.67,3.75,3.72
Project management specialist,Public relations specialist,47.3,76.2,88.35,-1.31,-0.84,22.50,0.00,-0.24,11.25,11.22
Industrial production manager,Administrative services manager,19.1,74.0,88.30,-0.59,-1.38,7.50,0.00,0.40,3.75,3.74
Facilities manager,Marketing specialist,23.4,61.7,88.28,-0.05,-1.17,7.50,0.00,0.56,3.75,3.73
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.01,-1.37,2.50,0.00,0.69,1.25,1.24
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,-0.01,-0.08,0.00,0.00,0.04,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,-0.02,-0.95,0.00,0.00,0.46,0.00,0.00
Industrial production manager,Training and development specialist,19.1,56.7,88.10,-0.59,-2.97,12.50,7.50,1.19,10.00,9.88
Purchasing manager,Accountant,47.7,57.0,88.07,-1.97,-2.07,0.00,0.00,0.05,0.00,0.00
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-2.91,-0.33,2.50,0.00,-1.29,1.25,1.23
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,-0.74,-1.16,2.50,0.00,0.21,1.25,1.25
Chemical engineer,Medical scientist,21.6,51.8,87.70,-2.25,-1.47,0.00,2.63,-0.39,1.32,1.31
Operation manager,Human resources manager,37.1,76.5,87.61,-0.26,-1.44,0.00,0.00,0.59,0.00,0.00
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,-1.24,-2.76,47.50,0.00,0.76,23.75,23.57
Operation manager,Public relations manager,37.1,66.4,87.47,-0.17,-0.50,0.00,0.00,0.17,0.00,0.00
Training and development manager,Social and community service manager,48.0,71.7,87.29,-0.45,-0.97,0.00,0.00,0.26,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,87.27,-3.47,-1.81,5.00,0.00,-0.83,2.50,2.48
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,-1.49,-1.31,0.00,0.00,-0.09,0.00,0.00
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,0.64,-0.03,0.00,0.00,0.33,0.00,0.00
Purchasing manager,Training and development specialist,47.7,56.7,86.71,0.38,-3.23,0.00,22.50,1.81,11.25,11.05
Web developer,Graphic designer,19.4,54.7,86.62,-2.38,-3.48,2.50,5.41,0.55,3.95,3.93
Purchasing manager,Social and community service manager,47.7,71.7,86.53,0.43,-3.38,0.00,2.50,1.90,1.25,1.23
Chemical engineer,Biological scientist,21.6,55.0,86.36,-0.12,-1.69,0.00,10.81,0.79,5.41,5.36
Dentist,Dental hygienist,39.5,95.7,86.25,2.60,-1.72,0.00,0.00,2.16,0.00,0.00
Software quality tester,Operations research analyst,44.1,55.0,86.23,-2.01,-1.37,0.00,0.00,-0.32,0.00,0.00
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,-1.79,-1.10,15.00,0.00,-0.34,7.50,7.47
Information security analyst,Training and development specialist,19.3,56.7,85.97,-1.75,-4.52,27.50,10.00,1.38,18.75,18.49
Software developer,Graphic designer,20.2,54.7,85.82,-2.56,-5.10,2.50,21.62,1.27,12.06,11.91
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,2.23,-2.79,2.50,0.00,2.51,1.25,1.22
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,-2.57,-1.01,42.50,0.00,-0.78,21.25,21.09
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.84,-1.46,0.00,0.00,0.31,0.00,0.00
Lawyer,Paralegal,39.5,83.0,85.66,2.05,-1.57,0.00,0.00,1.81,0.00,0.00
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,-1.25,-2.64,12.50,0.00,0.69,6.25,6.21
Operation manager,Social and community service manager,37.1,71.7,85.47,0.76,-1.19,0.00,0.00,0.98,0.00,0.00
Industrial production manager,Social and community service manager,19.1,71.7,85.20,1.64,-2.12,0.00,0.00,1.88,0.00,0.00
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-1.57,0.83,7.14,0.00,-1.20,3.57,3.53
Property assessor,Insurance underwriter,34.2,56.9,85.13,-1.09,-2.88,0.00,5.00,0.89,2.50,2.48
Operation manager,Human resources worker,37.1,76.5,84.98,0.50,-1.12,0.00,0.00,0.81,0.00,0.00
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,-1.68,-2.94,5.00,0.00,0.63,2.50,2.48
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,0.08,0.21,0.00,0.00,-0.06,0.00,0.00
Postsecondary teacher,School psychologist,46.6,87.9,84.73,-1.09,-0.17,0.00,0.00,-0.46,0.00,0.00
Industrial production manager,Accountant,19.1,57.0,84.49,-2.17,-1.68,22.50,2.50,-0.25,12.50,12.47
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,84.49,0.87,-1.63,0.00,0.00,1.25,0.00,0.00
Facilities manager,Social and human service assistant,23.4,75.3,84.45,0.30,-2.14,10.00,0.00,1.22,5.00,4.94
Chemical technician,Medical scientist,35.0,51.8,84.20,-1.66,-1.78,0.00,0.00,0.06,0.00,0.00
Counter and rental clerk,Order clerk,38.7,58.3,84.14,-0.71,0.98,0.00,0.00,-0.84,0.00,0.00
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,83.91,-1.74,-0.56,0.00,0.00,-0.59,0.00,0.00
Chemical technician,Biological scientist,35.0,55.0,83.89,0.32,-2.88,0.00,8.11,1.60,4.05,3.99
Cost estimator,Accountant,17.7,57.0,83.72,-1.89,-3.39,20.00,7.50,0.75,13.75,13.65
Postsecondary teacher,Teaching assistant,46.6,79.5,83.68,-2.03,0.31,5.00,0.00,-1.17,2.50,2.47
Food service manager,Food preparation worker,46.7,58.7,83.62,0.36,-0.80,5.00,0.00,0.58,2.50,2.49
Operation manager,Accountant,37.1,57.0,83.57,-1.97,-0.57,0.00,0.00,-0.70,0.00,0.00
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,83.54,-1.44,0.49,0.00,0.00,-0.97,0.00,0.00
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,83.35,-4.16,1.15,17.86,0.00,-2.65,8.93,8.69
Software developer,Advertising sales agent,20.2,52.7,83.02,-2.42,-4.61,37.50,15.38,1.09,26.44,26.15
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,82.90,-0.81,-0.34,25.00,0.00,-0.24,12.50,12.47
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,82.90,-1.28,-0.15,0.00,0.00,-0.56,0.00,0.00
Cost estimator,Insurance underwriter,17.7,56.9,82.88,-2.49,-1.53,20.00,0.00,-0.48,10.00,9.95
Materials engineer,Medical scientist,13.5,51.8,82.86,-2.31,-2.44,25.00,0.00,0.07,12.50,12.49
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,82.81,-1.48,-1.22,46.43,0.00,-0.13,23.21,23.18
Property assessor,Accountant,34.2,57.0,82.77,-1.68,-3.89,0.00,7.50,1.10,3.75,3.71
Postsecondary teacher,Special education teacher,46.6,86.6,82.74,-1.82,-0.14,0.00,0.00,-0.84,0.00,0.00
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,82.68,-1.54,0.08,0.00,0.00,-0.81,0.00,0.00
Painter,Artist,10.4,51.6,82.54,-1.51,-2.43,0.00,0.00,0.46,0.00,0.00
Software developer,Accountant,20.2,57.0,82.50,-3.57,-4.29,95.00,12.50,0.36,53.75,53.56
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,82.43,-1.26,-2.63,2.50,0.00,0.69,1.25,1.24
Operation manager,Compliance officer,37.1,51.8,82.41,-1.12,-0.84,0.00,0.00,-0.14,0.00,0.00
Chemists and materials scientist,Medical scientist,36.0,51.8,82.39,-3.01,-2.52,43.75,0.00,-0.25,21.88,21.82
Materials engineer,Biological scientist,13.5,55.0,82.14,-0.43,-2.92,2.50,10.81,1.25,6.66,6.57
Web and digital interface designer,Advertising sales agent,42.7,52.7,82.03,-2.50,-0.06,77.50,0.00,-1.22,38.75,38.28
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,81.94,-1.44,0.32,22.50,0.00,-0.88,11.25,11.15
Property assessor,Tax preparer,34.2,66.3,81.93,-0.12,-3.98,0.00,10.81,1.93,5.41,5.30
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,81.92,1.16,0.79,0.00,0.00,0.18,0.00,0.00
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,81.85,-3.59,0.22,3.57,0.00,-1.90,1.79,1.75
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,81.81,-2.19,-1.47,0.00,0.00,-0.36,0.00,0.00
Operation manager,Public relations specialist,37.1,76.2,81.53,1.07,-0.82,0.00,0.00,0.94,0.00,0.00
Property assessor,Real estate broker,34.2,57.0,81.51,-1.41,-5.33,0.00,37.50,1.96,18.75,18.38
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,81.44,-2.03,1.75,85.71,0.00,-1.89,42.86,42.05
Software developer,Insurance claims and policy processing clerk,20.2,80.1,81.32,-1.15,-3.85,0.00,5.26,1.35,2.63,2.60
Information security analyst,Insurance underwriter,19.3,56.9,81.21,-4.31,-1.91,60.00,0.00,-1.20,30.00,29.64
Information security analyst,Accountant,19.3,57.0,81.08,-3.92,-2.84,87.50,0.00,-0.54,43.75,43.52
Web developer,Advertising sales agent,19.4,52.7,81.04,-1.84,-3.39,55.00,3.85,0.78,29.42,29.19
Postsecondary teacher,Public relations specialist,46.6,76.2,80.98,-1.38,-1.07,5.00,0.00,-0.15,2.50,2.50
Computer support specialist,Customer service representative,26.2,65.3,80.93,-2.61,0.87,77.50,0.00,-1.74,38.75,38.08
