occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.42,0.70,100.00,22.50,-0.56,61.25,60.91
Sales manager,Marketing manager,33.1,62.4,96.46,1.34,-0.50,100.00,100.00,0.92,100.00,99.08
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.21,0.44,100.00,100.00,0.39,100.00,99.61
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.48,0.73,100.00,100.00,-0.12,100.00,99.88
Project management specialist,Marketing manager,47.3,62.4,95.99,1.62,1.38,100.00,100.00,0.12,100.00,99.88
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.28,2.16,100.00,37.50,0.06,68.75,68.71
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.05,1.81,100.00,100.00,-0.88,100.00,99.12
Management analyst,Marketing manager,46.6,62.4,94.88,1.44,-0.28,100.00,100.00,0.86,100.00,99.14
Sales manager,Public relations manager,33.1,66.4,94.60,1.36,0.08,100.00,100.00,0.64,100.00,99.36
Management analyst,Marketing specialist,46.6,61.7,94.50,0.50,-0.98,100.00,100.00,0.74,100.00,99.26
Sales manager,Human resources manager,33.1,76.5,94.40,1.83,-0.16,100.00,100.00,0.99,100.00,99.01
Sales manager,Marketing specialist,33.1,61.7,94.34,1.01,-1.14,100.00,100.00,1.08,100.00,98.92
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.65,0.25,100.00,97.50,-0.45,98.75,98.31
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.07,0.53,100.00,100.00,-0.23,100.00,99.77
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.86,1.22,100.00,100.00,-0.18,100.00,99.82
Purchasing manager,Financial manager,47.7,56.2,94.07,1.43,1.78,100.00,100.00,-0.17,100.00,99.83
Management analyst,Financial manager,46.6,56.2,94.00,2.35,1.56,100.00,100.00,0.39,100.00,99.61
Sales manager,Financial manager,33.1,56.2,93.76,1.18,1.75,100.00,100.00,-0.29,100.00,99.71
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.04,1.91,100.00,87.50,-0.98,93.75,92.83
Project management specialist,Public relations manager,47.3,66.4,93.13,0.97,2.47,100.00,92.50,-0.75,96.25,95.53
Management analyst,Operations research analyst,46.6,55.0,92.92,0.47,0.86,100.00,100.00,-0.19,100.00,99.81
Management analyst,Public relations manager,46.6,66.4,92.91,0.81,0.64,100.00,100.00,0.08,100.00,99.92
Purchasing manager,Human resources manager,47.7,76.5,92.77,2.70,0.25,100.00,100.00,1.23,100.00,98.77
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.57,1.42,100.00,97.50,-1.00,98.75,97.77
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.87,-0.38,100.00,100.00,1.13,100.00,98.87
Project management specialist,Human resources manager,47.3,76.5,92.47,1.31,2.34,100.00,97.50,-0.51,98.75,98.24
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.68,-0.17,100.00,100.00,0.93,100.00,99.07
Management analyst,Human resources manager,46.6,76.5,92.37,2.38,-0.09,100.00,100.00,1.23,100.00,98.77
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,2.01,-1.15,100.00,100.00,1.58,100.00,98.42
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.32,2.39,100.00,100.00,-0.54,100.00,99.46
Project management specialist,Human resources worker,47.3,76.5,92.21,0.25,2.17,100.00,87.50,-0.96,93.75,92.85
Facilities manager,Human resources manager,23.4,76.5,92.06,0.32,0.00,100.00,100.00,0.16,100.00,99.84
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,2.67,-0.59,100.00,100.00,1.63,100.00,98.37
Training and development manager,Marketing specialist,48.0,61.7,91.94,-1.15,-0.27,100.00,97.50,-0.44,98.75,98.32
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.72,-1.16,100.00,100.00,1.44,100.00,98.56
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,2.36,-0.05,100.00,100.00,1.21,100.00,98.79
Management analyst,Human resources worker,46.6,76.5,91.64,0.99,-0.22,100.00,100.00,0.60,100.00,99.40
Training and development manager,Human resources worker,48.0,76.5,91.58,-1.36,2.56,100.00,0.00,-1.96,50.00,49.02
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.05,2.26,100.00,87.50,-1.15,93.75,92.67
Project management specialist,Financial manager,47.3,56.2,91.15,0.81,3.34,100.00,95.00,-1.26,97.50,96.27
Sales manager,Human resources worker,33.1,76.5,91.09,0.72,0.40,100.00,100.00,0.16,100.00,99.84
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.30,-0.72,100.00,100.00,0.21,100.00,99.79
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.99,-0.24,100.00,100.00,0.61,100.00,99.39
Sales manager,Administrative services manager,33.1,74.0,90.73,1.07,-0.37,100.00,100.00,0.72,100.00,99.28
Management analyst,Administrative services manager,46.6,74.0,90.68,1.70,0.06,100.00,100.00,0.82,100.00,99.18
Purchasing manager,Human resources worker,47.7,76.5,90.36,1.70,0.53,100.00,100.00,0.58,100.00,99.42
Management analyst,Training and development specialist,46.6,56.7,90.32,1.43,-0.42,100.00,100.00,0.92,100.00,99.08
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,2.18,-0.19,100.00,100.00,1.18,100.00,98.82
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.54,0.09,100.00,100.00,0.73,100.00,99.27
Facilities manager,Public relations manager,23.4,66.4,90.26,-0.46,0.21,100.00,100.00,-0.34,100.00,99.66
Sales manager,Training and development specialist,33.1,56.7,90.18,1.96,-0.23,95.00,100.00,1.10,97.50,96.43
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.81,-0.19,100.00,100.00,0.50,100.00,99.50
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.11,0.89,100.00,100.00,-0.39,100.00,99.61
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.52,-0.23,100.00,100.00,0.88,100.00,99.12
Training and development manager,Financial manager,48.0,56.2,90.06,-0.31,2.90,100.00,80.00,-1.60,90.00,88.56
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.28,1.23,100.00,100.00,0.03,100.00,99.97
Management analyst,Accountant,46.6,57.0,89.84,0.85,2.19,100.00,100.00,-0.67,100.00,99.33
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.55,-0.84,97.50,100.00,1.70,98.75,97.07
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.37,-0.43,100.00,100.00,0.40,100.00,99.60
Purchasing manager,Administrative services manager,47.7,74.0,89.51,1.95,0.50,100.00,100.00,0.73,100.00,99.27
Industrial production manager,Financial manager,19.1,56.2,89.51,-1.33,0.67,100.00,100.00,-1.00,100.00,99.00
Operation manager,Financial manager,37.1,56.2,89.31,-0.10,1.66,100.00,100.00,-0.88,100.00,99.12
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.20,0.92,100.00,100.00,0.14,100.00,99.86
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.18,1.54,100.00,100.00,-0.86,100.00,99.14
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,2.17,-1.72,100.00,100.00,1.95,100.00,98.05
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.67,-1.11,100.00,100.00,0.89,100.00,99.11
Facilities manager,Human resources worker,23.4,76.5,88.96,-0.51,0.47,100.00,100.00,-0.49,100.00,99.51
Software developer,Marketing specialist,20.2,61.7,88.94,2.30,-0.89,100.00,100.00,1.59,100.00,98.41
Industrial production manager,Marketing manager,19.1,62.4,88.93,1.88,-1.06,100.00,100.00,1.47,100.00,98.53
Facilities manager,Training and development specialist,23.4,56.7,88.90,-0.00,-0.98,100.00,100.00,0.49,100.00,99.51
Software developer,Operations research analyst,20.2,55.0,88.88,2.02,1.19,100.00,80.00,0.41,90.00,89.63
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.31,-0.20,100.00,92.50,0.25,96.25,96.01
Information security analyst,Administrative services manager,19.3,74.0,88.53,2.29,0.97,100.00,100.00,0.66,100.00,99.34
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.67,0.95,100.00,97.50,-0.14,98.75,98.61
Facilities manager,Financial manager,23.4,56.2,88.37,-0.16,0.45,100.00,100.00,-0.30,100.00,99.70
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,1.18,-0.51,100.00,100.00,0.85,100.00,99.15
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.42,-0.38,100.00,100.00,0.90,100.00,99.10
Project management specialist,Public relations specialist,47.3,76.2,88.35,0.38,0.47,100.00,100.00,-0.04,100.00,99.96
Industrial production manager,Administrative services manager,19.1,74.0,88.30,0.47,-1.27,100.00,100.00,0.87,100.00,99.13
Facilities manager,Marketing specialist,23.4,61.7,88.28,-0.52,-1.09,100.00,100.00,0.28,100.00,99.72
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.70,-0.69,100.00,100.00,0.69,100.00,99.31
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,-2.01,-2.38,100.00,100.00,0.19,100.00,99.81
Operation manager,Marketing manager,37.1,62.4,88.12,-0.04,-0.65,100.00,100.00,0.31,100.00,99.69
Industrial production manager,Training and development specialist,19.1,56.7,88.10,2.03,-0.59,100.00,100.00,1.31,100.00,98.69
Purchasing manager,Accountant,47.7,57.0,88.07,0.99,2.63,100.00,100.00,-0.82,100.00,99.18
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,-0.25,2.70,100.00,100.00,-1.47,100.00,98.53
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,0.60,0.53,100.00,100.00,0.04,100.00,99.96
Chemical engineer,Medical scientist,21.6,51.8,87.70,-1.72,1.80,92.50,100.00,-1.76,96.25,94.56
Operation manager,Human resources manager,37.1,76.5,87.61,0.19,-0.51,100.00,100.00,0.35,100.00,99.65
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,1.55,0.46,100.00,100.00,0.54,100.00,99.46
Operation manager,Public relations manager,37.1,66.4,87.47,-0.66,0.49,100.00,100.00,-0.58,100.00,99.42
Training and development manager,Social and community service manager,48.0,71.7,87.29,-0.43,0.34,100.00,100.00,-0.38,100.00,99.62
Financial and investment analyst,Accountant,43.9,57.0,87.27,-0.02,2.84,100.00,100.00,-1.43,100.00,98.57
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,0.39,0.66,100.00,100.00,-0.14,100.00,99.86
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,-1.38,-1.26,100.00,100.00,-0.06,100.00,99.94
Purchasing manager,Training and development specialist,47.7,56.7,86.71,1.63,-0.65,100.00,100.00,1.14,100.00,98.86
Web developer,Graphic designer,19.4,54.7,86.62,1.77,1.74,100.00,94.59,0.02,97.30,97.28
Purchasing manager,Social and community service manager,47.7,71.7,86.53,2.08,-0.35,100.00,100.00,1.21,100.00,98.79
Chemical engineer,Biological scientist,21.6,55.0,86.36,-1.94,1.30,92.50,100.00,-1.62,96.25,94.69
Dentist,Dental hygienist,39.5,95.7,86.25,4.15,-4.98,100.00,100.00,4.56,100.00,95.44
Software quality tester,Operations research analyst,44.1,55.0,86.23,0.26,1.63,100.00,100.00,-0.68,100.00,99.32
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.38,1.20,100.00,48.65,-0.41,74.32,74.02
Information security analyst,Training and development specialist,19.3,56.7,85.97,3.32,0.60,100.00,100.00,1.36,100.00,98.64
Software developer,Graphic designer,20.2,54.7,85.82,2.63,2.32,100.00,91.89,0.16,95.95,95.79
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,1.88,-1.86,100.00,100.00,1.87,100.00,98.13
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,-0.36,2.45,100.00,85.00,-1.41,92.50,91.20
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.82,-0.62,100.00,100.00,-0.10,100.00,99.90
Lawyer,Paralegal,39.5,83.0,85.66,-0.90,-3.48,100.00,100.00,1.29,100.00,98.71
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,0.99,1.43,100.00,100.00,-0.22,100.00,99.78
Operation manager,Social and community service manager,37.1,71.7,85.47,-0.20,-0.90,100.00,100.00,0.35,100.00,99.65
Industrial production manager,Social and community service manager,19.1,71.7,85.20,1.32,-1.39,100.00,100.00,1.36,100.00,98.64
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,-2.68,0.44,100.00,100.00,-1.56,100.00,98.44
Property assessor,Insurance underwriter,34.2,56.9,85.13,2.58,0.77,92.50,100.00,0.90,96.25,95.38
Operation manager,Human resources worker,37.1,76.5,84.98,-0.85,-0.25,100.00,100.00,-0.30,100.00,99.70
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,0.98,0.87,100.00,100.00,0.05,100.00,99.95
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,-2.78,-0.67,100.00,100.00,-1.06,100.00,98.94
