occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.30,-0.40,100.00,20.00,0.05,60.00,59.97
Sales manager,Marketing manager,33.1,62.4,96.46,0.29,0.04,100.00,100.00,0.12,100.00,99.88
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.13,-0.35,100.00,97.50,0.24,98.75,98.51
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.10,0.43,100.00,100.00,-0.27,100.00,99.73
Project management specialist,Marketing manager,47.3,62.4,95.99,0.49,-0.06,100.00,100.00,0.28,100.00,99.72
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.22,0.21,100.00,5.00,0.01,52.50,52.50
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.15,0.12,100.00,100.00,-0.14,100.00,99.86
Management analyst,Marketing manager,46.6,62.4,94.88,0.97,-0.30,97.50,100.00,0.63,98.75,98.12
Sales manager,Public relations manager,33.1,66.4,94.60,0.36,-0.33,100.00,100.00,0.35,100.00,99.65
Management analyst,Marketing specialist,46.6,61.7,94.50,0.38,-0.35,100.00,100.00,0.36,100.00,99.64
Sales manager,Human resources manager,33.1,76.5,94.40,0.55,-0.50,100.00,100.00,0.53,100.00,99.47
Sales manager,Marketing specialist,33.1,61.7,94.34,0.28,-0.29,100.00,100.00,0.29,100.00,99.71
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.47,-0.17,100.00,90.00,-0.15,95.00,94.85
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.33,-0.36,100.00,87.50,0.01,93.75,93.74
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.17,-0.41,100.00,100.00,0.29,100.00,99.71
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.78,-0.04,100.00,100.00,-0.37,100.00,99.63
Management analyst,Financial manager,46.6,56.2,94.00,0.52,0.23,92.50,100.00,0.14,96.25,96.11
Sales manager,Financial manager,33.1,56.2,93.76,-0.12,0.15,100.00,100.00,-0.14,100.00,99.86
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.03,-0.50,100.00,42.50,0.23,71.25,71.08
Project management specialist,Public relations manager,47.3,66.4,93.13,0.45,0.17,100.00,92.50,0.14,96.25,96.12
Management analyst,Operations research analyst,46.6,55.0,92.92,0.21,0.07,100.00,100.00,0.07,100.00,99.93
Management analyst,Public relations manager,46.6,66.4,92.91,0.69,-0.26,100.00,100.00,0.47,100.00,99.53
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.56,-0.78,100.00,100.00,0.11,100.00,99.89
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.10,0.04,100.00,85.00,-0.07,92.50,92.44
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.71,-0.41,100.00,100.00,-0.15,100.00,99.85
Project management specialist,Human resources manager,47.3,76.5,92.47,0.33,-0.10,100.00,95.00,0.22,97.50,97.29
Purchasing manager,Public relations manager,47.7,66.4,92.38,-0.61,-0.42,100.00,100.00,-0.10,100.00,99.90
Management analyst,Human resources manager,46.6,76.5,92.37,0.99,-0.73,90.00,100.00,0.86,95.00,94.18
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.35,-0.58,100.00,100.00,0.47,100.00,99.53
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.32,-0.14,100.00,100.00,0.23,100.00,99.77
Project management specialist,Human resources worker,47.3,76.5,92.21,0.13,-0.11,100.00,92.50,0.12,96.25,96.14
Facilities manager,Human resources manager,23.4,76.5,92.06,-0.11,-0.99,100.00,100.00,0.44,100.00,99.56
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.18,-0.48,100.00,100.00,0.33,100.00,99.67
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.41,-0.15,100.00,60.00,-0.13,80.00,79.90
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.30,-0.87,100.00,100.00,0.59,100.00,99.41
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.32,-1.17,100.00,100.00,0.74,100.00,99.26
Management analyst,Human resources worker,46.6,76.5,91.64,0.77,-0.51,100.00,100.00,0.64,100.00,99.36
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.33,-0.16,100.00,0.00,-0.08,50.00,49.96
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.20,0.20,100.00,57.50,-0.20,78.75,78.59
Project management specialist,Financial manager,47.3,56.2,91.15,0.02,0.08,100.00,95.00,-0.03,97.50,97.47
Sales manager,Human resources worker,33.1,76.5,91.09,0.51,-0.39,100.00,100.00,0.45,100.00,99.55
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.41,-0.41,100.00,100.00,-0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.39,-0.67,100.00,100.00,0.14,100.00,99.86
Sales manager,Administrative services manager,33.1,74.0,90.73,0.10,-0.67,100.00,100.00,0.39,100.00,99.61
Management analyst,Administrative services manager,46.6,74.0,90.68,0.44,-0.33,100.00,100.00,0.39,100.00,99.61
Purchasing manager,Human resources worker,47.7,76.5,90.36,-0.52,-0.31,100.00,100.00,-0.10,100.00,99.90
Management analyst,Training and development specialist,46.6,56.7,90.32,0.37,-0.39,100.00,100.00,0.38,100.00,99.62
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.62,-0.39,100.00,100.00,0.51,100.00,99.49
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.08,-0.50,100.00,100.00,0.29,100.00,99.71
Facilities manager,Public relations manager,23.4,66.4,90.26,-0.25,-0.43,100.00,100.00,0.09,100.00,99.91
