occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,97.50,0.00,-1.25,48.75,48.14
Sales manager,Marketing manager,33.1,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,7.50,0.00,-1.25,3.75,3.70
Project management specialist,Marketing specialist,47.3,61.7,10.00,0.00,0.00,5.00,5.00
Project management specialist,Marketing manager,47.3,62.4,7.50,0.00,0.00,3.75,3.75
Information security analyst,Operations research analyst,19.3,55.0,95.00,0.00,1.25,47.50,46.91
Financial and investment analyst,Operations research analyst,43.9,55.0,7.50,0.00,-2.50,3.75,3.66
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,0.00,0.00,0.00,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,-1.25,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,15.00,0.00,-2.50,7.50,7.31
Project management specialist,Administrative services manager,47.3,74.0,2.50,0.00,1.25,1.25,1.23
Purchasing manager,Financial manager,47.7,56.2,0.00,0.00,1.25,0.00,0.00
Management analyst,Financial manager,46.6,56.2,0.00,2.50,5.00,1.25,1.19
Sales manager,Financial manager,33.1,56.2,0.00,0.00,0.00,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,57.50,0.00,-1.25,28.75,28.39
Project management specialist,Public relations manager,47.3,66.4,22.50,0.00,-6.25,11.25,10.55
Management analyst,Operations research analyst,46.6,55.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,0.00,2.50,2.50,1.25,1.22
Purchasing manager,Human resources manager,47.7,76.5,0.00,5.00,-1.25,2.50,2.47
Training and development manager,Public relations manager,48.0,66.4,15.00,0.00,0.00,7.50,7.50
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,15.00,0.00,-6.25,7.50,7.03
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,0.00,15.00,5.00,7.50,7.12
Architectural and engineering manager,Marketing manager,12.8,62.4,10.00,0.00,-1.25,5.00,4.94
Financial and investment analyst,Financial manager,43.9,56.2,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,27.50,0.00,1.25,13.75,13.58
Facilities manager,Human resources manager,23.4,76.5,25.00,0.00,5.00,12.50,11.88
Architectural and engineering manager,Training and development specialist,12.8,56.7,25.00,0.00,0.00,12.50,12.50
Training and development manager,Marketing specialist,48.0,61.7,42.50,0.00,6.25,21.25,19.92
Architectural and engineering manager,Administrative services manager,12.8,74.0,12.50,0.00,-1.25,6.25,6.17
Architectural and engineering manager,Human resources manager,12.8,76.5,35.00,0.00,5.00,17.50,16.62
Management analyst,Human resources worker,46.6,76.5,0.00,2.50,-1.25,1.25,1.23
Training and development manager,Human resources worker,48.0,76.5,100.00,0.00,0.00,50.00,50.00
Project management specialist,Operations research analyst,47.3,55.0,37.50,0.00,-1.25,18.75,18.52
Project management specialist,Financial manager,47.3,56.2,20.00,0.00,-1.25,10.00,9.88
Sales manager,Human resources worker,33.1,76.5,0.00,0.00,0.00,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,10.00,0.00,1.25,5.00,4.94
Facilities manager,Administrative services manager,23.4,74.0,10.00,0.00,3.75,5.00,4.81
Sales manager,Administrative services manager,33.1,74.0,0.00,0.00,0.00,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,0.00,2.50,1.25,1.25,1.23
Purchasing manager,Human resources worker,47.7,76.5,0.00,2.50,-1.25,1.25,1.23
Management analyst,Training and development specialist,46.6,56.7,0.00,2.50,-3.75,1.25,1.20
Architectural and engineering manager,Public relations manager,12.8,66.4,35.00,0.00,1.25,17.50,17.28
Financial and investment analyst,Training and development specialist,43.9,56.7,7.50,0.00,0.00,3.75,3.75
Facilities manager,Public relations manager,23.4,66.4,15.00,0.00,2.50,7.50,7.31
Sales manager,Training and development specialist,33.1,56.7,0.00,25.00,-1.25,12.50,12.34
Financial and investment analyst,Administrative services manager,43.9,74.0,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,42.50,0.00,2.50,21.25,20.72
Purchasing manager,Marketing specialist,47.7,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,32.50,0.00,6.25,16.25,15.23
Sales manager,Advertising sales agent,33.1,52.7,0.00,0.00,0.00,0.00,0.00
Management analyst,Accountant,46.6,57.0,0.00,0.00,1.25,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,7.50,10.00,0.00,8.75,8.75
Facilities manager,Social and community service manager,23.4,71.7,7.50,0.00,5.00,3.75,3.56
Purchasing manager,Administrative services manager,47.7,74.0,0.00,0.00,0.00,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,7.50,0.00,1.25,3.75,3.70
Operation manager,Financial manager,37.1,56.2,0.00,0.00,0.00,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,20.00,2.50,5.00,11.25,10.69
Sales manager,Insurance sales agent,33.1,54.9,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,40.00,0.00,1.25,20.00,19.75
Postsecondary teacher,Secondary school teacher,46.6,56.9,0.00,0.00,0.00,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,20.00,0.00,5.00,10.00,9.50
Software developer,Marketing specialist,20.2,61.7,42.50,35.00,7.50,38.75,35.84
Industrial production manager,Marketing manager,19.1,62.4,5.00,2.50,0.00,3.75,3.75
Facilities manager,Training and development specialist,23.4,56.7,5.00,0.00,0.00,2.50,2.50
Software developer,Operations research analyst,20.2,55.0,52.50,7.50,-2.50,30.00,29.25
Web and digital interface designer,Marketing specialist,42.7,61.7,67.50,0.00,0.00,33.75,33.75
Information security analyst,Administrative services manager,19.3,74.0,12.50,12.50,6.25,12.50,11.72
Industrial production manager,Operations research analyst,19.1,55.0,27.50,0.00,0.00,13.75,13.75
Facilities manager,Financial manager,23.4,56.2,15.00,0.00,8.75,7.50,6.84
Financial and investment analyst,Marketing manager,43.9,62.4,0.00,0.00,0.00,0.00,0.00
Industrial production manager,Public relations manager,19.1,66.4,7.50,5.00,7.50,6.25,5.78
