occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.20,0.71,97.50,0.00,-0.26,48.75,48.62
Sales manager,Marketing manager,33.1,62.4,96.46,0.05,-0.35,0.00,0.00,0.20,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.05,0.30,7.50,0.00,-0.18,3.75,3.74
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.48,0.31,10.00,0.00,-0.40,5.00,4.98
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.30,-0.25,7.50,0.00,-0.02,3.75,3.75
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.28,-0.13,95.00,0.00,-0.08,47.50,47.46
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.18,0.33,7.50,0.00,-0.25,3.75,3.74
Management analyst,Marketing manager,46.6,62.4,94.88,0.25,-0.53,0.00,0.00,0.39,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.75,-0.40,0.00,0.00,0.58,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,0.37,-0.24,0.00,0.00,0.30,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.33,-0.53,0.00,0.00,0.43,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.40,-0.46,0.00,0.00,0.43,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,0.25,0.72,0.00,0.00,-0.24,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.12,0.56,15.00,0.00,-0.22,7.50,7.48
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.07,-0.08,2.50,0.00,0.01,1.25,1.25
Purchasing manager,Financial manager,47.7,56.2,94.07,0.73,0.49,0.00,0.00,0.12,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,0.07,-0.29,0.00,2.50,0.18,1.25,1.25
Sales manager,Financial manager,33.1,56.2,93.76,0.05,-0.40,0.00,0.00,0.22,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,0.02,0.53,57.50,0.00,-0.25,28.75,28.68
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.37,-0.37,22.50,0.00,-0.00,11.25,11.25
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.35,0.02,0.00,0.00,-0.19,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.55,-0.55,0.00,2.50,0.55,1.25,1.24
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.73,0.52,0.00,5.00,0.11,2.50,2.50
Training and development manager,Public relations manager,48.0,66.4,92.59,0.36,0.00,15.00,0.00,0.18,7.50,7.49
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.42,0.81,0.00,0.00,-0.20,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,-0.61,0.03,15.00,0.00,-0.32,7.50,7.48
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.85,-0.05,0.00,0.00,0.45,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,0.59,-0.33,0.00,15.00,0.46,7.50,7.47
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.47,0.18,10.00,0.00,0.14,5.00,4.99
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.10,-0.26,0.00,0.00,0.08,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,-0.21,0.21,27.50,0.00,-0.21,13.75,13.72
Facilities manager,Human resources manager,23.4,76.5,92.06,0.94,0.03,25.00,0.00,0.46,12.50,12.44
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.34,0.38,25.00,0.00,-0.02,12.50,12.50
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.34,0.42,42.50,0.00,-0.04,21.25,21.24
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.36,-0.16,12.50,0.00,0.26,6.25,6.23
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.97,-0.00,35.00,0.00,0.49,17.50,17.42
Management analyst,Human resources worker,46.6,76.5,91.64,0.80,-0.44,0.00,2.50,0.62,1.25,1.24
Training and development manager,Human resources worker,48.0,76.5,91.58,0.39,0.56,100.00,0.00,-0.09,50.00,49.96
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.63,0.37,37.50,0.00,-0.50,18.75,18.66
Project management specialist,Financial manager,47.3,56.2,91.15,-0.13,-0.02,20.00,0.00,-0.05,10.00,9.99
Sales manager,Human resources worker,33.1,76.5,91.09,0.67,-0.52,0.00,0.00,0.59,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,0.54,0.33,10.00,0.00,0.11,5.00,4.99
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.98,0.38,10.00,0.00,0.30,5.00,4.98
Sales manager,Administrative services manager,33.1,74.0,90.73,0.19,-0.33,0.00,0.00,0.26,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,0.33,-0.28,0.00,2.50,0.31,1.25,1.25
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.66,0.31,0.00,2.50,0.17,1.25,1.25
Management analyst,Training and development specialist,46.6,56.7,90.32,0.44,-0.02,0.00,2.50,0.23,1.25,1.25
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.73,-0.21,35.00,0.00,0.47,17.50,17.42
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.48,0.67,7.50,0.00,-0.10,3.75,3.75
Facilities manager,Public relations manager,23.4,66.4,90.26,0.86,0.03,15.00,0.00,0.41,7.50,7.47
Sales manager,Training and development specialist,33.1,56.7,90.18,0.47,0.32,0.00,25.00,0.08,12.50,12.49
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.26,0.27,0.00,0.00,-0.00,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.45,0.13,42.50,0.00,0.16,21.25,21.22
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.36,0.14,0.00,0.00,0.11,0.00,0.00
