occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.68,0.08,100.00,100.00,0.30,100.00,99.70
Sales manager,Marketing manager,33.1,62.4,96.46,0.15,-0.02,100.00,100.00,0.09,100.00,99.91
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.38,0.10,100.00,100.00,0.14,100.00,99.86
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.41,0.15,100.00,100.00,0.13,100.00,99.87
Project management specialist,Marketing manager,47.3,62.4,95.99,0.03,0.38,100.00,100.00,-0.17,100.00,99.83
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.33,0.10,100.00,100.00,0.12,100.00,99.88
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.71,0.03,100.00,100.00,0.34,100.00,99.66
Management analyst,Marketing manager,46.6,62.4,94.88,0.16,0.33,100.00,100.00,-0.09,100.00,99.91
Sales manager,Public relations manager,33.1,66.4,94.60,0.37,-0.07,100.00,100.00,0.22,100.00,99.78
Management analyst,Marketing specialist,46.6,61.7,94.50,0.63,0.10,100.00,100.00,0.26,100.00,99.74
Sales manager,Human resources manager,33.1,76.5,94.40,0.29,-0.14,100.00,100.00,0.22,100.00,99.78
Sales manager,Marketing specialist,33.1,61.7,94.34,0.55,-0.09,100.00,100.00,0.32,100.00,99.68
Training and development manager,Marketing manager,48.0,62.4,94.32,0.29,0.29,100.00,100.00,0.00,100.00,100.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.52,0.19,100.00,100.00,0.16,100.00,99.84
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.23,0.41,100.00,100.00,-0.09,100.00,99.91
Purchasing manager,Financial manager,47.7,56.2,94.07,0.31,0.49,100.00,100.00,-0.09,100.00,99.91
Management analyst,Financial manager,46.6,56.2,94.00,0.22,0.40,100.00,100.00,-0.09,100.00,99.91
Sales manager,Financial manager,33.1,56.2,93.76,0.08,0.21,100.00,100.00,-0.07,100.00,99.93
Training and development manager,Human resources manager,48.0,76.5,93.69,0.39,0.05,100.00,100.00,0.17,100.00,99.83
Project management specialist,Public relations manager,47.3,66.4,93.13,0.30,0.34,100.00,100.00,-0.02,100.00,99.98
Management analyst,Operations research analyst,46.6,55.0,92.92,0.37,0.40,100.00,100.00,-0.01,100.00,99.99
Management analyst,Public relations manager,46.6,66.4,92.91,0.33,0.31,100.00,100.00,0.01,100.00,99.99
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.43,0.12,100.00,100.00,0.15,100.00,99.85
Training and development manager,Public relations manager,48.0,66.4,92.59,0.48,0.21,100.00,100.00,0.13,100.00,99.87
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.40,0.29,100.00,100.00,0.05,100.00,99.95
Project management specialist,Human resources manager,47.3,76.5,92.47,0.14,0.24,100.00,100.00,-0.05,100.00,99.95
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.70,0.24,100.00,100.00,0.23,100.00,99.77
Management analyst,Human resources manager,46.6,76.5,92.37,0.23,0.12,100.00,100.00,0.06,100.00,99.94
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.35,-0.11,100.00,100.00,0.23,100.00,99.77
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.71,0.19,100.00,100.00,0.26,100.00,99.74
Project management specialist,Human resources worker,47.3,76.5,92.21,0.36,0.20,100.00,100.00,0.08,100.00,99.92
Facilities manager,Human resources manager,23.4,76.5,92.06,0.44,-0.01,100.00,100.00,0.23,100.00,99.77
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.64,-0.45,100.00,100.00,0.54,100.00,99.46
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.76,0.05,100.00,100.00,0.35,100.00,99.65
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.57,-0.22,100.00,100.00,0.40,100.00,99.60
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.39,-0.35,100.00,100.00,0.37,100.00,99.63
Management analyst,Human resources worker,46.6,76.5,91.64,0.51,0.04,100.00,100.00,0.23,100.00,99.77
Training and development manager,Human resources worker,48.0,76.5,91.58,0.67,0.07,100.00,100.00,0.30,100.00,99.70
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.14,0.53,100.00,100.00,-0.20,100.00,99.80
Project management specialist,Financial manager,47.3,56.2,91.15,0.04,0.63,100.00,100.00,-0.29,100.00,99.71
Sales manager,Human resources worker,33.1,76.5,91.09,0.43,-0.22,100.00,100.00,0.33,100.00,99.67
Facilities manager,Marketing manager,23.4,62.4,90.92,0.38,0.23,100.00,100.00,0.08,100.00,99.92
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.72,0.22,100.00,100.00,0.25,100.00,99.75
Sales manager,Administrative services manager,33.1,74.0,90.73,0.29,-0.00,100.00,100.00,0.15,100.00,99.85
Management analyst,Administrative services manager,46.6,74.0,90.68,0.40,0.23,100.00,100.00,0.09,100.00,99.91
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.66,0.09,100.00,100.00,0.29,100.00,99.71
Management analyst,Training and development specialist,46.6,56.7,90.32,0.52,0.08,100.00,100.00,0.22,100.00,99.78
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.56,-0.21,100.00,100.00,0.39,100.00,99.61
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.20,-0.33,100.00,100.00,0.77,100.00,99.23
Facilities manager,Public relations manager,23.4,66.4,90.26,0.69,0.18,100.00,100.00,0.26,100.00,99.74
Sales manager,Training and development specialist,33.1,56.7,90.18,0.45,-0.11,100.00,100.00,0.28,100.00,99.72
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.98,0.03,100.00,100.00,0.47,100.00,99.53
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.31,0.04,100.00,100.00,0.14,100.00,99.86
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.76,0.20,100.00,100.00,0.28,100.00,99.72
Training and development manager,Financial manager,48.0,56.2,90.06,0.24,0.48,100.00,100.00,-0.12,100.00,99.88
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.45,0.04,100.00,100.00,0.21,100.00,99.79
Management analyst,Accountant,46.6,57.0,89.84,0.07,0.41,100.00,100.00,-0.17,100.00,99.83
Industrial production manager,Human resources manager,19.1,76.5,89.80,0.57,-0.05,100.00,100.00,0.31,100.00,99.69
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.67,-0.07,100.00,100.00,0.37,100.00,99.63
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.58,0.28,100.00,100.00,0.15,100.00,99.85
Industrial production manager,Financial manager,19.1,56.2,89.51,0.57,0.47,100.00,100.00,0.05,100.00,99.95
Operation manager,Financial manager,37.1,56.2,89.31,0.18,0.36,100.00,100.00,-0.09,100.00,99.91
Industrial production manager,Human resources worker,19.1,76.5,89.29,0.75,-0.03,100.00,100.00,0.39,100.00,99.61
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.44,0.09,100.00,100.00,0.17,100.00,99.83
