occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.76,-1.12,0.00,0.00,0.18,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,-0.38,-0.55,0.00,0.00,0.08,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.58,-0.54,0.00,0.00,-0.02,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.48,-0.55,0.00,0.00,0.04,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.61,-0.49,0.00,0.00,-0.06,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.14,-0.55,0.00,0.00,0.20,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.15,-0.99,0.00,0.00,0.57,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,-0.41,-0.73,0.00,0.00,0.16,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,-0.28,-0.68,0.00,0.00,0.20,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.18,-0.92,0.00,0.00,0.37,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,-0.29,-0.70,0.00,0.00,0.21,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,-0.42,-0.78,0.00,0.00,0.18,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.61,-0.75,0.00,0.00,0.07,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.49,-1.06,0.00,0.00,0.28,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.58,-0.63,0.00,0.00,0.02,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.02,-0.41,0.00,0.00,-0.30,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-0.68,-0.47,0.00,0.00,-0.10,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.80,-0.04,0.00,0.00,-0.38,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.55,-0.89,0.00,0.00,0.17,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.59,-0.58,0.00,0.00,-0.01,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.20,-0.61,0.00,0.00,0.20,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,-0.21,-0.85,0.00,0.00,0.32,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,-0.54,-0.77,0.00,0.00,0.12,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.51,-0.83,0.00,0.00,0.16,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.64,-0.67,0.00,0.00,0.02,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,-0.46,-0.50,0.00,0.00,0.02,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,-0.52,-0.93,0.00,0.00,0.21,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,-0.08,-0.77,0.00,0.00,0.34,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.06,-1.06,10.00,0.00,0.56,5.00,4.97
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.26,-0.90,0.00,0.00,0.32,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,-0.46,-0.91,0.00,0.00,0.22,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,-0.56,-1.00,0.00,0.00,0.22,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.11,-0.97,35.00,0.00,0.54,17.50,17.41
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.47,-0.95,0.00,0.00,0.24,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.13,-1.12,0.00,0.00,0.62,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.19,-1.08,0.00,0.00,0.64,0.00,0.00
Management analyst,Human resources worker,46.6,76.5,91.64,0.03,-1.07,0.00,0.00,0.55,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.56,-1.22,0.00,0.00,0.33,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.81,-0.26,0.00,0.00,-0.27,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-1.06,-0.05,0.00,0.00,-0.51,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,-0.24,-0.91,0.00,0.00,0.33,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,-0.51,-0.90,0.00,0.00,0.19,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,-0.61,-1.22,0.00,0.00,0.31,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,-0.36,-0.74,0.00,0.00,0.19,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,-0.22,-0.90,0.00,0.00,0.34,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,-0.42,-0.99,0.00,0.00,0.28,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.10,-0.86,2.50,0.00,0.38,1.25,1.25
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,-0.01,-0.97,20.00,2.50,0.48,11.25,11.20
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.36,-1.53,65.00,0.00,0.94,32.50,32.19
Facilities manager,Public relations manager,23.4,66.4,90.26,-0.39,-0.96,0.00,5.00,0.28,2.50,2.49
Sales manager,Training and development specialist,33.1,56.7,90.18,-0.41,-0.62,0.00,0.00,0.11,0.00,0.00
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.15,-1.65,0.00,0.00,0.90,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.33,-0.32,2.50,0.00,-0.01,1.25,1.25
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-0.58,-0.90,0.00,0.00,0.16,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-1.00,-0.25,0.00,0.00,-0.38,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.48,-0.81,0.00,0.00,0.17,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,-0.62,-0.34,0.00,0.00,-0.14,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,-0.27,-0.84,0.00,0.00,0.28,0.00,0.00
