occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.44,0.53,100.00,100.00,0.45,100.00,99.55
Sales manager,Marketing manager,33.1,62.4,96.46,0.62,0.32,100.00,100.00,0.15,100.00,99.85
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.75,0.49,100.00,100.00,0.13,100.00,99.87
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.86,0.17,100.00,100.00,0.34,100.00,99.66
Project management specialist,Marketing manager,47.3,62.4,95.99,0.45,0.75,100.00,100.00,-0.15,100.00,99.85
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.66,0.02,100.00,100.00,0.32,100.00,99.68
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,1.39,-0.24,100.00,100.00,0.82,100.00,99.18
Management analyst,Marketing manager,46.6,62.4,94.88,0.63,0.74,100.00,100.00,-0.06,100.00,99.94
Sales manager,Public relations manager,33.1,66.4,94.60,0.85,0.14,100.00,100.00,0.36,100.00,99.64
Management analyst,Marketing specialist,46.6,61.7,94.50,1.01,0.20,100.00,100.00,0.40,100.00,99.60
Sales manager,Human resources manager,33.1,76.5,94.40,0.67,0.32,100.00,100.00,0.18,100.00,99.82
Sales manager,Marketing specialist,33.1,61.7,94.34,1.02,0.13,100.00,100.00,0.45,100.00,99.55
Training and development manager,Marketing manager,48.0,62.4,94.32,0.81,0.61,100.00,100.00,0.10,100.00,99.90
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.18,0.41,100.00,100.00,0.39,100.00,99.61
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.75,0.59,100.00,100.00,0.08,100.00,99.92
Purchasing manager,Financial manager,47.7,56.2,94.07,0.48,1.29,100.00,100.00,-0.40,100.00,99.60
Management analyst,Financial manager,46.6,56.2,94.00,0.30,1.05,100.00,100.00,-0.37,100.00,99.63
Sales manager,Financial manager,33.1,56.2,93.76,0.36,1.05,100.00,100.00,-0.34,100.00,99.66
Training and development manager,Human resources manager,48.0,76.5,93.69,0.90,0.62,100.00,100.00,0.14,100.00,99.86
Project management specialist,Public relations manager,47.3,66.4,93.13,0.78,0.41,100.00,100.00,0.18,100.00,99.82
Management analyst,Operations research analyst,46.6,55.0,92.92,0.67,0.41,100.00,100.00,0.13,100.00,99.87
Management analyst,Public relations manager,46.6,66.4,92.91,0.84,0.39,100.00,100.00,0.23,100.00,99.77
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.71,0.68,100.00,100.00,0.01,100.00,99.99
Training and development manager,Public relations manager,48.0,66.4,92.59,1.09,0.35,100.00,100.00,0.37,100.00,99.63
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.66,0.66,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources manager,47.3,76.5,92.47,0.52,0.56,100.00,100.00,-0.02,100.00,99.98
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.04,0.38,100.00,100.00,0.33,100.00,99.67
Management analyst,Human resources manager,46.6,76.5,92.37,0.61,0.43,100.00,100.00,0.09,100.00,99.91
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.07,0.11,100.00,100.00,0.48,100.00,99.52
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.92,0.55,100.00,100.00,0.18,100.00,99.82
Project management specialist,Human resources worker,47.3,76.5,92.21,0.83,0.58,100.00,100.00,0.13,100.00,99.87
Facilities manager,Human resources manager,23.4,76.5,92.06,0.83,0.59,100.00,100.00,0.12,100.00,99.88
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.52,-0.04,100.00,100.00,0.78,100.00,99.22
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.31,0.16,100.00,100.00,0.58,100.00,99.42
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.32,-0.15,100.00,100.00,0.73,100.00,99.27
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.09,-0.02,100.00,100.00,0.55,100.00,99.45
Management analyst,Human resources worker,46.6,76.5,91.64,0.88,0.47,100.00,100.00,0.20,100.00,99.80
Training and development manager,Human resources worker,48.0,76.5,91.58,1.20,0.55,100.00,100.00,0.32,100.00,99.68
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.48,0.65,100.00,100.00,-0.08,100.00,99.92
Project management specialist,Financial manager,47.3,56.2,91.15,0.22,1.66,100.00,100.00,-0.72,100.00,99.28
Sales manager,Human resources worker,33.1,76.5,91.09,0.90,0.29,100.00,100.00,0.31,100.00,99.69
Facilities manager,Marketing manager,23.4,62.4,90.92,0.76,0.76,100.00,100.00,0.00,100.00,100.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.20,0.63,100.00,100.00,0.29,100.00,99.71
