occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.02,-0.08,100.00,100.00,0.05,100.00,99.95
Sales manager,Marketing manager,33.1,62.4,96.46,0.02,-0.19,100.00,100.00,0.11,100.00,99.89
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.42,-0.22,100.00,100.00,0.32,100.00,99.68
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.20,-0.72,100.00,100.00,0.46,100.00,99.54
Project management specialist,Marketing manager,47.3,62.4,95.99,0.18,-1.08,100.00,100.00,0.63,100.00,99.37
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.64,-0.03,100.00,100.00,-0.30,100.00,99.70
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.55,-2.16,100.00,92.50,0.81,96.25,95.47
Management analyst,Marketing manager,46.6,62.4,94.88,0.08,-3.50,100.00,100.00,1.79,100.00,98.21
Sales manager,Public relations manager,33.1,66.4,94.60,0.18,-0.24,100.00,100.00,0.21,100.00,99.79
Management analyst,Marketing specialist,46.6,61.7,94.50,0.09,-5.34,100.00,100.00,2.72,100.00,97.28
Sales manager,Human resources manager,33.1,76.5,94.40,0.21,-0.38,100.00,100.00,0.30,100.00,99.70
Sales manager,Marketing specialist,33.1,61.7,94.34,0.08,-0.30,100.00,100.00,0.19,100.00,99.81
Training and development manager,Marketing manager,48.0,62.4,94.32,0.02,-0.23,100.00,100.00,0.13,100.00,99.87
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.08,-0.30,100.00,100.00,0.19,100.00,99.81
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.22,-0.58,100.00,100.00,0.40,100.00,99.60
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.38,-0.06,100.00,100.00,-0.16,100.00,99.84
Management analyst,Financial manager,46.6,56.2,94.00,-0.29,-2.03,100.00,100.00,0.87,100.00,99.13
Sales manager,Financial manager,33.1,56.2,93.76,-0.63,-0.12,100.00,100.00,-0.26,100.00,99.74
Training and development manager,Human resources manager,48.0,76.5,93.69,0.16,-0.21,100.00,100.00,0.19,100.00,99.81
Project management specialist,Public relations manager,47.3,66.4,93.13,0.21,-0.63,100.00,100.00,0.42,100.00,99.58
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.56,-1.35,100.00,100.00,0.39,100.00,99.61
Management analyst,Public relations manager,46.6,66.4,92.91,0.14,-4.40,100.00,100.00,2.27,100.00,97.73
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.09,-0.27,100.00,100.00,0.18,100.00,99.82
Training and development manager,Public relations manager,48.0,66.4,92.59,0.03,-0.33,100.00,100.00,0.18,100.00,99.82
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.01,-0.14,100.00,100.00,0.07,100.00,99.93
Project management specialist,Human resources manager,47.3,76.5,92.47,0.28,-0.79,100.00,100.00,0.53,100.00,99.47
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.07,-0.19,100.00,100.00,0.13,100.00,99.87
Management analyst,Human resources manager,46.6,76.5,92.37,0.23,-4.18,100.00,100.00,2.21,100.00,97.79
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.23,-1.94,100.00,100.00,1.08,100.00,98.92
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.04,-1.69,100.00,100.00,0.82,100.00,99.18
Project management specialist,Human resources worker,47.3,76.5,92.21,0.27,-0.92,100.00,100.00,0.60,100.00,99.40
Facilities manager,Human resources manager,23.4,76.5,92.06,0.74,-0.13,100.00,100.00,0.43,100.00,99.57
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.21,-0.28,100.00,100.00,0.25,100.00,99.75
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.04,-0.57,100.00,100.00,0.31,100.00,99.69
