occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.28,-0.19,0.00,0.00,0.24,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.34,-0.03,0.00,0.00,0.18,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.62,-0.50,0.00,0.00,0.56,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.22,-0.27,0.00,0.00,0.74,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,1.21,-0.25,0.00,0.00,0.73,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.51,1.92,0.00,2.50,-0.70,1.25,1.24
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,2.11,1.50,7.50,2.50,0.30,5.00,4.98
Management analyst,Marketing manager,46.6,62.4,94.88,5.84,-0.11,0.00,0.00,2.97,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.33,-0.26,0.00,0.00,0.29,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,6.97,-0.12,0.00,0.00,3.54,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.52,-0.54,0.00,0.00,0.53,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.46,-0.21,0.00,0.00,0.34,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,0.43,-0.04,0.00,0.00,0.23,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.25,-0.10,0.00,0.00,0.18,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.36,-0.38,0.00,0.00,0.87,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,0.15,0.59,0.00,0.00,-0.22,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,2.37,0.10,0.00,0.00,1.13,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.13,0.64,0.00,0.00,-0.25,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,0.26,-0.42,0.00,0.00,0.34,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,1.85,-0.29,0.00,0.00,1.07,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,3.54,1.27,0.00,0.00,1.14,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,6.94,-0.20,5.00,0.00,3.57,2.50,2.41
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.27,-0.41,0.00,0.00,0.34,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,0.38,-0.07,0.00,0.00,0.22,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.52,0.00,0.00,0.00,0.26,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,1.69,-0.41,0.00,0.00,1.05,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.27,-0.12,0.00,0.00,0.20,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,7.22,-0.33,5.00,0.00,3.78,2.50,2.41
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,7.41,-0.40,32.50,0.00,3.91,16.25,15.62
Financial and investment analyst,Financial manager,43.9,56.2,92.25,2.43,0.06,2.50,0.00,1.19,1.25,1.24
Project management specialist,Human resources worker,47.3,76.5,92.21,2.46,-0.44,0.00,0.00,1.45,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,0.40,-0.69,0.00,0.00,0.55,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.80,-0.96,0.00,0.00,1.38,0.00,0.00
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.78,-0.05,0.00,0.00,0.42,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,6.60,-2.16,10.00,0.00,4.38,5.00,4.78
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,8.19,-0.68,17.50,0.00,4.43,8.75,8.36
Management analyst,Human resources worker,46.6,76.5,91.64,8.68,-0.42,12.50,0.00,4.55,6.25,5.97
Training and development manager,Human resources worker,48.0,76.5,91.58,0.64,-0.47,0.00,0.00,0.55,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.08,1.90,0.00,0.00,-0.91,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,0.27,0.15,0.00,0.00,0.06,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,0.71,-0.86,0.00,0.00,0.79,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,0.53,-0.40,0.00,0.00,0.46,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,0.56,-0.20,0.00,0.00,0.38,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,0.40,-0.56,0.00,0.00,0.48,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,6.59,-0.19,2.50,0.00,3.39,1.25,1.21
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.35,-0.60,0.00,0.00,0.48,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,6.30,-0.50,0.00,0.00,3.40,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,7.41,-0.44,27.50,0.00,3.92,13.75,13.21
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,4.80,-0.12,20.00,0.00,2.46,10.00,9.75
Facilities manager,Public relations manager,23.4,66.4,90.26,0.64,-0.23,0.00,0.00,0.43,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,90.18,0.30,-0.39,0.00,0.00,0.34,0.00,0.00
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,6.54,-0.58,37.50,0.00,3.56,18.75,18.08
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,4.22,-0.11,30.00,0.00,2.16,15.00,14.68
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.58,-0.11,0.00,0.00,0.35,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-0.40,0.16,0.00,0.00,-0.28,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.27,-1.13,0.00,0.00,0.70,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,1.53,1.19,0.00,0.00,0.17,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.12,-0.91,0.00,0.00,1.51,0.00,0.00
Facilities manager,Social and community service manager,23.4,71.7,89.67,2.32,-0.23,2.50,0.00,1.27,1.25,1.23
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.25,-0.53,0.00,0.00,0.39,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,2.36,0.71,5.00,2.50,0.83,3.75,3.72
Operation manager,Financial manager,37.1,56.2,89.31,0.10,0.60,0.00,0.00,-0.25,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.61,-1.60,0.00,0.00,1.60,0.00,0.00
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.53,0.59,0.00,0.00,-0.03,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,6.94,-0.48,7.50,0.00,3.71,3.75,3.61
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.41,0.42,0.00,0.00,-0.00,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,0.42,-1.59,0.00,0.00,1.00,0.00,0.00
Software developer,Marketing specialist,20.2,61.7,88.94,8.64,-0.37,15.00,0.00,4.50,7.50,7.16
Industrial production manager,Marketing manager,19.1,62.4,88.93,3.66,-0.47,7.50,0.00,2.07,3.75,3.67
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.16,-0.48,0.00,2.50,0.32,1.25,1.25
Software developer,Operations research analyst,20.2,55.0,88.88,1.72,0.58,0.00,2.50,0.57,1.25,1.24
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,2.43,-0.11,27.50,0.00,1.27,13.75,13.58
Information security analyst,Administrative services manager,19.3,74.0,88.53,4.30,-0.49,15.00,0.00,2.40,7.50,7.32
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.58,2.34,0.00,60.00,-0.88,30.00,29.74
Facilities manager,Financial manager,23.4,56.2,88.37,0.17,0.46,0.00,2.50,-0.15,1.25,1.25
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,5.71,-0.21,42.50,0.00,2.96,21.25,20.62
Industrial production manager,Public relations manager,19.1,66.4,88.35,3.96,-0.67,5.00,0.00,2.31,2.50,2.44
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.56,-0.14,0.00,0.00,0.85,0.00,0.00
Industrial production manager,Administrative services manager,19.1,74.0,88.30,1.08,-2.38,0.00,0.00,1.73,0.00,0.00
