occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.04,-0.07,100.00,100.00,0.02,100.00,99.98
Sales manager,Marketing manager,33.1,62.4,96.46,0.58,-0.91,100.00,100.00,0.74,100.00,99.26
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.28,-0.61,100.00,100.00,0.94,100.00,99.06
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.50,-1.70,100.00,100.00,1.10,100.00,98.90
Project management specialist,Marketing manager,47.3,62.4,95.99,0.78,-2.41,100.00,100.00,1.60,100.00,98.40
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.88,-0.25,100.00,100.00,-0.31,100.00,99.69
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.35,-5.05,100.00,87.50,2.35,93.75,91.55
Management analyst,Marketing manager,46.6,62.4,94.88,0.15,-2.82,100.00,100.00,1.49,100.00,98.51
Sales manager,Public relations manager,33.1,66.4,94.60,2.04,-0.31,100.00,100.00,1.17,100.00,98.83
Management analyst,Marketing specialist,46.6,61.7,94.50,0.08,-2.79,100.00,100.00,1.44,100.00,98.56
Sales manager,Human resources manager,33.1,76.5,94.40,0.90,-1.15,100.00,100.00,1.02,100.00,98.98
Sales manager,Marketing specialist,33.1,61.7,94.34,0.43,-0.88,100.00,100.00,0.65,100.00,99.35
Training and development manager,Marketing manager,48.0,62.4,94.32,0.23,-0.01,100.00,100.00,0.12,100.00,99.88
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.60,-0.15,100.00,100.00,0.38,100.00,99.62
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.01,-1.22,100.00,100.00,1.61,100.00,98.39
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.74,0.06,100.00,100.00,-0.40,100.00,99.60
Management analyst,Financial manager,46.6,56.2,94.00,-0.38,0.96,100.00,100.00,-0.67,100.00,99.33
Sales manager,Financial manager,33.1,56.2,93.76,-0.14,-0.24,100.00,100.00,0.05,100.00,99.95
Training and development manager,Human resources manager,48.0,76.5,93.69,0.51,0.11,100.00,100.00,0.20,100.00,99.80
Project management specialist,Public relations manager,47.3,66.4,93.13,1.16,-1.02,100.00,100.00,1.09,100.00,98.91
Management analyst,Operations research analyst,46.6,55.0,92.92,0.72,-2.94,100.00,100.00,1.83,100.00,98.17
Management analyst,Public relations manager,46.6,66.4,92.91,0.21,-2.47,100.00,100.00,1.34,100.00,98.66
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.34,-0.42,100.00,100.00,0.88,100.00,99.12
Training and development manager,Public relations manager,48.0,66.4,92.59,0.50,0.25,100.00,100.00,0.13,100.00,99.87
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.30,-0.11,100.00,100.00,0.20,100.00,99.80
Project management specialist,Human resources manager,47.3,76.5,92.47,0.97,-1.77,100.00,100.00,1.37,100.00,98.63
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.19,-0.17,100.00,100.00,0.68,100.00,99.32
Management analyst,Human resources manager,46.6,76.5,92.37,0.42,-5.14,100.00,100.00,2.78,100.00,97.22
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.80,-1.79,100.00,100.00,1.29,100.00,98.71
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.09,-0.45,100.00,100.00,0.18,100.00,99.82
Project management specialist,Human resources worker,47.3,76.5,92.21,0.61,-2.07,100.00,100.00,1.34,100.00,98.66
Facilities manager,Human resources manager,23.4,76.5,92.06,4.37,-0.33,100.00,100.00,2.35,100.00,97.65
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.02,-0.45,100.00,100.00,0.74,100.00,99.26
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.18,0.14,100.00,100.00,0.02,100.00,99.98
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,2.38,-1.97,100.00,100.00,2.17,100.00,97.83
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.78,-2.34,100.00,100.00,1.56,100.00,98.44
Management analyst,Human resources worker,46.6,76.5,91.64,0.36,-5.50,100.00,100.00,2.93,100.00,97.07
Training and development manager,Human resources worker,48.0,76.5,91.58,0.22,-0.41,100.00,100.00,0.32,100.00,99.68
Project management specialist,Operations research analyst,47.3,55.0,91.31,1.92,-0.61,100.00,100.00,1.26,100.00,98.74
Project management specialist,Financial manager,47.3,56.2,91.15,-0.05,-0.98,100.00,100.00,0.46,100.00,99.54
Sales manager,Human resources worker,33.1,76.5,91.09,0.70,-1.11,100.00,100.00,0.91,100.00,99.09
Facilities manager,Marketing manager,23.4,62.4,90.92,1.22,-0.25,100.00,100.00,0.73,100.00,99.27
Facilities manager,Administrative services manager,23.4,74.0,90.81,7.17,-0.52,100.00,100.00,3.85,100.00,96.15
Sales manager,Administrative services manager,33.1,74.0,90.73,4.20,-1.04,100.00,100.00,2.62,100.00,97.38
Management analyst,Administrative services manager,46.6,74.0,90.68,0.84,-2.74,100.00,97.50,1.79,98.75,96.98
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.89,-0.47,100.00,100.00,0.68,100.00,99.32
Management analyst,Training and development specialist,46.6,56.7,90.32,0.67,-2.86,100.00,100.00,1.76,100.00,98.24
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.75,-1.21,100.00,100.00,0.98,100.00,99.02
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.14,-1.53,100.00,100.00,0.84,100.00,99.16
Facilities manager,Public relations manager,23.4,66.4,90.26,2.21,-0.18,100.00,100.00,1.19,100.00,98.81
Sales manager,Training and development specialist,33.1,56.7,90.18,1.39,-0.40,100.00,100.00,0.90,100.00,99.10
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.57,-3.12,100.00,97.50,1.85,98.75,96.93
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.23,-1.45,100.00,100.00,0.84,100.00,99.16
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.28,-0.01,100.00,100.00,0.14,100.00,99.86
Training and development manager,Financial manager,48.0,56.2,90.06,-0.30,1.44,100.00,100.00,-0.87,100.00,99.13
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.66,-0.67,100.00,100.00,0.01,100.00,99.99
Management analyst,Accountant,46.6,57.0,89.84,-0.97,0.31,100.00,100.00,-0.64,100.00,99.36
Industrial production manager,Human resources manager,19.1,76.5,89.80,1.61,-0.51,100.00,100.00,1.06,100.00,98.94
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.38,-3.00,100.00,97.50,1.69,98.75,97.08
Purchasing manager,Administrative services manager,47.7,74.0,89.51,4.06,-0.47,100.00,100.00,2.26,100.00,97.74
Industrial production manager,Financial manager,19.1,56.2,89.51,-0.47,-0.29,100.00,100.00,-0.09,100.00,99.91
Operation manager,Financial manager,37.1,56.2,89.31,-1.47,-0.08,97.50,100.00,-0.69,98.75,98.07
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.40,-0.51,100.00,100.00,0.96,100.00,99.04
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.39,-0.67,100.00,100.00,0.14,100.00,99.86
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.71,-1.73,100.00,100.00,1.22,100.00,98.78
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.89,-0.82,100.00,100.00,0.86,100.00,99.14
Facilities manager,Human resources worker,23.4,76.5,88.96,3.28,-0.24,100.00,100.00,1.76,100.00,98.24
Software developer,Marketing specialist,20.2,61.7,88.94,0.61,-3.28,100.00,100.00,1.95,100.00,98.05
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.62,-0.43,100.00,100.00,0.53,100.00,99.47
Facilities manager,Training and development specialist,23.4,56.7,88.90,4.52,-0.20,100.00,100.00,2.36,100.00,97.64
Software developer,Operations research analyst,20.2,55.0,88.88,1.36,-1.92,100.00,100.00,1.64,100.00,98.36
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.29,-4.45,100.00,97.50,2.37,98.75,96.41
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.48,-0.94,100.00,100.00,0.71,100.00,99.29
Industrial production manager,Operations research analyst,19.1,55.0,88.39,2.39,-0.22,97.50,100.00,1.30,98.75,97.46
Facilities manager,Financial manager,23.4,56.2,88.37,0.91,-0.15,100.00,100.00,0.53,100.00,99.47
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,0.24,-3.43,100.00,95.00,1.83,97.50,95.71
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.37,-0.20,100.00,100.00,0.79,100.00,99.21
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.03,-0.48,100.00,100.00,0.75,100.00,99.25
Industrial production manager,Administrative services manager,19.1,74.0,88.30,5.04,-0.55,100.00,100.00,2.80,100.00,97.20
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.38,-0.23,100.00,100.00,0.81,100.00,99.19
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.16,-2.51,100.00,97.50,1.33,98.75,97.43
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,0.83,-0.29,100.00,100.00,0.56,100.00,99.44
Operation manager,Marketing manager,37.1,62.4,88.12,0.53,-0.15,100.00,100.00,0.34,100.00,99.66
Industrial production manager,Training and development specialist,19.1,56.7,88.10,2.59,-0.20,100.00,100.00,1.39,100.00,98.61
