occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.02,-0.10,100.00,100.00,0.04,100.00,99.96
Sales manager,Marketing manager,33.1,62.4,96.46,0.65,-1.01,100.00,100.00,0.83,100.00,99.17
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.00,-0.60,100.00,100.00,0.80,100.00,99.20
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.37,-1.36,100.00,100.00,0.86,100.00,99.14
Project management specialist,Marketing manager,47.3,62.4,95.99,0.67,-1.92,100.00,100.00,1.30,100.00,98.70
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.44,-0.03,100.00,100.00,-0.20,100.00,99.80
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.33,-3.58,100.00,87.50,1.95,93.75,91.92
Management analyst,Marketing manager,46.6,62.4,94.88,0.05,0.26,100.00,100.00,-0.11,100.00,99.89
Sales manager,Public relations manager,33.1,66.4,94.60,2.12,-0.29,100.00,100.00,1.21,100.00,98.79
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.01,0.90,100.00,100.00,-0.46,100.00,99.54
Sales manager,Human resources manager,33.1,76.5,94.40,0.82,-1.26,100.00,100.00,1.04,100.00,98.96
Sales manager,Marketing specialist,33.1,61.7,94.34,0.49,-0.98,100.00,100.00,0.73,100.00,99.27
Training and development manager,Marketing manager,48.0,62.4,94.32,0.20,0.26,100.00,100.00,-0.03,100.00,99.97
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.66,-0.02,100.00,100.00,0.34,100.00,99.66
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.91,-1.00,100.00,100.00,1.45,100.00,98.55
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.53,0.20,100.00,100.00,-0.36,100.00,99.64
Management analyst,Financial manager,46.6,56.2,94.00,-0.22,3.57,100.00,100.00,-1.89,100.00,98.11
Sales manager,Financial manager,33.1,56.2,93.76,0.26,-0.15,100.00,100.00,0.20,100.00,99.80
Training and development manager,Human resources manager,48.0,76.5,93.69,0.29,0.24,100.00,100.00,0.02,100.00,99.98
Project management specialist,Public relations manager,47.3,66.4,93.13,1.16,-0.81,100.00,100.00,0.99,100.00,99.01
Management analyst,Operations research analyst,46.6,55.0,92.92,1.36,0.18,100.00,100.00,0.59,100.00,99.41
Management analyst,Public relations manager,46.6,66.4,92.91,0.13,0.07,100.00,100.00,0.03,100.00,99.97
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.15,-0.27,100.00,100.00,0.71,100.00,99.29
Training and development manager,Public relations manager,48.0,66.4,92.59,0.50,0.31,100.00,100.00,0.09,100.00,99.91
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.25,0.05,100.00,100.00,0.10,100.00,99.90
Project management specialist,Human resources manager,47.3,76.5,92.47,0.81,-1.52,100.00,100.00,1.16,100.00,98.84
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.18,-0.09,100.00,100.00,0.64,100.00,99.36
Management analyst,Human resources manager,46.6,76.5,92.37,0.18,-2.15,100.00,100.00,1.17,100.00,98.83
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.58,-0.62,100.00,97.50,0.60,98.75,98.16
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.02,0.33,100.00,100.00,-0.18,100.00,99.82
Project management specialist,Human resources worker,47.3,76.5,92.21,0.45,-1.67,100.00,100.00,1.06,100.00,98.94
Facilities manager,Human resources manager,23.4,76.5,92.06,4.32,-0.22,100.00,100.00,2.27,100.00,97.73
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.79,-0.39,100.00,100.00,0.59,100.00,99.41
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.16,0.66,100.00,100.00,-0.25,100.00,99.75
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.90,-1.39,100.00,100.00,1.64,100.00,98.36
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.55,-1.65,100.00,100.00,1.10,100.00,98.90
Management analyst,Human resources worker,46.6,76.5,91.64,0.13,-1.65,100.00,100.00,0.89,100.00,99.11
Training and development manager,Human resources worker,48.0,76.5,91.58,-0.07,-0.02,100.00,100.00,-0.02,100.00,99.98
Project management specialist,Operations research analyst,47.3,55.0,91.31,3.20,-0.51,100.00,100.00,1.86,100.00,98.14
Project management specialist,Financial manager,47.3,56.2,91.15,0.21,-0.78,100.00,100.00,0.49,100.00,99.51
Sales manager,Human resources worker,33.1,76.5,91.09,0.38,-1.34,100.00,100.00,0.86,100.00,99.14
Facilities manager,Marketing manager,23.4,62.4,90.92,1.43,-0.13,100.00,100.00,0.78,100.00,99.22
Facilities manager,Administrative services manager,23.4,74.0,90.81,8.20,-0.30,100.00,100.00,4.25,100.00,95.75
Sales manager,Administrative services manager,33.1,74.0,90.73,4.17,-1.14,100.00,100.00,2.65,100.00,97.35
