occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.03,0.09,0.00,0.00,-0.03,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.98,-0.58,0.00,0.00,0.78,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.53,-1.65,0.00,0.00,1.59,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,2.37,-0.81,0.00,0.00,1.59,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,1.94,-0.99,0.00,0.00,1.46,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.33,-1.77,0.00,7.50,1.05,3.75,3.71
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,2.84,-0.48,17.50,2.50,1.66,10.00,9.83
Management analyst,Marketing manager,46.6,62.4,94.88,-1.97,-0.16,2.50,0.00,-0.91,1.25,1.24
Sales manager,Public relations manager,33.1,66.4,94.60,0.73,-2.59,0.00,0.00,1.66,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,-3.56,-0.15,7.50,0.00,-1.71,3.75,3.69
Sales manager,Human resources manager,33.1,76.5,94.40,1.85,-1.22,0.00,0.00,1.54,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,1.79,-0.45,0.00,0.00,1.12,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.43,-0.16,0.00,0.00,-0.64,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.63,-1.53,0.00,0.00,0.45,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.46,-3.44,0.00,0.00,2.95,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.31,0.15,0.00,0.00,-0.23,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-4.70,0.19,0.00,0.00,-2.44,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.46,-1.00,0.00,0.00,0.73,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.95,-0.76,0.00,0.00,-0.10,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,2.96,-3.04,0.00,0.00,3.00,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-3.90,-0.90,0.00,0.00,-1.50,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,-0.17,-0.88,5.00,0.00,0.36,2.50,2.49
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.31,-0.88,0.00,0.00,0.60,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.59,-0.80,0.00,0.00,0.11,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.11,-0.34,0.00,0.00,0.12,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,2.71,-1.42,0.00,0.00,2.07,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.13,-1.97,0.00,0.00,1.05,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,-0.74,-0.24,17.50,0.00,-0.25,8.75,8.73
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,3.59,-1.09,52.50,0.00,2.34,26.25,25.64
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.40,0.09,5.00,0.00,-0.24,2.50,2.49
Project management specialist,Human resources worker,47.3,76.5,92.21,4.00,-0.38,2.50,0.00,2.19,1.25,1.22
