occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.21,0.25,100.00,100.00,0.48,100.00,99.52
Sales manager,Marketing manager,33.1,62.4,96.46,2.00,-0.14,100.00,100.00,1.07,100.00,98.93
Project management specialist,Training and development specialist,47.3,56.7,96.32,2.34,0.46,100.00,100.00,0.94,100.00,99.06
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.40,0.73,100.00,100.00,0.34,100.00,99.66
Project management specialist,Marketing manager,47.3,62.4,95.99,1.02,0.96,100.00,100.00,0.03,100.00,99.97
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.61,0.17,100.00,100.00,0.22,100.00,99.78
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.56,1.18,100.00,100.00,-0.31,100.00,99.69
Management analyst,Marketing manager,46.6,62.4,94.88,0.90,-0.41,100.00,100.00,0.66,100.00,99.34
Sales manager,Public relations manager,33.1,66.4,94.60,2.03,-0.20,100.00,100.00,1.12,100.00,98.88
Management analyst,Marketing specialist,46.6,61.7,94.50,0.93,-1.21,100.00,100.00,1.07,100.00,98.93
Sales manager,Human resources manager,33.1,76.5,94.40,2.26,-0.12,100.00,100.00,1.19,100.00,98.81
Sales manager,Marketing specialist,33.1,61.7,94.34,2.02,-0.53,100.00,100.00,1.27,100.00,98.73
Training and development manager,Marketing manager,48.0,62.4,94.32,0.63,1.69,100.00,100.00,-0.53,100.00,99.47
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.02,0.63,100.00,100.00,0.19,100.00,99.81
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.18,0.43,100.00,100.00,0.38,100.00,99.62
Purchasing manager,Financial manager,47.7,56.2,94.07,1.34,0.57,100.00,100.00,0.38,100.00,99.62
Management analyst,Financial manager,46.6,56.2,94.00,1.18,0.65,100.00,100.00,0.26,100.00,99.74
Sales manager,Financial manager,33.1,56.2,93.76,1.08,0.25,100.00,100.00,0.42,100.00,99.58
Training and development manager,Human resources manager,48.0,76.5,93.69,1.36,0.74,100.00,100.00,0.31,100.00,99.69
Project management specialist,Public relations manager,47.3,66.4,93.13,0.93,0.69,100.00,100.00,0.12,100.00,99.88
Management analyst,Operations research analyst,46.6,55.0,92.92,1.05,0.94,100.00,100.00,0.05,100.00,99.95
Management analyst,Public relations manager,46.6,66.4,92.91,0.97,-0.64,100.00,100.00,0.80,100.00,99.20
Purchasing manager,Human resources manager,47.7,76.5,92.77,2.76,-0.09,100.00,100.00,1.42,100.00,98.58
Training and development manager,Public relations manager,48.0,66.4,92.59,0.65,1.10,100.00,100.00,-0.23,100.00,99.77
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.41,-0.04,100.00,100.00,0.73,100.00,99.27
Project management specialist,Human resources manager,47.3,76.5,92.47,1.13,0.39,100.00,100.00,0.37,100.00,99.63
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.81,0.01,100.00,100.00,0.90,100.00,99.10
Management analyst,Human resources manager,46.6,76.5,92.37,1.55,-0.36,100.00,100.00,0.96,100.00,99.04
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.81,-0.44,100.00,100.00,0.62,100.00,99.38
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.95,2.08,100.00,100.00,-0.56,100.00,99.44
Project management specialist,Human resources worker,47.3,76.5,92.21,1.47,0.03,100.00,100.00,0.72,100.00,99.28
Facilities manager,Human resources manager,23.4,76.5,92.06,1.76,-0.47,100.00,100.00,1.11,100.00,98.89
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.45,-0.40,100.00,100.00,0.93,100.00,99.07
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.81,1.34,100.00,100.00,-0.26,100.00,99.74
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.41,-0.45,100.00,100.00,0.93,100.00,99.07
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.07,-0.38,100.00,100.00,0.72,100.00,99.28
Management analyst,Human resources worker,46.6,76.5,91.64,1.45,-0.85,100.00,100.00,1.15,100.00,98.85
Training and development manager,Human resources worker,48.0,76.5,91.58,1.32,0.07,100.00,100.00,0.63,100.00,99.37
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.45,0.69,100.00,100.00,-0.12,100.00,99.88
Project management specialist,Financial manager,47.3,56.2,91.15,0.63,1.30,100.00,100.00,-0.33,100.00,99.67
Sales manager,Human resources worker,33.1,76.5,91.09,2.45,-0.40,100.00,100.00,1.43,100.00,98.57
Facilities manager,Marketing manager,23.4,62.4,90.92,0.92,-0.82,100.00,100.00,0.87,100.00,99.13
Facilities manager,Administrative services manager,23.4,74.0,90.81,2.99,-0.76,100.00,100.00,1.88,100.00,98.12
Sales manager,Administrative services manager,33.1,74.0,90.73,2.16,-0.11,100.00,100.00,1.14,100.00,98.86
Management analyst,Administrative services manager,46.6,74.0,90.68,2.21,-0.69,100.00,100.00,1.45,100.00,98.55
Purchasing manager,Human resources worker,47.7,76.5,90.36,3.68,-0.45,100.00,100.00,2.07,100.00,97.93
Management analyst,Training and development specialist,46.6,56.7,90.32,1.56,-0.34,100.00,100.00,0.95,100.00,99.05
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.86,-0.55,100.00,100.00,0.71,100.00,99.29
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.95,0.34,100.00,100.00,0.30,100.00,99.70
Facilities manager,Public relations manager,23.4,66.4,90.26,0.96,-0.53,100.00,100.00,0.75,100.00,99.25
Sales manager,Training and development specialist,33.1,56.7,90.18,3.21,0.00,100.00,100.00,1.60,100.00,98.40
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.89,0.42,100.00,100.00,0.24,100.00,99.76
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.77,0.32,100.00,100.00,0.23,100.00,99.77
Purchasing manager,Marketing specialist,47.7,61.7,90.08,1.60,-0.35,100.00,100.00,0.98,100.00,99.02
Training and development manager,Financial manager,48.0,56.2,90.06,0.38,2.77,100.00,100.00,-1.19,100.00,98.81
Sales manager,Advertising sales agent,33.1,52.7,89.99,3.32,-0.10,100.00,100.00,1.71,100.00,98.29
Management analyst,Accountant,46.6,57.0,89.84,1.12,0.36,100.00,100.00,0.38,100.00,99.62
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.54,-0.31,100.00,100.00,1.43,100.00,98.57
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.27,-0.85,100.00,100.00,1.06,100.00,98.94
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.25,-0.14,100.00,100.00,1.19,100.00,98.81
Industrial production manager,Financial manager,19.1,56.2,89.51,1.54,-0.09,100.00,100.00,0.82,100.00,99.18
Operation manager,Financial manager,37.1,56.2,89.31,1.02,0.19,100.00,100.00,0.41,100.00,99.59
Industrial production manager,Human resources worker,19.1,76.5,89.29,3.05,-0.51,100.00,100.00,1.78,100.00,98.22
Sales manager,Insurance sales agent,33.1,54.9,89.13,2.14,-0.89,100.00,100.00,1.51,100.00,98.49
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.93,-0.48,100.00,100.00,0.71,100.00,99.29
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.88,-1.09,100.00,100.00,0.99,100.00,99.01
Facilities manager,Human resources worker,23.4,76.5,88.96,2.23,-0.76,100.00,100.00,1.49,100.00,98.51
Software developer,Marketing specialist,20.2,61.7,88.94,1.31,-1.95,100.00,100.00,1.63,100.00,98.37
Industrial production manager,Marketing manager,19.1,62.4,88.93,1.14,-0.61,100.00,100.00,0.88,100.00,99.12
Facilities manager,Training and development specialist,23.4,56.7,88.90,2.81,-1.02,100.00,100.00,1.91,100.00,98.09
Software developer,Operations research analyst,20.2,55.0,88.88,1.11,-0.01,100.00,100.00,0.56,100.00,99.44
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.36,0.89,100.00,100.00,-0.26,100.00,99.74
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.32,-0.21,100.00,100.00,0.27,100.00,99.73
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.68,-0.09,100.00,100.00,0.89,100.00,99.11
Facilities manager,Financial manager,23.4,56.2,88.37,1.22,-0.04,100.00,100.00,0.63,100.00,99.37
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,0.53,0.89,100.00,100.00,-0.18,100.00,99.82
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.42,-0.35,100.00,100.00,0.89,100.00,99.11
Project management specialist,Public relations specialist,47.3,76.2,88.35,1.20,-0.07,100.00,100.00,0.64,100.00,99.36
Industrial production manager,Administrative services manager,19.1,74.0,88.30,2.04,-0.21,100.00,100.00,1.12,100.00,98.88
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.21,-1.04,100.00,100.00,1.12,100.00,98.88
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.66,0.59,100.00,100.00,0.03,100.00,99.97
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,1.47,0.79,100.00,100.00,0.34,100.00,99.66
Operation manager,Marketing manager,37.1,62.4,88.12,0.80,-0.34,100.00,100.00,0.57,100.00,99.43
Industrial production manager,Training and development specialist,19.1,56.7,88.10,3.19,-0.18,100.00,100.00,1.68,100.00,98.32
Purchasing manager,Accountant,47.7,57.0,88.07,2.38,0.19,100.00,100.00,1.09,100.00,98.91
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.77,1.27,100.00,100.00,-0.25,100.00,99.75
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,0.74,0.52,100.00,100.00,0.11,100.00,99.89
Chemical engineer,Medical scientist,21.6,51.8,87.70,0.80,0.34,100.00,100.00,0.23,100.00,99.77
Operation manager,Human resources manager,37.1,76.5,87.61,1.30,-0.29,100.00,100.00,0.79,100.00,99.21
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,1.03,-0.80,100.00,100.00,0.91,100.00,99.09
Operation manager,Public relations manager,37.1,66.4,87.47,0.78,-0.10,100.00,100.00,0.44,100.00,99.56
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.72,0.53,100.00,100.00,0.10,100.00,99.90
Financial and investment analyst,Accountant,43.9,57.0,87.27,0.94,1.47,100.00,100.00,-0.27,100.00,99.73
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,0.90,0.48,100.00,100.00,0.21,100.00,99.79
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,0.73,0.35,100.00,100.00,0.19,100.00,99.81
Purchasing manager,Training and development specialist,47.7,56.7,86.71,3.12,-0.07,100.00,100.00,1.59,100.00,98.41
Web developer,Graphic designer,19.4,54.7,86.62,1.38,0.03,100.00,100.00,0.68,100.00,99.32
Purchasing manager,Social and community service manager,47.7,71.7,86.53,1.98,-0.04,100.00,100.00,1.01,100.00,98.99
