occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.27,-1.31,0.00,0.00,0.52,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.17,-1.97,0.00,0.00,1.07,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.69,-2.74,0.00,0.00,1.03,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,-1.11,-1.58,0.00,0.00,0.24,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-1.30,-0.95,0.00,0.00,-0.18,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.14,-1.07,0.00,0.00,0.46,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-1.25,-0.67,0.00,0.00,-0.29,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,0.31,-1.00,0.00,0.00,0.65,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.26,-2.57,0.00,0.00,1.41,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,1.11,-1.10,0.00,0.00,1.11,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.06,-2.76,0.00,0.00,1.41,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.58,-2.18,0.00,0.00,1.38,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.74,-0.70,0.00,0.00,-0.52,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.63,-1.22,0.00,0.00,0.30,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,-0.63,-1.33,0.00,0.00,0.35,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.42,-1.36,0.00,0.00,0.47,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-0.53,-1.16,0.00,0.00,0.31,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.24,-1.34,0.00,0.00,0.55,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.60,-1.72,0.00,0.00,0.56,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.93,-1.36,0.00,0.00,0.21,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.85,-1.50,0.00,0.00,0.32,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.58,-1.36,0.00,0.00,0.97,0.00,0.00
