occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.60,0.62,100.00,100.00,-0.01,100.00,99.99
Sales manager,Marketing manager,33.1,62.4,96.46,0.84,-0.42,100.00,100.00,0.63,100.00,99.37
Project management specialist,Training and development specialist,47.3,56.7,96.32,2.15,-0.01,100.00,100.00,1.08,100.00,98.92
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.24,0.53,100.00,100.00,0.35,100.00,99.65
Project management specialist,Marketing manager,47.3,62.4,95.99,1.31,0.28,100.00,100.00,0.51,100.00,99.49
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.46,-0.34,100.00,100.00,-0.06,100.00,99.94
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.02,0.11,100.00,100.00,-0.05,100.00,99.95
Management analyst,Marketing manager,46.6,62.4,94.88,1.13,-0.60,100.00,100.00,0.87,100.00,99.13
Sales manager,Public relations manager,33.1,66.4,94.60,1.60,-0.58,100.00,100.00,1.09,100.00,98.91
Management analyst,Marketing specialist,46.6,61.7,94.50,0.81,-0.25,100.00,100.00,0.53,100.00,99.47
Sales manager,Human resources manager,33.1,76.5,94.40,1.91,-0.83,100.00,100.00,1.37,100.00,98.63
Sales manager,Marketing specialist,33.1,61.7,94.34,0.88,0.22,100.00,100.00,0.33,100.00,99.67
Training and development manager,Marketing manager,48.0,62.4,94.32,0.40,1.50,100.00,100.00,-0.55,100.00,99.45
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.37,0.18,100.00,100.00,0.60,100.00,99.40
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.38,0.02,100.00,100.00,1.68,100.00,98.32
Purchasing manager,Financial manager,47.7,56.2,94.07,0.43,0.15,100.00,100.00,0.14,100.00,99.86
Management analyst,Financial manager,46.6,56.2,94.00,0.83,-0.07,100.00,100.00,0.45,100.00,99.55
Sales manager,Financial manager,33.1,56.2,93.76,0.08,-0.10,100.00,100.00,0.09,100.00,99.91
Training and development manager,Human resources manager,48.0,76.5,93.69,1.30,0.07,100.00,100.00,0.61,100.00,99.39
Project management specialist,Public relations manager,47.3,66.4,93.13,1.74,0.05,100.00,100.00,0.84,100.00,99.16
Management analyst,Operations research analyst,46.6,55.0,92.92,0.41,0.47,100.00,100.00,-0.03,100.00,99.97
Management analyst,Public relations manager,46.6,66.4,92.91,1.97,-1.12,100.00,100.00,1.55,100.00,98.45
Purchasing manager,Human resources manager,47.7,76.5,92.77,2.57,-0.59,100.00,100.00,1.58,100.00,98.42
Training and development manager,Public relations manager,48.0,66.4,92.59,0.65,0.97,100.00,100.00,-0.16,100.00,99.84
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.83,-0.08,100.00,100.00,0.45,100.00,99.55
Project management specialist,Human resources manager,47.3,76.5,92.47,2.46,-0.37,100.00,100.00,1.41,100.00,98.59
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.81,-0.35,100.00,100.00,1.08,100.00,98.92
Management analyst,Human resources manager,46.6,76.5,92.37,3.00,-1.35,100.00,100.00,2.17,100.00,97.83
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.85,-0.77,100.00,100.00,0.81,100.00,99.19
Financial and investment analyst,Financial manager,43.9,56.2,92.25,1.31,-0.28,100.00,100.00,0.80,100.00,99.20
Project management specialist,Human resources worker,47.3,76.5,92.21,1.94,-0.41,100.00,100.00,1.17,100.00,98.83
Facilities manager,Human resources manager,23.4,76.5,92.06,2.65,-0.86,100.00,100.00,1.76,100.00,98.24
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.33,-0.90,100.00,100.00,1.11,100.00,98.89
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.54,2.30,100.00,100.00,-0.88,100.00,99.12
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,2.04,-1.05,100.00,100.00,1.55,100.00,98.45
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.47,-1.07,100.00,100.00,1.27,100.00,98.73
Management analyst,Human resources worker,46.6,76.5,91.64,1.82,-1.42,100.00,100.00,1.62,100.00,98.38
Training and development manager,Human resources worker,48.0,76.5,91.58,0.85,0.05,100.00,100.00,0.40,100.00,99.60
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.13,0.26,100.00,100.00,-0.06,100.00,99.94
Project management specialist,Financial manager,47.3,56.2,91.15,0.37,0.59,100.00,100.00,-0.11,100.00,99.89
Sales manager,Human resources worker,33.1,76.5,91.09,1.17,-0.69,100.00,100.00,0.93,100.00,99.07
Facilities manager,Marketing manager,23.4,62.4,90.92,0.79,-0.56,100.00,100.00,0.68,100.00,99.32
Facilities manager,Administrative services manager,23.4,74.0,90.81,3.41,-0.81,100.00,100.00,2.11,100.00,97.89
Sales manager,Administrative services manager,33.1,74.0,90.73,1.90,-0.73,100.00,100.00,1.31,100.00,98.69
Management analyst,Administrative services manager,46.6,74.0,90.68,4.50,-1.26,100.00,100.00,2.88,100.00,97.12
Purchasing manager,Human resources worker,47.7,76.5,90.36,2.35,-0.62,100.00,100.00,1.48,100.00,98.52
Management analyst,Training and development specialist,46.6,56.7,90.32,1.47,-0.34,100.00,100.00,0.91,100.00,99.09
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.00,-0.99,100.00,100.00,0.99,100.00,99.01
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.83,-0.65,100.00,100.00,0.74,100.00,99.26
Facilities manager,Public relations manager,23.4,66.4,90.26,1.52,-0.51,100.00,100.00,1.01,100.00,98.99
Sales manager,Training and development specialist,33.1,56.7,90.18,1.54,-0.08,100.00,100.00,0.81,100.00,99.19
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,2.23,-0.75,100.00,100.00,1.49,100.00,98.51
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.49,-0.54,100.00,100.00,0.52,100.00,99.48
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.93,0.19,100.00,100.00,0.37,100.00,99.63
Training and development manager,Financial manager,48.0,56.2,90.06,-0.14,2.05,100.00,100.00,-1.10,100.00,98.90
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.21,-0.17,100.00,100.00,0.69,100.00,99.31
Management analyst,Accountant,46.6,57.0,89.84,0.53,-0.13,100.00,100.00,0.33,100.00,99.67
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.64,-0.44,100.00,100.00,1.54,100.00,98.46
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.80,-0.77,100.00,100.00,1.29,100.00,98.71
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.48,-0.56,100.00,100.00,1.52,100.00,98.48
Industrial production manager,Financial manager,19.1,56.2,89.51,0.84,-0.16,100.00,100.00,0.50,100.00,99.50
Operation manager,Financial manager,37.1,56.2,89.31,-0.08,0.19,100.00,100.00,-0.14,100.00,99.86
Industrial production manager,Human resources worker,19.1,76.5,89.29,2.50,-0.37,100.00,100.00,1.44,100.00,98.56
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.03,0.02,100.00,100.00,-0.03,100.00,99.97
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.87,-0.34,100.00,100.00,0.61,100.00,99.39
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.99,-1.10,100.00,100.00,1.04,100.00,98.96
Facilities manager,Human resources worker,23.4,76.5,88.96,2.51,-0.81,100.00,100.00,1.66,100.00,98.34
Software developer,Marketing specialist,20.2,61.7,88.94,2.15,-2.34,100.00,100.00,2.25,100.00,97.75
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.99,-0.40,100.00,100.00,0.70,100.00,99.30
Facilities manager,Training and development specialist,23.4,56.7,88.90,2.49,-0.56,100.00,100.00,1.52,100.00,98.48
Software developer,Operations research analyst,20.2,55.0,88.88,1.35,-1.17,100.00,100.00,1.26,100.00,98.74
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.66,-0.81,100.00,100.00,0.73,100.00,99.27
Information security analyst,Administrative services manager,19.3,74.0,88.53,1.71,-0.60,100.00,100.00,1.16,100.00,98.84
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.54,-0.20,100.00,100.00,0.37,100.00,99.63
Facilities manager,Financial manager,23.4,56.2,88.37,0.52,-0.24,100.00,100.00,0.38,100.00,99.62
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,0.73,-0.55,100.00,100.00,0.64,100.00,99.36
Industrial production manager,Public relations manager,19.1,66.4,88.35,1.45,-0.38,100.00,100.00,0.92,100.00,99.08
Project management specialist,Public relations specialist,47.3,76.2,88.35,2.01,-0.16,100.00,100.00,1.09,100.00,98.91
Industrial production manager,Administrative services manager,19.1,74.0,88.30,2.24,-0.32,100.00,100.00,1.28,100.00,98.72
Facilities manager,Marketing specialist,23.4,61.7,88.28,0.90,-0.39,100.00,100.00,0.64,100.00,99.36
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.61,-0.20,100.00,100.00,0.40,100.00,99.60
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,2.20,0.92,100.00,100.00,0.64,100.00,99.36
Operation manager,Marketing manager,37.1,62.4,88.12,-0.05,-0.11,100.00,100.00,0.03,100.00,99.97
Industrial production manager,Training and development specialist,19.1,56.7,88.10,2.50,-0.08,100.00,100.00,1.29,100.00,98.71
Purchasing manager,Accountant,47.7,57.0,88.07,0.38,-0.14,100.00,100.00,0.26,100.00,99.74
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.54,-0.35,100.00,100.00,0.44,100.00,99.56
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,1.50,-0.99,100.00,100.00,1.24,100.00,98.76
Chemical engineer,Medical scientist,21.6,51.8,87.70,-0.23,-0.24,100.00,100.00,0.00,100.00,100.00
Operation manager,Human resources manager,37.1,76.5,87.61,0.91,-0.53,100.00,100.00,0.72,100.00,99.28
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,1.05,-1.08,100.00,100.00,1.07,100.00,98.93
Operation manager,Public relations manager,37.1,66.4,87.47,0.52,-0.08,100.00,100.00,0.30,100.00,99.70
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.74,0.39,100.00,100.00,0.17,100.00,99.83
Financial and investment analyst,Accountant,43.9,57.0,87.27,0.82,-0.47,100.00,100.00,0.65,100.00,99.35
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,2.03,-1.27,100.00,100.00,1.65,100.00,98.35
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,0.35,0.68,100.00,100.00,-0.17,100.00,99.83
Purchasing manager,Training and development specialist,47.7,56.7,86.71,1.93,0.14,100.00,100.00,0.90,100.00,99.10
Web developer,Graphic designer,19.4,54.7,86.62,0.58,-0.28,100.00,100.00,0.43,100.00,99.57
Purchasing manager,Social and community service manager,47.7,71.7,86.53,1.67,-0.35,100.00,100.00,1.01,100.00,98.99
Chemical engineer,Biological scientist,21.6,55.0,86.36,-0.24,-0.40,100.00,100.00,0.08,100.00,99.92
Dentist,Dental hygienist,39.5,95.7,86.25,13.72,-1.60,97.37,100.00,7.66,98.68,91.13
Software quality tester,Operations research analyst,44.1,55.0,86.23,-0.88,0.05,100.00,100.00,-0.46,100.00,99.54
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.05,1.13,100.00,100.00,-0.54,100.00,99.46
