occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.63,-0.49,0.00,0.00,-0.07,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.64,-0.69,0.00,0.00,0.67,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.02,-2.73,0.00,0.00,1.38,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,-0.57,-1.60,0.00,0.00,0.51,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.58,-1.46,0.00,0.00,0.44,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.01,-0.48,0.00,0.00,0.23,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.51,-0.03,0.00,0.00,-0.24,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,0.43,-1.21,0.00,0.00,0.82,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.61,-1.64,0.00,0.00,1.13,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,0.30,-1.10,0.00,0.00,0.70,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.86,-1.89,0.00,0.00,1.38,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.25,-0.99,0.00,0.00,0.62,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.90,-0.49,0.00,0.00,-0.70,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.62,-1.77,0.00,0.00,0.58,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.09,-3.52,0.00,0.00,1.81,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,0.02,-0.14,0.00,0.00,0.08,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-0.04,-0.76,0.00,0.00,0.36,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.16,0.30,0.00,0.00,-0.07,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.36,-1.41,0.00,0.00,0.52,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,-0.15,-2.62,0.00,0.00,1.24,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.49,-0.19,0.00,0.00,-0.65,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.92,-2.33,0.00,0.00,1.62,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.61,-2.57,0.00,0.00,1.59,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,-1.12,-0.77,0.00,0.00,-0.17,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.20,-0.90,0.00,0.00,0.55,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,0.50,-3.03,0.00,0.00,1.77,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.22,-2.18,0.00,0.00,1.20,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,1.33,-3.31,0.00,0.00,2.32,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.46,-1.35,0.00,0.00,1.41,0.00,0.00
