occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.27,0.30,100.00,100.00,-0.01,100.00,99.99
Sales manager,Marketing manager,33.1,62.4,96.46,0.93,-0.37,100.00,100.00,0.65,100.00,99.35
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.49,-0.30,100.00,100.00,0.89,100.00,99.11
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.77,0.10,100.00,100.00,0.33,100.00,99.67
Project management specialist,Marketing manager,47.3,62.4,95.99,1.49,-0.08,100.00,100.00,0.79,100.00,99.21
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.43,-0.10,100.00,100.00,-0.17,100.00,99.83
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.18,-0.40,100.00,100.00,0.29,100.00,99.71
Management analyst,Marketing manager,46.6,62.4,94.88,1.05,-0.25,100.00,100.00,0.65,100.00,99.35
Sales manager,Public relations manager,33.1,66.4,94.60,1.79,-0.51,100.00,100.00,1.15,100.00,98.85
Management analyst,Marketing specialist,46.6,61.7,94.50,0.52,0.23,100.00,100.00,0.14,100.00,99.86
Sales manager,Human resources manager,33.1,76.5,94.40,2.22,-0.91,100.00,100.00,1.56,100.00,98.44
Sales manager,Marketing specialist,33.1,61.7,94.34,0.67,0.19,100.00,100.00,0.24,100.00,99.76
Training and development manager,Marketing manager,48.0,62.4,94.32,0.56,0.78,100.00,100.00,-0.11,100.00,99.89
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.85,0.03,100.00,100.00,0.91,100.00,99.09
Project management specialist,Administrative services manager,47.3,74.0,94.20,3.81,-0.12,100.00,100.00,1.97,100.00,98.03
Purchasing manager,Financial manager,47.7,56.2,94.07,0.07,0.45,100.00,100.00,-0.19,100.00,99.81
Management analyst,Financial manager,46.6,56.2,94.00,0.13,0.55,100.00,100.00,-0.21,100.00,99.79
