occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.17,-0.12,0.00,0.00,-0.03,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.57,-0.73,0.00,0.00,0.65,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.35,-1.77,0.00,0.00,1.06,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.01,-0.95,0.00,0.00,0.48,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.10,-1.60,0.00,0.00,0.75,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.44,-0.32,0.00,0.00,-0.06,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.15,-0.16,0.00,0.00,0.16,0.00,0.00
Management analyst,Marketing manager,46.6,62.4,94.88,0.01,-1.15,0.00,0.00,0.58,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.68,-1.50,0.00,0.00,1.09,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.42,-0.71,0.00,0.00,0.15,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,0.99,-2.64,0.00,0.00,1.82,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.41,-0.64,0.00,0.00,0.53,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.12,-0.53,0.00,0.00,-0.29,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,-0.45,-2.28,0.00,0.00,0.92,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.37,-4.20,0.00,0.00,2.28,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.26,0.15,0.00,0.00,-0.21,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-0.53,-0.06,0.00,0.00,-0.24,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.02,0.22,0.00,0.00,-0.12,0.00,0.00
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.10,-1.78,0.00,0.00,0.84,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,0.33,-2.64,0.00,0.00,1.49,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.62,0.20,0.00,0.00,-0.91,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,0.50,-2.12,0.00,0.00,1.31,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,0.49,-2.59,0.00,0.00,1.54,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.68,-0.94,0.00,0.00,0.13,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.02,-0.63,0.00,0.00,0.30,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,0.85,-3.34,0.00,0.00,2.10,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.15,-1.70,0.00,0.00,0.93,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,1.01,-3.30,0.00,0.00,2.16,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,1.06,-1.03,0.00,0.00,1.05,0.00,0.00
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.52,-1.51,0.00,0.00,1.02,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,1.05,-1.97,0.00,0.00,1.51,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,1.22,-4.69,0.00,0.00,2.95,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,1.03,-1.81,0.00,0.00,1.42,0.00,0.00
Training and development manager,Marketing specialist,48.0,61.7,91.94,-1.57,-0.38,0.00,0.00,-0.60,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.97,-4.21,0.00,0.00,2.59,0.00,0.00
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,1.57,-2.75,0.00,0.00,2.16,0.00,0.00
Management analyst,Human resources worker,46.6,76.5,91.64,1.31,-1.84,0.00,0.00,1.58,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,0.30,-1.15,0.00,0.00,0.73,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.62,0.34,0.00,0.00,-0.48,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-0.37,-0.33,0.00,0.00,-0.02,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,1.08,-1.70,0.00,0.00,1.39,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,0.46,-2.11,0.00,0.00,1.28,0.00,0.00
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.11,-4.81,0.00,0.00,2.96,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,0.72,-3.00,0.00,0.00,1.86,0.00,0.00
Management analyst,Administrative services manager,46.6,74.0,90.68,0.49,-4.56,0.00,0.00,2.52,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,0.79,-2.10,0.00,0.00,1.44,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.11,-1.43,0.00,0.00,0.66,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,1.30,-1.53,0.00,0.00,1.42,0.00,0.00
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.33,-1.72,0.00,0.00,1.53,0.00,0.00
Facilities manager,Public relations manager,23.4,66.4,90.26,1.10,-3.46,0.00,0.00,2.28,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,90.18,0.58,-1.33,0.00,0.00,0.95,0.00,0.00
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.94,-4.39,0.00,0.00,2.67,0.00,0.00
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.27,-0.60,0.00,0.00,0.17,0.00,0.00
Purchasing manager,Marketing specialist,47.7,61.7,90.08,-0.15,-0.69,0.00,0.00,0.27,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-1.61,0.22,0.00,0.00,-0.91,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.04,-0.30,0.00,0.00,0.13,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,-1.57,0.11,0.00,0.00,-0.84,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,0.89,-5.24,0.00,0.00,3.06,0.00,0.00
Facilities manager,Social and community service manager,23.4,71.7,89.67,1.02,-1.89,0.00,0.00,1.46,0.00,0.00
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.06,-3.00,0.00,0.00,1.53,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,0.27,-0.51,0.00,0.00,0.39,0.00,0.00
Operation manager,Financial manager,37.1,56.2,89.31,-0.41,0.39,0.00,0.00,-0.40,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.11,-3.77,0.00,0.00,2.44,0.00,0.00
Sales manager,Insurance sales agent,33.1,54.9,89.13,-0.37,-0.51,0.00,0.00,0.07,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,1.32,-0.85,0.00,0.00,1.08,0.00,0.00
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,0.76,-1.33,0.00,0.00,1.05,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,1.54,-4.11,0.00,0.00,2.82,0.00,0.00
Software developer,Marketing specialist,20.2,61.7,88.94,3.07,-3.64,0.00,0.00,3.35,0.00,0.00
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.71,-1.92,0.00,0.00,1.32,0.00,0.00
Facilities manager,Training and development specialist,23.4,56.7,88.90,0.86,-2.28,0.00,0.00,1.57,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,88.88,1.28,-2.07,0.00,0.00,1.67,0.00,0.00
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,1.87,-1.25,0.00,0.00,1.56,0.00,0.00
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.63,-4.98,0.00,0.00,2.80,0.00,0.00
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.17,-0.06,0.00,0.00,0.12,0.00,0.00
Facilities manager,Financial manager,23.4,56.2,88.37,-0.25,-0.62,2.50,0.00,0.19,1.25,1.25
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,1.55,-1.58,0.00,0.00,1.56,0.00,0.00
Industrial production manager,Public relations manager,19.1,66.4,88.35,0.69,-3.24,0.00,0.00,1.97,0.00,0.00
Project management specialist,Public relations specialist,47.3,76.2,88.35,0.78,-4.42,0.00,0.00,2.60,0.00,0.00
Industrial production manager,Administrative services manager,19.1,74.0,88.30,0.39,-5.29,0.00,0.00,2.84,0.00,0.00
Facilities manager,Marketing specialist,23.4,61.7,88.28,0.54,-1.89,0.00,0.00,1.21,0.00,0.00
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,2.00,-0.92,0.00,0.00,1.46,0.00,0.00
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,-0.63,-2.22,0.00,0.00,0.79,0.00,0.00
Operation manager,Marketing manager,37.1,62.4,88.12,0.06,-0.49,0.00,0.00,0.28,0.00,0.00
Industrial production manager,Training and development specialist,19.1,56.7,88.10,0.41,-2.65,0.00,0.00,1.53,0.00,0.00
Purchasing manager,Accountant,47.7,57.0,88.07,-0.43,0.19,0.00,0.00,-0.31,0.00,0.00
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.70,-0.70,0.00,0.00,0.70,0.00,0.00
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,1.67,-3.01,0.00,0.00,2.34,0.00,0.00
Chemical engineer,Medical scientist,21.6,51.8,87.70,0.22,0.13,0.00,0.00,0.04,0.00,0.00
Operation manager,Human resources manager,37.1,76.5,87.61,0.58,-2.12,0.00,0.00,1.35,0.00,0.00
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,2.12,-1.92,0.00,0.00,2.02,0.00,0.00
Operation manager,Public relations manager,37.1,66.4,87.47,0.46,-1.40,0.00,0.00,0.93,0.00,0.00
Training and development manager,Social and community service manager,48.0,71.7,87.29,-0.23,-0.76,0.00,0.00,0.27,0.00,0.00
Financial and investment analyst,Accountant,43.9,57.0,87.27,0.32,-0.80,0.00,0.00,0.56,0.00,0.00
