occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,0.00,2.50,0.00,1.25,1.25
Sales manager,Marketing manager,33.1,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,0.00,0.00,0.00,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,7.50,0.00,3.75,3.75,3.61
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,15.00,10.00,-3.75,12.50,12.03
Financial and investment analyst,Operations research analyst,43.9,55.0,25.00,5.00,1.25,15.00,14.81
Management analyst,Marketing manager,46.6,62.4,0.00,0.00,0.00,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,10.00,0.00,7.50,5.00,4.63
Sales manager,Human resources manager,33.1,76.5,0.00,0.00,0.00,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,0.00,0.00,0.00,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,0.00,2.50,0.00,1.25,1.25
Management analyst,Financial manager,46.6,56.2,2.50,0.00,0.00,1.25,1.25
Sales manager,Financial manager,33.1,56.2,0.00,2.50,1.25,1.25,1.23
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,7.50,0.00,3.75,3.75,3.61
Management analyst,Operations research analyst,46.6,55.0,0.00,5.00,-2.50,2.50,2.44
Management analyst,Public relations manager,46.6,66.4,7.50,0.00,6.25,3.75,3.52
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,7.50,0.00,3.75,3.75,3.61
Purchasing manager,Public relations manager,47.7,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,17.50,0.00,6.25,8.75,8.20
Architectural and engineering manager,Marketing manager,12.8,62.4,52.50,0.00,5.00,26.25,24.94
Financial and investment analyst,Financial manager,43.9,56.2,25.00,0.00,1.25,12.50,12.34
Project management specialist,Human resources worker,47.3,76.5,12.50,0.00,3.75,6.25,6.02
Facilities manager,Human resources manager,23.4,76.5,2.50,2.50,1.25,2.50,2.47
Architectural and engineering manager,Training and development specialist,12.8,56.7,12.50,0.00,1.25,6.25,6.17
Training and development manager,Marketing specialist,48.0,61.7,0.00,0.00,0.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,37.50,2.50,6.25,20.00,18.75
Architectural and engineering manager,Human resources manager,12.8,76.5,60.00,0.00,6.25,30.00,28.12
Management analyst,Human resources worker,46.6,76.5,57.50,0.00,13.75,28.75,24.80
Training and development manager,Human resources worker,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,10.00,-2.50,5.00,4.88
Project management specialist,Financial manager,47.3,56.2,0.00,2.50,0.00,1.25,1.25
Sales manager,Human resources worker,33.1,76.5,0.00,0.00,0.00,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,2.50,0.00,1.25,1.25,1.23
Facilities manager,Administrative services manager,23.4,74.0,0.00,10.00,-1.25,5.00,4.94
Sales manager,Administrative services manager,33.1,74.0,0.00,2.50,0.00,1.25,1.25
Management analyst,Administrative services manager,46.6,74.0,2.50,0.00,0.00,1.25,1.25
Purchasing manager,Human resources worker,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,7.50,0.00,3.75,3.75,3.61
Architectural and engineering manager,Public relations manager,12.8,66.4,55.00,0.00,5.00,27.50,26.12
Financial and investment analyst,Training and development specialist,43.9,56.7,50.00,0.00,5.00,25.00,23.75
Facilities manager,Public relations manager,23.4,66.4,2.50,0.00,1.25,1.25,1.23
Sales manager,Training and development specialist,33.1,56.7,0.00,0.00,0.00,0.00,0.00
