occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.09,0.81,5.00,0.00,0.14,2.50,2.50
Sales manager,Marketing manager,33.1,62.4,96.46,3.06,-0.37,0.00,0.00,1.71,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,2.73,-0.93,2.50,0.00,1.83,1.25,1.23
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.51,-0.03,15.00,0.00,0.27,7.50,7.48
Project management specialist,Marketing manager,47.3,62.4,95.99,0.88,-0.68,0.00,0.00,0.78,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.15,1.40,17.50,12.50,-0.62,15.00,14.91
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,3.80,0.32,45.00,5.00,1.74,25.00,24.56
Management analyst,Marketing manager,46.6,62.4,94.88,-0.99,0.93,2.50,0.00,-0.96,1.25,1.24
Sales manager,Public relations manager,33.1,66.4,94.60,5.22,-4.25,0.00,0.00,4.73,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,-1.37,0.89,20.00,0.00,-1.13,10.00,9.89
Sales manager,Human resources manager,33.1,76.5,94.40,6.64,-5.89,0.00,0.00,6.27,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,2.90,0.50,0.00,0.00,1.20,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.43,0.43,0.00,0.00,-0.93,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.66,-5.43,0.00,0.00,3.54,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,4.49,-5.38,0.00,0.00,4.94,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,1.64,2.16,0.00,2.50,-0.26,1.25,1.25
Management analyst,Financial manager,46.6,56.2,94.00,-2.00,3.02,2.50,0.00,-2.51,1.25,1.22
Sales manager,Financial manager,33.1,56.2,93.76,2.74,-0.57,0.00,5.00,1.66,2.50,2.46
Training and development manager,Human resources manager,48.0,76.5,93.69,2.12,-2.83,0.00,0.00,2.47,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,4.08,-1.51,10.00,2.50,2.79,6.25,6.08
Management analyst,Operations research analyst,46.6,55.0,92.92,1.36,1.19,2.50,2.50,0.09,2.50,2.50
Management analyst,Public relations manager,46.6,66.4,92.91,0.74,-0.22,7.50,0.00,0.48,3.75,3.73
Purchasing manager,Human resources manager,47.7,76.5,92.77,4.77,-3.51,0.00,0.00,4.14,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,0.11,0.11,0.00,0.00,-0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.12,0.17,0.00,0.00,0.47,0.00,0.00
