occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,7.50,2.50,1.25,5.00,4.94
Sales manager,Marketing manager,33.1,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,2.50,0.00,1.25,1.25,1.23
Project management specialist,Marketing specialist,47.3,61.7,15.00,0.00,5.00,7.50,7.12
Project management specialist,Marketing manager,47.3,62.4,0.00,0.00,0.00,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,20.00,17.50,1.25,18.75,18.52
Financial and investment analyst,Operations research analyst,43.9,55.0,47.50,5.00,5.00,26.25,24.94
Management analyst,Marketing manager,46.6,62.4,2.50,0.00,-2.50,1.25,1.22
Sales manager,Public relations manager,33.1,66.4,0.00,0.00,0.00,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,42.50,0.00,2.50,21.25,20.72
Sales manager,Human resources manager,33.1,76.5,0.00,0.00,1.25,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,2.50,0.00,1.25,1.25,1.23
Training and development manager,Marketing manager,48.0,62.4,0.00,0.00,0.00,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,0.00,0.00,0.00,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,2.50,5.00,7.50,3.75,3.47
Purchasing manager,Financial manager,47.7,56.2,0.00,5.00,0.00,2.50,2.50
Management analyst,Financial manager,46.6,56.2,2.50,0.00,-1.25,1.25,1.23
Sales manager,Financial manager,33.1,56.2,0.00,5.00,1.25,2.50,2.47
Training and development manager,Human resources manager,48.0,76.5,0.00,0.00,0.00,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,10.00,2.50,3.75,6.25,6.02
Management analyst,Operations research analyst,46.6,55.0,17.50,2.50,1.25,10.00,9.87
Management analyst,Public relations manager,46.6,66.4,15.00,0.00,3.75,7.50,7.22
Purchasing manager,Human resources manager,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,0.00,0.00,0.00,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,0.00,0.00,0.00,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,10.00,0.00,3.75,5.00,4.81
Purchasing manager,Public relations manager,47.7,66.4,0.00,2.50,1.25,1.25,1.23
Management analyst,Human resources manager,46.6,76.5,35.00,0.00,5.00,17.50,16.62
Architectural and engineering manager,Marketing manager,12.8,62.4,65.00,0.00,1.25,32.50,32.09
Financial and investment analyst,Financial manager,43.9,56.2,35.00,0.00,-3.75,17.50,16.84
Project management specialist,Human resources worker,47.3,76.5,25.00,0.00,7.50,12.50,11.56
Facilities manager,Human resources manager,23.4,76.5,5.00,57.50,20.00,31.25,25.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,55.00,2.50,3.75,28.75,27.67
Training and development manager,Marketing specialist,48.0,61.7,7.50,0.00,-2.50,3.75,3.66
Architectural and engineering manager,Administrative services manager,12.8,74.0,55.00,42.50,28.75,48.75,34.73
Architectural and engineering manager,Human resources manager,12.8,76.5,75.00,0.00,3.75,37.50,36.09
Management analyst,Human resources worker,46.6,76.5,90.00,0.00,2.50,45.00,43.88
Training and development manager,Human resources worker,48.0,76.5,20.00,0.00,0.00,10.00,10.00
Project management specialist,Operations research analyst,47.3,55.0,0.00,22.50,1.25,11.25,11.11
Project management specialist,Financial manager,47.3,56.2,0.00,5.00,0.00,2.50,2.50
Sales manager,Human resources worker,33.1,76.5,32.50,0.00,15.00,16.25,13.81
Facilities manager,Marketing manager,23.4,62.4,7.50,32.50,13.75,20.00,17.25
Facilities manager,Administrative services manager,23.4,74.0,0.00,92.50,6.25,46.25,43.36
Sales manager,Administrative services manager,33.1,74.0,0.00,20.00,7.50,10.00,9.25
Management analyst,Administrative services manager,46.6,74.0,10.00,0.00,3.75,5.00,4.81
Purchasing manager,Human resources worker,47.7,76.5,0.00,0.00,0.00,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,40.00,0.00,7.50,20.00,18.50
Architectural and engineering manager,Public relations manager,12.8,66.4,67.50,2.50,1.25,35.00,34.56
Financial and investment analyst,Training and development specialist,43.9,56.7,65.00,0.00,2.50,32.50,31.69
Facilities manager,Public relations manager,23.4,66.4,7.50,67.50,5.00,37.50,35.62
Sales manager,Training and development specialist,33.1,56.7,0.00,0.00,0.00,0.00,0.00
Financial and investment analyst,Administrative services manager,43.9,74.0,65.00,0.00,8.75,32.50,29.66
Architectural and engineering manager,Financial manager,12.8,56.2,60.00,12.50,7.50,36.25,33.53
Purchasing manager,Marketing specialist,47.7,61.7,2.50,0.00,1.25,1.25,1.23
Training and development manager,Financial manager,48.0,56.2,2.50,2.50,0.00,2.50,2.50
Sales manager,Advertising sales agent,33.1,52.7,12.50,0.00,-3.03,6.25,6.06
Management analyst,Accountant,46.6,57.0,20.00,0.00,-6.25,10.00,9.38
Industrial production manager,Human resources manager,19.1,76.5,25.00,15.00,12.50,20.00,17.50
Facilities manager,Social and community service manager,23.4,71.7,7.50,7.50,5.00,7.50,7.12
Purchasing manager,Administrative services manager,47.7,74.0,0.00,27.50,18.75,13.75,11.17
Industrial production manager,Financial manager,19.1,56.2,32.50,82.50,-5.00,57.50,54.62
Operation manager,Financial manager,37.1,56.2,2.50,27.50,6.25,15.00,14.06
Industrial production manager,Human resources worker,19.1,76.5,27.50,5.00,6.25,16.25,15.23
Sales manager,Insurance sales agent,33.1,54.9,27.50,0.00,-1.61,13.75,13.53
Architectural and engineering manager,Marketing specialist,12.8,61.7,72.50,0.00,3.75,36.25,34.89
Postsecondary teacher,Secondary school teacher,46.6,56.9,72.50,0.00,-5.71,36.25,34.18
Facilities manager,Human resources worker,23.4,76.5,2.50,35.00,10.00,18.75,16.88
Software developer,Marketing specialist,20.2,61.7,50.00,22.50,20.00,36.25,29.00
Industrial production manager,Marketing manager,19.1,62.4,40.00,7.50,6.25,23.75,22.27
Facilities manager,Training and development specialist,23.4,56.7,0.00,47.50,5.00,23.75,22.56
Software developer,Operations research analyst,20.2,55.0,27.50,45.00,15.00,36.25,30.81
Web and digital interface designer,Marketing specialist,42.7,61.7,65.00,0.00,2.50,32.50,31.69
Information security analyst,Administrative services manager,19.3,74.0,45.00,52.50,6.25,48.75,45.70
Industrial production manager,Operations research analyst,19.1,55.0,20.00,85.00,10.00,52.50,47.25
Facilities manager,Financial manager,23.4,56.2,7.50,90.00,0.00,48.75,48.75
Financial and investment analyst,Marketing manager,43.9,62.4,92.50,0.00,1.25,46.25,45.67
Industrial production manager,Public relations manager,19.1,66.4,30.00,27.50,12.50,28.75,25.16
Project management specialist,Public relations specialist,47.3,76.2,12.50,0.00,6.25,6.25,5.86
Industrial production manager,Administrative services manager,19.1,74.0,10.00,70.00,16.25,40.00,33.50
Facilities manager,Marketing specialist,23.4,61.7,7.50,20.00,7.50,13.75,12.72
Financial and investment analyst,Marketing specialist,43.9,61.7,97.50,0.00,0.00,48.75,48.75
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,0.00,11.11,3.64,5.56,5.35
Operation manager,Marketing manager,37.1,62.4,12.50,0.00,1.25,6.25,6.17
Industrial production manager,Training and development specialist,19.1,56.7,20.00,35.00,16.25,27.50,23.03
Purchasing manager,Accountant,47.7,57.0,0.00,12.50,-2.50,6.25,6.09
Financial and investment analyst,Insurance underwriter,43.9,56.9,75.00,0.00,5.00,37.50,35.62
Financial and investment analyst,Public relations manager,43.9,66.4,70.00,0.00,0.00,35.00,35.00
Chemical engineer,Medical scientist,21.6,51.8,2.50,76.32,2.56,39.41,38.40
Operation manager,Human resources manager,37.1,76.5,12.50,0.00,2.50,6.25,6.09
Architectural and engineering manager,Human resources worker,12.8,76.5,82.50,0.00,6.25,41.25,38.67
Operation manager,Public relations manager,37.1,66.4,7.50,5.00,1.25,6.25,6.17
Training and development manager,Social and community service manager,48.0,71.7,5.00,0.00,0.00,2.50,2.50
Financial and investment analyst,Accountant,43.9,57.0,75.00,2.50,1.25,38.75,38.27
Financial and investment analyst,Human resources manager,43.9,76.5,85.00,0.00,7.50,42.50,39.31
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,15.00,0.00,2.56,7.50,7.31
Purchasing manager,Training and development specialist,47.7,56.7,0.00,2.50,1.25,1.25,1.23
Web developer,Graphic designer,19.4,54.7,35.00,32.43,5.19,33.72,31.96
Purchasing manager,Social and community service manager,47.7,71.7,2.50,0.00,0.00,1.25,1.25
Chemical engineer,Biological scientist,21.6,55.0,2.50,35.14,9.09,18.82,17.11
Dentist,Dental hygienist,39.5,95.7,28.95,33.33,36.59,31.14,19.75
Software quality tester,Operations research analyst,44.1,55.0,0.00,40.00,1.25,20.00,19.75
Web and digital interface designer,Graphic designer,42.7,54.7,42.50,5.41,1.30,23.95,23.64
Information security analyst,Training and development specialist,19.3,56.7,35.00,5.00,-2.50,20.00,19.50
Software developer,Graphic designer,20.2,54.7,62.50,40.54,9.09,51.52,46.84
Architectural and engineering manager,Social and community service manager,12.8,71.7,72.50,0.00,3.75,36.25,34.89
Web and digital interface designer,Operations research analyst,42.7,55.0,47.50,37.50,7.50,42.50,39.31
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,21.43,0.00,-5.13,10.71,10.16
Lawyer,Paralegal,39.5,83.0,65.00,0.00,15.00,32.50,27.62
Architectural and engineering manager,Operations research analyst,12.8,55.0,60.00,42.50,3.75,51.25,49.33
Operation manager,Social and community service manager,37.1,71.7,7.50,2.50,5.00,5.00,4.75
Industrial production manager,Social and community service manager,19.1,71.7,32.50,5.00,3.75,18.75,18.05
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,28.57,0.00,-1.47,14.29,14.08
Property assessor,Insurance underwriter,34.2,56.9,0.00,0.00,0.00,0.00,0.00
Operation manager,Human resources worker,37.1,76.5,20.00,0.00,3.75,10.00,9.62
Computer systems analyst,Operations research analyst,37.8,55.0,0.00,10.00,1.25,5.00,4.94
Building cleaner,Housekeeping cleaner,38.7,88.4,9.09,42.50,13.70,25.80,22.26
Postsecondary teacher,School psychologist,46.6,87.9,62.50,0.00,15.28,31.25,26.48
Industrial production manager,Accountant,19.1,57.0,32.50,55.00,2.50,43.75,42.66
Food service manager,First-line supervisor of food preparation and serving workers,46.7,53.5,0.00,67.50,2.50,33.75,32.91
Facilities manager,Social and human service assistant,23.4,75.3,7.50,12.50,3.75,10.00,9.62
Chemical technician,Medical scientist,35.0,51.8,3.57,57.89,-4.55,30.73,29.34
Counter and rental clerk,Order clerk,38.7,58.3,6.25,21.88,2.08,14.06,13.77
Postsecondary teacher,Elementary and middle school teacher,46.6,78.6,70.00,3.45,0.00,36.72,36.72
Chemical technician,Biological scientist,35.0,55.0,0.00,10.81,0.00,5.41,5.41
Cost estimator,Accountant,17.7,57.0,2.50,20.00,-7.50,11.25,10.41
Postsecondary teacher,Teaching assistant,46.6,79.5,50.00,0.00,-5.00,25.00,23.75
Food service manager,Food preparation worker,46.7,58.7,7.50,60.00,2.50,33.75,32.91
Operation manager,Accountant,37.1,57.0,17.50,12.50,2.50,15.00,14.62
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,35.9,88.2,3.57,8.70,3.92,6.13,5.89
First-line supervisor of non-retail sales workers,Insurance sales agent,35.9,54.9,7.14,0.00,-6.00,3.57,3.36
Software developer,Advertising sales agent,20.2,52.7,55.00,26.92,15.15,40.96,34.76
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,44.6,65.8,55.56,55.56,12.70,55.56,48.50
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,35.9,80.1,0.00,2.63,1.52,1.32,1.30
Cost estimator,Insurance underwriter,17.7,56.9,0.00,2.50,-1.25,1.25,1.23
Materials engineer,Medical scientist,13.5,51.8,5.00,100.00,2.56,52.50,51.15
First-line supervisor of non-retail sales workers,Social and human service assistant,35.9,75.3,46.43,2.50,2.94,24.46,23.74
Property assessor,Accountant,34.2,57.0,5.00,40.00,-12.50,22.50,19.69
Postsecondary teacher,Special education teacher,46.6,86.6,77.50,0.00,6.94,38.75,36.06
First-line supervisor of retail sales workers,Order clerk,44.6,58.3,2.78,3.12,0.00,2.95,2.95
Painter,Artist,10.4,51.6,31.43,5.00,5.33,18.21,17.24
Software developer,Accountant,20.2,57.0,57.50,90.00,21.25,73.75,58.08
Information security analyst,Insurance claims and policy processing clerk,19.3,80.1,50.00,10.53,1.28,30.26,29.88
Operation manager,Compliance officer,37.1,51.8,0.00,47.50,18.75,23.75,19.30
Chemists and materials scientist,Medical scientist,36.0,51.8,0.00,44.74,0.00,22.37,22.37
Materials engineer,Biological scientist,13.5,55.0,2.50,89.19,2.60,45.84,44.65
Web and digital interface designer,Advertising sales agent,42.7,52.7,62.50,0.00,1.52,31.25,30.78
Web and digital interface designer,Insurance claims and policy processing clerk,42.7,80.1,65.00,15.79,14.10,40.39,34.70
Property assessor,Tax preparer,34.2,66.3,10.00,8.11,0.00,9.05,9.05
Counter and rental clerk,Payroll and timekeeping clerk,38.7,88.2,0.00,47.83,-5.13,23.91,22.69
First-line supervisor of non-retail sales workers,Advertising sales agent,35.9,52.7,7.14,0.00,0.00,3.57,3.57
First-line supervisor of non-retail sales workers,Order clerk,35.9,58.3,57.14,0.00,-5.00,28.57,27.14
Operation manager,Public relations specialist,37.1,76.2,5.00,12.50,7.50,8.75,8.09
Property assessor,Real estate broker,34.2,57.0,5.00,2.50,-1.25,3.75,3.70
First-line supervisor of non-retail sales workers,Customer service representative,35.9,65.3,3.57,82.14,10.71,42.86,38.27
Software developer,Insurance claims and policy processing clerk,20.2,80.1,47.50,23.68,28.21,35.59,25.55
Information security analyst,Insurance underwriter,19.3,56.9,47.50,10.00,2.50,28.75,28.03
Information security analyst,Accountant,19.3,57.0,60.00,45.00,-8.75,52.50,47.91
Web developer,Advertising sales agent,19.4,52.7,60.00,26.92,13.64,43.46,37.53
Postsecondary teacher,Public relations specialist,46.6,76.2,37.50,17.50,10.00,27.50,24.75
