occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,-0.16,-0.84,100.00,100.00,0.34,100.00,99.66
Sales manager,Marketing manager,33.1,62.4,96.46,0.45,-1.72,100.00,100.00,1.08,100.00,98.92
Project management specialist,Training and development specialist,47.3,56.7,96.32,-0.05,-0.97,100.00,100.00,0.46,100.00,99.54
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.04,-1.89,100.00,100.00,0.97,100.00,99.03
Project management specialist,Marketing manager,47.3,62.4,95.99,0.00,-1.80,100.00,100.00,0.90,100.00,99.10
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.25,-0.95,100.00,100.00,0.60,100.00,99.40
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-0.04,-0.26,100.00,95.00,0.11,97.50,97.39
Management analyst,Marketing manager,46.6,62.4,94.88,-0.27,-2.96,100.00,100.00,1.35,100.00,98.65
Sales manager,Public relations manager,33.1,66.4,94.60,1.89,-1.69,100.00,100.00,1.79,100.00,98.21
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.15,-3.44,100.00,100.00,1.65,100.00,98.35
Sales manager,Human resources manager,33.1,76.5,94.40,2.05,-1.22,100.00,100.00,1.64,100.00,98.36
Sales manager,Marketing specialist,33.1,61.7,94.34,0.69,-2.03,100.00,100.00,1.36,100.00,98.64
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.26,-0.83,100.00,100.00,0.28,100.00,99.72
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.28,-0.51,100.00,100.00,0.39,100.00,99.61
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.38,-1.16,100.00,100.00,1.27,100.00,98.73
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.47,-0.34,100.00,100.00,-0.57,100.00,99.43
Management analyst,Financial manager,46.6,56.2,94.00,-1.51,-0.23,100.00,100.00,-0.64,100.00,99.36
Sales manager,Financial manager,33.1,56.2,93.76,-1.70,-0.33,92.50,100.00,-0.68,96.25,95.59
Training and development manager,Human resources manager,48.0,76.5,93.69,0.36,-0.96,100.00,100.00,0.66,100.00,99.34
Project management specialist,Public relations manager,47.3,66.4,93.13,0.06,-2.38,100.00,100.00,1.22,100.00,98.78
Management analyst,Operations research analyst,46.6,55.0,92.92,-0.95,-0.18,100.00,100.00,-0.38,100.00,99.62
Management analyst,Public relations manager,46.6,66.4,92.91,-0.03,-4.54,100.00,100.00,2.26,100.00,97.74
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.03,-1.48,100.00,100.00,1.25,100.00,98.75
Training and development manager,Public relations manager,48.0,66.4,92.59,0.03,-1.60,100.00,100.00,0.82,100.00,99.18
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.16,-1.03,100.00,100.00,0.59,100.00,99.41
Project management specialist,Human resources manager,47.3,76.5,92.47,0.03,-2.26,100.00,100.00,1.14,100.00,98.86
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.64,-1.13,100.00,100.00,0.88,100.00,99.12
Management analyst,Human resources manager,46.6,76.5,92.37,0.05,-4.53,100.00,97.50,2.29,98.75,96.49
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.28,-5.06,100.00,100.00,2.67,100.00,97.33
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.01,-0.07,100.00,100.00,0.03,100.00,99.97
Project management specialist,Human resources worker,47.3,76.5,92.21,0.08,-2.94,100.00,100.00,1.51,100.00,98.49
Facilities manager,Human resources manager,23.4,76.5,92.06,1.66,-2.05,100.00,100.00,1.86,100.00,98.14
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.36,-2.60,100.00,100.00,1.48,100.00,98.52
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.23,-1.73,100.00,100.00,0.75,100.00,99.25
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,1.29,-1.77,100.00,100.00,1.53,100.00,98.47
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.36,-4.73,100.00,100.00,2.54,100.00,97.46
Management analyst,Human resources worker,46.6,76.5,91.64,0.29,-7.85,100.00,97.50,4.07,98.75,94.73
Training and development manager,Human resources worker,48.0,76.5,91.58,0.50,-2.27,100.00,100.00,1.39,100.00,98.61
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.56,0.08,100.00,100.00,-0.32,100.00,99.68
Project management specialist,Financial manager,47.3,56.2,91.15,-0.64,-0.23,100.00,100.00,-0.21,100.00,99.79
Sales manager,Human resources worker,33.1,76.5,91.09,2.34,-1.54,100.00,100.00,1.94,100.00,98.06
Facilities manager,Marketing manager,23.4,62.4,90.92,1.04,-1.37,100.00,100.00,1.21,100.00,98.79
Facilities manager,Administrative services manager,23.4,74.0,90.81,12.16,-1.22,95.00,100.00,6.69,97.50,90.98
Sales manager,Administrative services manager,33.1,74.0,90.73,10.93,-0.50,77.50,100.00,5.72,88.75,83.68
Management analyst,Administrative services manager,46.6,74.0,90.68,-0.40,-2.05,100.00,100.00,0.83,100.00,99.17
Purchasing manager,Human resources worker,47.7,76.5,90.36,1.29,-2.00,100.00,100.00,1.64,100.00,98.36
Management analyst,Training and development specialist,46.6,56.7,90.32,-0.09,-2.76,100.00,100.00,1.34,100.00,98.66
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.25,-4.71,100.00,100.00,2.48,100.00,97.52
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.17,-2.21,100.00,100.00,1.19,100.00,98.81
Facilities manager,Public relations manager,23.4,66.4,90.26,1.06,-1.33,100.00,100.00,1.19,100.00,98.81
Sales manager,Training and development specialist,33.1,56.7,90.18,1.82,-0.53,100.00,100.00,1.17,100.00,98.83
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.98,-2.77,100.00,97.50,2.37,98.75,96.41
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,0.23,-1.53,100.00,100.00,0.88,100.00,99.12
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.43,-1.55,100.00,100.00,0.99,100.00,99.01
Training and development manager,Financial manager,48.0,56.2,90.06,-1.02,0.18,100.00,100.00,-0.60,100.00,99.40
Sales manager,Advertising sales agent,33.1,52.7,89.99,-0.85,-0.46,100.00,100.00,-0.20,100.00,99.80
Management analyst,Accountant,46.6,57.0,89.84,-1.08,-0.36,100.00,100.00,-0.36,100.00,99.64
Industrial production manager,Human resources manager,19.1,76.5,89.80,1.59,-2.09,100.00,100.00,1.84,100.00,98.16
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.18,-10.30,100.00,97.50,5.24,98.75,93.58
Purchasing manager,Administrative services manager,47.7,74.0,89.51,9.59,-0.67,92.50,100.00,5.13,96.25,91.32
Industrial production manager,Financial manager,19.1,56.2,89.51,0.55,-0.76,100.00,100.00,0.66,100.00,99.34
