occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,1.11,-0.15,0.00,0.00,0.63,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,2.19,-0.94,0.00,0.00,1.56,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.24,-0.43,0.00,0.00,0.84,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.80,-0.18,0.00,0.00,0.99,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,1.82,-0.13,0.00,0.00,0.97,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,3.01,-0.04,0.00,0.00,1.53,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.83,0.39,7.50,0.00,0.22,3.75,3.74
Management analyst,Marketing manager,46.6,62.4,94.88,3.17,0.26,5.00,0.00,1.46,2.50,2.46
Sales manager,Public relations manager,33.1,66.4,94.60,1.99,-2.30,0.00,0.00,2.14,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,4.07,0.09,0.00,0.00,1.99,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,1.44,-3.16,0.00,0.00,2.30,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,2.53,-1.02,0.00,0.00,1.77,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,1.02,0.12,0.00,0.00,0.45,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.58,-1.02,0.00,0.00,0.80,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.27,-3.46,0.00,0.00,2.37,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,0.46,-0.01,0.00,2.50,0.24,1.25,1.25
Management analyst,Financial manager,46.6,56.2,94.00,-0.05,1.70,0.00,0.00,-0.87,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.42,-2.21,0.00,7.50,1.31,3.75,3.70
Training and development manager,Human resources manager,48.0,76.5,93.69,0.92,-0.87,0.00,0.00,0.89,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,5.02,-0.04,2.50,0.00,2.53,1.25,1.22
Management analyst,Operations research analyst,46.6,55.0,92.92,1.12,0.86,0.00,0.00,0.13,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,7.51,0.17,20.00,0.00,3.67,10.00,9.63
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.76,-1.55,0.00,0.00,1.65,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,1.78,0.01,0.00,0.00,0.89,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,2.23,-0.56,0.00,0.00,1.40,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,3.45,-0.54,0.00,0.00,2.00,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.84,-0.95,0.00,0.00,1.40,0.00,0.00
Management analyst,Human resources manager,46.6,76.5,92.37,6.04,-0.38,20.00,0.00,3.21,10.00,9.68
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,8.17,-0.92,57.50,0.00,4.55,28.75,27.44
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.04,0.08,2.50,0.00,-0.06,1.25,1.25
Project management specialist,Human resources worker,47.3,76.5,92.21,6.31,-0.27,5.00,0.00,3.29,2.50,2.42
Facilities manager,Human resources manager,23.4,76.5,92.06,3.17,-2.60,0.00,0.00,2.89,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,9.29,-1.57,12.50,2.50,5.43,7.50,7.09
Training and development manager,Marketing specialist,48.0,61.7,91.94,2.11,0.10,0.00,0.00,1.00,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,6.12,-8.08,35.00,2.50,7.10,18.75,17.42
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,9.13,-1.55,57.50,0.00,5.34,28.75,27.22
Management analyst,Human resources worker,46.6,76.5,91.64,10.60,-0.28,27.50,0.00,5.44,13.75,13.00
Training and development manager,Human resources worker,48.0,76.5,91.58,1.90,-0.69,0.00,0.00,1.29,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.65,0.54,0.00,0.00,0.06,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,0.04,0.87,0.00,0.00,-0.42,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,1.86,-3.07,0.00,0.00,2.47,0.00,0.00
Facilities manager,Marketing manager,23.4,62.4,90.92,5.19,-1.63,2.50,0.00,3.41,1.25,1.21
Facilities manager,Administrative services manager,23.4,74.0,90.81,1.78,-13.40,0.00,25.00,7.59,12.50,11.55
Sales manager,Administrative services manager,33.1,74.0,90.73,0.58,-13.25,0.00,52.50,6.92,26.25,24.43
Management analyst,Administrative services manager,46.6,74.0,90.68,1.68,0.47,0.00,0.00,0.61,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,2.42,-1.67,0.00,0.00,2.04,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,3.27,-0.19,0.00,0.00,1.73,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,10.27,-0.87,52.50,0.00,5.57,26.25,24.79
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,6.03,-1.14,35.00,2.50,3.59,18.75,18.08
Facilities manager,Public relations manager,23.4,66.4,90.26,5.49,-2.03,2.50,0.00,3.76,1.25,1.20
Sales manager,Training and development specialist,33.1,56.7,90.18,0.71,-2.65,0.00,2.50,1.68,1.25,1.23
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,3.65,-5.77,42.50,5.00,4.71,23.75,22.63
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,1.81,-2.11,50.00,0.00,1.96,25.00,24.51
Purchasing manager,Marketing specialist,47.7,61.7,90.08,2.86,-0.82,0.00,0.00,1.84,0.00,0.00
Training and development manager,Financial manager,48.0,56.2,90.06,-0.48,1.34,0.00,0.00,-0.91,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,89.99,1.99,-1.77,0.00,0.00,1.88,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,0.69,1.25,0.00,0.00,-0.28,0.00,0.00
Industrial production manager,Human resources manager,19.1,76.5,89.80,8.99,-4.55,10.00,0.00,6.77,5.00,4.66
Facilities manager,Social and community service manager,23.4,71.7,89.67,17.41,-0.38,12.50,0.00,8.90,6.25,5.69
Purchasing manager,Administrative services manager,47.7,74.0,89.51,0.67,-10.18,0.00,2.50,5.43,1.25,1.18
Industrial production manager,Financial manager,19.1,56.2,89.51,4.93,-5.55,15.00,5.00,5.24,10.00,9.48
Operation manager,Financial manager,37.1,56.2,89.31,1.37,0.32,0.00,0.00,0.52,0.00,0.00
Industrial production manager,Human resources worker,19.1,76.5,89.29,10.83,-3.80,7.50,2.50,7.31,5.00,4.63
Sales manager,Insurance sales agent,33.1,54.9,89.13,1.43,2.72,0.00,0.00,-0.65,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,13.17,-1.05,50.00,0.00,7.11,25.00,23.22
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-1.48,0.01,0.00,0.00,-0.75,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,4.09,-2.53,0.00,0.00,3.31,0.00,0.00
Software developer,Marketing specialist,20.2,61.7,88.94,11.91,-0.64,57.50,0.00,6.28,28.75,26.95
Industrial production manager,Marketing manager,19.1,62.4,88.93,10.17,-1.88,25.00,0.00,6.03,12.50,11.75
Facilities manager,Training and development specialist,23.4,56.7,88.90,1.85,-3.60,0.00,0.00,2.72,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,88.88,2.89,0.40,5.00,0.00,1.25,2.50,2.47
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.20,0.29,45.00,0.00,-0.05,22.50,22.49
Information security analyst,Administrative services manager,19.3,74.0,88.53,5.33,-5.80,10.00,2.50,5.56,6.25,5.90
Industrial production manager,Operations research analyst,19.1,55.0,88.39,5.97,-0.34,12.50,5.00,3.16,8.75,8.47
Facilities manager,Financial manager,23.4,56.2,88.37,1.26,-2.25,0.00,5.00,1.76,2.50,2.46
