occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.03,-0.43,100.00,100.00,0.23,100.00,99.77
Sales manager,Marketing manager,33.1,62.4,96.46,0.42,-0.92,100.00,100.00,0.67,100.00,99.33
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.31,-0.49,100.00,100.00,0.40,100.00,99.60
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.29,-0.81,100.00,100.00,0.55,100.00,99.45
Project management specialist,Marketing manager,47.3,62.4,95.99,0.23,-0.81,100.00,100.00,0.52,100.00,99.48
Information security analyst,Operations research analyst,19.3,55.0,95.42,0.08,-1.18,100.00,100.00,0.63,100.00,99.37
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.10,-4.61,100.00,97.50,2.35,98.75,96.43
Management analyst,Marketing manager,46.6,62.4,94.88,-0.18,-1.49,100.00,100.00,0.66,100.00,99.34
Sales manager,Public relations manager,33.1,66.4,94.60,2.96,-0.76,100.00,100.00,1.86,100.00,98.14
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.12,-1.23,100.00,100.00,0.55,100.00,99.45
Sales manager,Human resources manager,33.1,76.5,94.40,2.57,-2.12,100.00,100.00,2.34,100.00,97.66
Sales manager,Marketing specialist,33.1,61.7,94.34,0.62,-1.10,100.00,100.00,0.86,100.00,99.14
Training and development manager,Marketing manager,48.0,62.4,94.32,-0.00,-0.43,100.00,100.00,0.21,100.00,99.79
Training and development manager,Administrative services manager,48.0,74.0,94.24,1.08,-0.79,100.00,100.00,0.93,100.00,99.07
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.86,-1.18,100.00,100.00,1.52,100.00,98.48
Purchasing manager,Financial manager,47.7,56.2,94.07,-1.32,-0.14,100.00,100.00,-0.59,100.00,99.41
Management analyst,Financial manager,46.6,56.2,94.00,-0.76,0.68,100.00,100.00,-0.72,100.00,99.28
Sales manager,Financial manager,33.1,56.2,93.76,-1.41,-0.31,100.00,100.00,-0.55,100.00,99.45
