occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.76,-0.46,0.00,0.00,0.61,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,1.31,-0.61,0.00,0.00,0.96,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.61,-0.53,0.00,0.00,0.57,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.39,-0.66,0.00,0.00,0.52,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,0.21,-0.26,0.00,0.00,0.24,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,2.17,-0.49,0.00,0.00,1.33,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,5.48,-0.12,22.50,0.00,2.80,11.25,10.94
Management analyst,Marketing manager,46.6,62.4,94.88,2.15,0.12,2.50,0.00,1.01,1.25,1.24
Sales manager,Public relations manager,33.1,66.4,94.60,0.97,-3.59,0.00,0.00,2.28,0.00,0.00
Management analyst,Marketing specialist,46.6,61.7,94.50,3.67,-0.04,2.50,0.00,1.85,1.25,1.23
Sales manager,Human resources manager,33.1,76.5,94.40,2.23,-3.86,0.00,0.00,3.04,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,1.68,-1.07,0.00,0.00,1.38,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,0.41,0.17,0.00,0.00,0.12,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.41,-3.13,0.00,0.00,1.77,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.09,-7.85,0.00,0.00,4.47,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,0.20,3.41,0.00,0.00,-1.60,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-1.03,1.58,0.00,0.00,-1.30,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.10,-1.93,0.00,7.50,1.02,3.75,3.71
