occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.21,-0.31,100.00,100.00,0.26,100.00,99.74
Sales manager,Marketing manager,33.1,62.4,96.46,1.19,-0.24,100.00,100.00,0.71,100.00,99.29
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.62,-0.54,100.00,100.00,0.58,100.00,99.42
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.21,-0.14,100.00,100.00,0.18,100.00,99.82
Project management specialist,Marketing manager,47.3,62.4,95.99,0.15,0.11,100.00,100.00,0.02,100.00,99.98
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.10,0.01,100.00,100.00,-0.06,100.00,99.94
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,0.24,-5.04,100.00,95.00,2.64,97.50,94.92
Management analyst,Marketing manager,46.6,62.4,94.88,-0.25,0.04,100.00,97.50,-0.15,98.75,98.60
Sales manager,Public relations manager,33.1,66.4,94.60,3.96,-0.30,100.00,100.00,2.13,100.00,97.87
Management analyst,Marketing specialist,46.6,61.7,94.50,-0.23,0.18,100.00,100.00,-0.20,100.00,99.80
Sales manager,Human resources manager,33.1,76.5,94.40,3.37,-1.64,100.00,100.00,2.50,100.00,97.50
Sales manager,Marketing specialist,33.1,61.7,94.34,1.27,-0.52,100.00,100.00,0.90,100.00,99.10
Training and development manager,Marketing manager,48.0,62.4,94.32,0.12,0.85,100.00,100.00,-0.37,100.00,99.63
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.92,-0.42,100.00,100.00,0.67,100.00,99.33
Project management specialist,Administrative services manager,47.3,74.0,94.20,2.12,-0.80,100.00,100.00,1.46,100.00,98.54
Purchasing manager,Financial manager,47.7,56.2,94.07,-2.13,0.20,100.00,100.00,-1.16,100.00,98.84
Management analyst,Financial manager,46.6,56.2,94.00,-0.32,1.02,100.00,100.00,-0.67,100.00,99.33
Sales manager,Financial manager,33.1,56.2,93.76,0.16,-0.06,95.00,100.00,0.11,97.50,97.39
Training and development manager,Human resources manager,48.0,76.5,93.69,0.68,-0.24,100.00,100.00,0.46,100.00,99.54
Project management specialist,Public relations manager,47.3,66.4,93.13,0.26,-0.33,100.00,100.00,0.30,100.00,99.70
Management analyst,Operations research analyst,46.6,55.0,92.92,0.21,-0.11,100.00,100.00,0.16,100.00,99.84
Management analyst,Public relations manager,46.6,66.4,92.91,0.89,-0.97,100.00,97.50,0.93,98.75,97.83
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.46,-0.71,100.00,100.00,1.08,100.00,98.92
Training and development manager,Public relations manager,48.0,66.4,92.59,0.38,0.13,100.00,100.00,0.12,100.00,99.88
Purchasing manager,Marketing manager,47.7,62.4,92.52,0.03,0.27,100.00,100.00,-0.12,100.00,99.88
Project management specialist,Human resources manager,47.3,76.5,92.47,0.37,-1.96,100.00,100.00,1.17,100.00,98.83
Purchasing manager,Public relations manager,47.7,66.4,92.38,1.25,-0.04,100.00,100.00,0.65,100.00,99.35
Management analyst,Human resources manager,46.6,76.5,92.37,0.52,-4.14,100.00,97.50,2.33,98.75,96.45
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.01,0.45,100.00,100.00,-0.22,100.00,99.78
Financial and investment analyst,Financial manager,43.9,56.2,92.25,0.23,0.23,100.00,100.00,0.00,100.00,100.00
Project management specialist,Human resources worker,47.3,76.5,92.21,0.26,-4.99,100.00,97.50,2.63,98.75,96.16
Facilities manager,Human resources manager,23.4,76.5,92.06,3.54,-1.02,100.00,100.00,2.28,100.00,97.72
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,0.24,-1.30,100.00,100.00,0.77,100.00,99.23
Training and development manager,Marketing specialist,48.0,61.7,91.94,0.18,1.02,100.00,100.00,-0.42,100.00,99.58
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,0.92,-1.28,100.00,100.00,1.10,100.00,98.90
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,0.22,-3.62,100.00,100.00,1.92,100.00,98.08
Management analyst,Human resources worker,46.6,76.5,91.64,0.38,-9.90,100.00,75.00,5.14,87.50,83.00
Training and development manager,Human resources worker,48.0,76.5,91.58,0.44,-1.18,100.00,100.00,0.81,100.00,99.19
Project management specialist,Operations research analyst,47.3,55.0,91.31,0.32,-0.33,100.00,100.00,0.33,100.00,99.67
Project management specialist,Financial manager,47.3,56.2,91.15,-0.32,0.23,100.00,100.00,-0.27,100.00,99.73
Sales manager,Human resources worker,33.1,76.5,91.09,2.66,-1.73,100.00,100.00,2.20,100.00,97.80
Facilities manager,Marketing manager,23.4,62.4,90.92,1.03,0.06,100.00,100.00,0.48,100.00,99.52
Facilities manager,Administrative services manager,23.4,74.0,90.81,10.98,-0.56,70.00,100.00,5.77,85.00,80.10
Sales manager,Administrative services manager,33.1,74.0,90.73,10.73,-1.40,85.00,100.00,6.06,92.50,86.89
Management analyst,Administrative services manager,46.6,74.0,90.68,1.32,-0.83,100.00,100.00,1.08,100.00,98.92
Purchasing manager,Human resources worker,47.7,76.5,90.36,1.07,-0.74,100.00,100.00,0.90,100.00,99.10
Management analyst,Training and development specialist,46.6,56.7,90.32,0.36,-0.87,100.00,100.00,0.61,100.00,99.39
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,0.01,-0.57,100.00,100.00,0.29,100.00,99.71
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,0.25,-1.76,100.00,100.00,1.00,100.00,99.00
Facilities manager,Public relations manager,23.4,66.4,90.26,3.77,-0.11,100.00,100.00,1.94,100.00,98.06
Sales manager,Training and development specialist,33.1,56.7,90.18,2.66,-0.67,100.00,100.00,1.67,100.00,98.33
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,1.22,-3.83,100.00,97.50,2.53,98.75,96.26
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,-0.12,0.34,100.00,100.00,-0.23,100.00,99.77
Purchasing manager,Marketing specialist,47.7,61.7,90.08,0.26,0.18,100.00,100.00,0.04,100.00,99.96
Training and development manager,Financial manager,48.0,56.2,90.06,-0.69,0.81,100.00,100.00,-0.75,100.00,99.25
Sales manager,Advertising sales agent,33.1,52.7,89.99,0.64,0.01,100.00,100.00,0.32,100.00,99.68
Management analyst,Accountant,46.6,57.0,89.84,-0.02,0.83,100.00,100.00,-0.43,100.00,99.57
Industrial production manager,Human resources manager,19.1,76.5,89.80,1.96,-0.95,100.00,100.00,1.46,100.00,98.54
Facilities manager,Social and community service manager,23.4,71.7,89.67,0.48,-3.87,100.00,95.00,2.17,97.50,95.38
Purchasing manager,Administrative services manager,47.7,74.0,89.51,6.25,-0.37,97.50,100.00,3.31,98.75,95.48
Industrial production manager,Financial manager,19.1,56.2,89.51,0.47,-0.02,97.50,100.00,0.25,98.75,98.51
Operation manager,Financial manager,37.1,56.2,89.31,-0.26,0.05,100.00,100.00,-0.15,100.00,99.85
Industrial production manager,Human resources worker,19.1,76.5,89.29,1.64,-1.40,100.00,100.00,1.52,100.00,98.48
Sales manager,Insurance sales agent,33.1,54.9,89.13,0.48,-0.95,100.00,100.00,0.72,100.00,99.28
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,0.04,-0.16,100.00,100.00,0.10,100.00,99.90
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,-0.29,-2.10,100.00,100.00,0.91,100.00,99.09
Facilities manager,Human resources worker,23.4,76.5,88.96,2.29,-0.73,100.00,100.00,1.51,100.00,98.49
Software developer,Marketing specialist,20.2,61.7,88.94,0.58,-2.19,100.00,100.00,1.39,100.00,98.61
Industrial production manager,Marketing manager,19.1,62.4,88.93,0.64,-0.13,100.00,100.00,0.39,100.00,99.61
Facilities manager,Training and development specialist,23.4,56.7,88.90,4.21,-0.71,100.00,100.00,2.46,100.00,97.54
Software developer,Operations research analyst,20.2,55.0,88.88,0.83,-1.43,100.00,100.00,1.13,100.00,98.87
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,-0.01,-1.67,100.00,95.00,0.83,97.50,96.69
Information security analyst,Administrative services manager,19.3,74.0,88.53,0.68,-0.41,100.00,100.00,0.55,100.00,99.45
Industrial production manager,Operations research analyst,19.1,55.0,88.39,0.61,-0.27,100.00,100.00,0.44,100.00,99.56
Facilities manager,Financial manager,23.4,56.2,88.37,0.06,0.07,92.50,100.00,-0.00,96.25,96.25
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,0.22,-2.75,100.00,87.50,1.49,93.75,92.36
Industrial production manager,Public relations manager,19.1,66.4,88.35,2.16,-0.13,100.00,100.00,1.14,100.00,98.86
Project management specialist,Public relations specialist,47.3,76.2,88.35,0.40,-0.44,100.00,100.00,0.42,100.00,99.58
Industrial production manager,Administrative services manager,19.1,74.0,88.30,8.02,-0.59,90.00,100.00,4.31,95.00,90.91
Facilities manager,Marketing specialist,23.4,61.7,88.28,1.82,-0.12,100.00,100.00,0.97,100.00,99.03
Financial and investment analyst,Marketing specialist,43.9,61.7,88.28,0.26,-2.13,100.00,92.50,1.19,96.25,95.10
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,35.9,65.8,88.18,3.04,-1.08,100.00,100.00,2.06,100.00,97.94
Operation manager,Marketing manager,37.1,62.4,88.12,-0.06,-0.06,100.00,100.00,-0.00,100.00,100.00
Industrial production manager,Training and development specialist,19.1,56.7,88.10,1.68,-0.40,100.00,100.00,1.04,100.00,98.96
Purchasing manager,Accountant,47.7,57.0,88.07,0.42,0.03,95.00,100.00,0.20,97.50,97.31
Financial and investment analyst,Insurance underwriter,43.9,56.9,88.04,0.24,-6.26,100.00,87.50,3.25,93.75,90.70
Financial and investment analyst,Public relations manager,43.9,66.4,87.91,0.45,-2.69,100.00,97.50,1.57,98.75,97.20
Chemical engineer,Medical scientist,21.6,51.8,87.70,1.41,-0.06,100.00,100.00,0.73,100.00,99.27
Operation manager,Human resources manager,37.1,76.5,87.61,0.38,-1.84,100.00,100.00,1.11,100.00,98.89
Architectural and engineering manager,Human resources worker,12.8,76.5,87.58,0.14,-9.06,100.00,90.00,4.60,95.00,90.63
Operation manager,Public relations manager,37.1,66.4,87.47,0.29,-0.16,100.00,100.00,0.23,100.00,99.77
Training and development manager,Social and community service manager,48.0,71.7,87.29,0.08,-2.09,100.00,100.00,1.08,100.00,98.92
Financial and investment analyst,Accountant,43.9,57.0,87.27,0.25,-1.48,100.00,100.00,0.87,100.00,99.13
Financial and investment analyst,Human resources manager,43.9,76.5,87.23,0.29,-12.95,100.00,72.50,6.62,86.25,80.54
Training and development manager,Insurance claims and policy processing clerk,48.0,80.1,87.11,0.18,-0.71,100.00,100.00,0.45,100.00,99.55
Purchasing manager,Training and development specialist,47.7,56.7,86.71,0.89,-0.12,100.00,100.00,0.50,100.00,99.50
Web developer,Graphic designer,19.4,54.7,86.62,0.14,0.40,100.00,100.00,-0.13,100.00,99.87
Purchasing manager,Social and community service manager,47.7,71.7,86.53,0.11,-1.72,100.00,100.00,0.91,100.00,99.09
Chemical engineer,Biological scientist,21.6,55.0,86.36,0.73,-0.13,100.00,100.00,0.43,100.00,99.57
Dentist,Dental hygienist,39.5,95.7,86.25,18.58,-1.25,73.68,100.00,9.91,86.84,78.23
Software quality tester,Operations research analyst,44.1,55.0,86.23,-0.16,0.18,100.00,100.00,-0.17,100.00,99.83
Web and digital interface designer,Graphic designer,42.7,54.7,86.19,0.06,1.43,100.00,100.00,-0.69,100.00,99.31
Information security analyst,Training and development specialist,19.3,56.7,85.97,0.20,-0.61,100.00,100.00,0.40,100.00,99.60
Software developer,Graphic designer,20.2,54.7,85.82,0.35,0.01,100.00,100.00,0.17,100.00,99.83
Architectural and engineering manager,Social and community service manager,12.8,71.7,85.81,0.02,-7.69,100.00,92.50,3.85,96.25,92.54
Web and digital interface designer,Operations research analyst,42.7,55.0,85.73,0.00,-0.47,100.00,100.00,0.24,100.00,99.76
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,35.9,65.8,85.68,-0.47,-0.64,100.00,90.91,0.09,95.45,95.37
Lawyer,Paralegal,39.5,83.0,85.66,0.78,-3.46,100.00,100.00,2.12,100.00,97.88
Architectural and engineering manager,Operations research analyst,12.8,55.0,85.62,0.09,-1.63,100.00,97.50,0.86,98.75,97.90
Operation manager,Social and community service manager,37.1,71.7,85.47,0.20,-5.45,100.00,100.00,2.82,100.00,97.18
Industrial production manager,Social and community service manager,19.1,71.7,85.20,0.20,-3.35,100.00,95.00,1.78,97.50,95.77
First-line supervisor of non-retail sales workers,Human resources worker,35.9,76.5,85.15,1.50,-8.29,100.00,82.50,4.89,91.25,86.78
Property assessor,Insurance underwriter,34.2,56.9,85.13,1.32,-0.09,100.00,100.00,0.71,100.00,99.29
Operation manager,Human resources worker,37.1,76.5,84.98,0.30,-2.49,100.00,100.00,1.39,100.00,98.61
Computer systems analyst,Operations research analyst,37.8,55.0,84.96,-0.14,-0.56,100.00,100.00,0.21,100.00,99.79
Building cleaner,Housekeeping cleaner,38.7,88.4,84.95,1.30,-0.71,100.00,100.00,1.00,100.00,99.00
Postsecondary teacher,School psychologist,46.6,87.9,84.73,-0.18,-0.95,100.00,90.62,0.38,95.31,94.95
Industrial production manager,Accountant,19.1,57.0,84.49,2.14,-0.45,100.00,100.00,1.30,100.00,98.70
