occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.36,-0.18,0.00,0.00,0.27,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,0.30,-1.05,0.00,0.00,0.68,0.00,0.00
Project management specialist,Training and development specialist,47.3,56.7,96.32,0.89,-0.92,0.00,0.00,0.91,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,0.25,-0.59,0.00,0.00,0.42,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,-0.18,-0.23,0.00,0.00,0.02,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-0.73,-0.54,0.00,0.00,-0.09,0.00,0.00
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,6.57,-0.38,32.50,0.00,3.47,16.25,15.69
Management analyst,Marketing manager,46.6,62.4,94.88,0.15,0.02,10.00,0.00,0.07,5.00,5.00
Sales manager,Public relations manager,33.1,66.4,94.60,0.49,-3.81,0.00,2.50,2.15,1.25,1.22
Management analyst,Marketing specialist,46.6,61.7,94.50,2.03,0.00,7.50,0.00,1.01,3.75,3.71
Sales manager,Human resources manager,33.1,76.5,94.40,1.72,-4.99,0.00,0.00,3.35,0.00,0.00
Sales manager,Marketing specialist,33.1,61.7,94.34,0.78,-1.35,0.00,0.00,1.06,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,-1.20,0.21,0.00,0.00,-0.70,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.01,-3.23,0.00,0.00,1.62,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,1.35,-8.69,0.00,0.00,5.02,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.20,5.80,0.00,7.50,-3.00,3.75,3.64
Management analyst,Financial manager,46.6,56.2,94.00,-1.04,0.98,0.00,0.00,-1.01,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,-0.13,-3.09,0.00,12.50,1.48,6.25,6.16
Training and development manager,Human resources manager,48.0,76.5,93.69,-0.10,-1.16,0.00,0.00,0.53,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,2.14,-1.94,0.00,0.00,2.04,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.40,-0.37,0.00,0.00,-0.51,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,4.31,-0.76,12.50,0.00,2.53,6.25,6.09
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.06,-2.10,0.00,0.00,1.58,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,-0.09,-0.32,0.00,0.00,0.11,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,-0.35,-0.10,0.00,0.00,-0.12,0.00,0.00
Project management specialist,Human resources manager,47.3,76.5,92.47,5.14,-1.08,7.50,0.00,3.11,3.75,3.63
Purchasing manager,Public relations manager,47.7,66.4,92.38,0.30,-1.96,0.00,2.50,1.13,1.25,1.24
Management analyst,Human resources manager,46.6,76.5,92.37,7.46,-0.55,42.50,0.00,4.01,21.25,20.40
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,0.53,-0.36,52.50,0.00,0.44,26.25,26.13
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-0.61,-0.10,5.00,0.00,-0.26,2.50,2.49
Project management specialist,Human resources worker,47.3,76.5,92.21,8.92,-0.40,12.50,0.00,4.66,6.25,5.96
Facilities manager,Human resources manager,23.4,76.5,92.06,1.80,-5.53,0.00,0.00,3.67,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,6.56,-0.83,27.50,2.50,3.69,15.00,14.45
Training and development manager,Marketing specialist,48.0,61.7,91.94,-0.74,0.12,0.00,0.00,-0.43,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.02,-6.38,35.00,0.00,4.70,17.50,16.68
