occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Training and development manager,Training and development specialist,48.0,56.7,99.47,0.64,-1.70,0.00,0.00,1.17,0.00,0.00
Sales manager,Marketing manager,33.1,62.4,96.46,2.92,0.16,5.00,0.00,1.38,2.50,2.47
Project management specialist,Training and development specialist,47.3,56.7,96.32,1.56,-0.30,0.00,0.00,0.93,0.00,0.00
Project management specialist,Marketing specialist,47.3,61.7,96.15,1.39,-0.33,0.00,0.00,0.86,0.00,0.00
Project management specialist,Marketing manager,47.3,62.4,95.99,0.33,0.66,0.00,0.00,-0.17,0.00,0.00
Information security analyst,Operations research analyst,19.3,55.0,95.42,-1.01,-0.03,15.00,5.00,-0.49,10.00,9.95
Financial and investment analyst,Operations research analyst,43.9,55.0,94.91,-3.15,-0.42,7.50,2.50,-1.36,5.00,4.93
Management analyst,Marketing manager,46.6,62.4,94.88,-0.08,0.30,0.00,0.00,-0.19,0.00,0.00
Sales manager,Public relations manager,33.1,66.4,94.60,2.97,-2.06,10.00,0.00,2.52,5.00,4.87
Management analyst,Marketing specialist,46.6,61.7,94.50,1.78,-1.53,0.00,0.00,1.65,0.00,0.00
Sales manager,Human resources manager,33.1,76.5,94.40,2.41,-1.52,10.00,0.00,1.96,5.00,4.90
Sales manager,Marketing specialist,33.1,61.7,94.34,4.39,-1.89,0.00,0.00,3.14,0.00,0.00
Training and development manager,Marketing manager,48.0,62.4,94.32,0.06,0.74,0.00,0.00,-0.34,0.00,0.00
Training and development manager,Administrative services manager,48.0,74.0,94.24,0.11,-0.50,0.00,0.00,0.30,0.00,0.00
Project management specialist,Administrative services manager,47.3,74.0,94.20,0.91,-0.25,0.00,0.00,0.58,0.00,0.00
Purchasing manager,Financial manager,47.7,56.2,94.07,-0.10,-2.00,0.00,0.00,0.95,0.00,0.00
Management analyst,Financial manager,46.6,56.2,94.00,-2.75,-0.23,0.00,0.00,-1.26,0.00,0.00
Sales manager,Financial manager,33.1,56.2,93.76,0.76,-1.29,2.50,0.00,1.02,1.25,1.24
Training and development manager,Human resources manager,48.0,76.5,93.69,0.06,0.43,0.00,0.00,-0.18,0.00,0.00
Project management specialist,Public relations manager,47.3,66.4,93.13,1.26,-0.51,0.00,0.00,0.89,0.00,0.00
Management analyst,Operations research analyst,46.6,55.0,92.92,-1.54,0.03,0.00,0.00,-0.78,0.00,0.00
Management analyst,Public relations manager,46.6,66.4,92.91,1.01,-1.44,0.00,0.00,1.23,0.00,0.00
Purchasing manager,Human resources manager,47.7,76.5,92.77,1.35,-2.24,0.00,0.00,1.79,0.00,0.00
Training and development manager,Public relations manager,48.0,66.4,92.59,0.75,-0.45,0.00,0.00,0.60,0.00,0.00
Purchasing manager,Marketing manager,47.7,62.4,92.52,1.78,-1.04,0.00,2.50,1.41,1.25,1.23
Project management specialist,Human resources manager,47.3,76.5,92.47,0.92,0.39,0.00,0.00,0.27,0.00,0.00
Purchasing manager,Public relations manager,47.7,66.4,92.38,2.05,-3.10,2.50,0.00,2.58,1.25,1.22
Management analyst,Human resources manager,46.6,76.5,92.37,0.95,-0.42,0.00,0.00,0.68,0.00,0.00
Architectural and engineering manager,Marketing manager,12.8,62.4,92.25,3.30,-1.79,0.00,2.50,2.55,1.25,1.22
Financial and investment analyst,Financial manager,43.9,56.2,92.25,-1.35,1.90,0.00,0.00,-1.63,0.00,0.00
Project management specialist,Human resources worker,47.3,76.5,92.21,1.17,-0.62,0.00,0.00,0.90,0.00,0.00
Facilities manager,Human resources manager,23.4,76.5,92.06,3.63,-2.90,0.00,0.00,3.27,0.00,0.00
Architectural and engineering manager,Training and development specialist,12.8,56.7,92.00,5.89,-2.73,10.00,0.00,4.31,5.00,4.78
Training and development manager,Marketing specialist,48.0,61.7,91.94,1.28,-1.13,0.00,0.00,1.20,0.00,0.00
Architectural and engineering manager,Administrative services manager,12.8,74.0,91.94,3.55,-3.97,0.00,5.00,3.76,2.50,2.41
Architectural and engineering manager,Human resources manager,12.8,76.5,91.77,3.75,-2.68,0.00,0.00,3.21,0.00,0.00
Management analyst,Human resources worker,46.6,76.5,91.64,1.55,-1.35,0.00,0.00,1.45,0.00,0.00
Training and development manager,Human resources worker,48.0,76.5,91.58,0.32,-1.02,0.00,0.00,0.67,0.00,0.00
Project management specialist,Operations research analyst,47.3,55.0,91.31,-0.76,0.66,0.00,0.00,-0.71,0.00,0.00
Project management specialist,Financial manager,47.3,56.2,91.15,-1.42,1.07,0.00,0.00,-1.24,0.00,0.00
Sales manager,Human resources worker,33.1,76.5,91.09,3.11,-2.42,17.50,0.00,2.77,8.75,8.51
Facilities manager,Marketing manager,23.4,62.4,90.92,3.53,-2.26,0.00,2.50,2.89,1.25,1.21
Facilities manager,Administrative services manager,23.4,74.0,90.81,3.70,-3.66,0.00,0.00,3.68,0.00,0.00
Sales manager,Administrative services manager,33.1,74.0,90.73,3.20,-2.35,5.00,0.00,2.77,2.50,2.43
Management analyst,Administrative services manager,46.6,74.0,90.68,0.67,-1.29,0.00,0.00,0.98,0.00,0.00
Purchasing manager,Human resources worker,47.7,76.5,90.36,2.33,-3.29,0.00,0.00,2.81,0.00,0.00
Management analyst,Training and development specialist,46.6,56.7,90.32,2.41,-1.14,0.00,0.00,1.77,0.00,0.00
Architectural and engineering manager,Public relations manager,12.8,66.4,90.31,3.92,-4.09,0.00,2.50,4.01,1.25,1.20
Financial and investment analyst,Training and development specialist,43.9,56.7,90.27,1.02,-0.48,17.50,0.00,0.75,8.75,8.68
Facilities manager,Public relations manager,23.4,66.4,90.26,5.03,-3.71,0.00,0.00,4.37,0.00,0.00
Sales manager,Training and development specialist,33.1,56.7,90.18,4.13,-1.74,7.50,0.00,2.94,3.75,3.64
Financial and investment analyst,Administrative services manager,43.9,74.0,90.16,0.31,-1.97,2.50,0.00,1.14,1.25,1.24
Architectural and engineering manager,Financial manager,12.8,56.2,90.11,1.58,-2.11,0.00,15.00,1.84,7.50,7.36
Purchasing manager,Marketing specialist,47.7,61.7,90.08,3.97,-2.84,2.50,0.00,3.40,1.25,1.21
Training and development manager,Financial manager,48.0,56.2,90.06,-1.70,0.92,0.00,0.00,-1.31,0.00,0.00
Sales manager,Advertising sales agent,33.1,52.7,89.99,3.57,0.59,0.00,0.00,1.49,0.00,0.00
Management analyst,Accountant,46.6,57.0,89.84,-0.61,1.82,0.00,5.00,-1.22,2.50,2.47
Industrial production manager,Human resources manager,19.1,76.5,89.80,2.17,-2.53,0.00,0.00,2.35,0.00,0.00
Facilities manager,Social and community service manager,23.4,71.7,89.67,6.01,-2.80,0.00,0.00,4.41,0.00,0.00
Purchasing manager,Administrative services manager,47.7,74.0,89.51,2.17,-2.80,0.00,0.00,2.49,0.00,0.00
Industrial production manager,Financial manager,19.1,56.2,89.51,0.40,-1.95,0.00,30.00,1.17,15.00,14.82
Operation manager,Financial manager,37.1,56.2,89.31,-0.60,-0.82,2.50,0.00,0.11,1.25,1.25
Industrial production manager,Human resources worker,19.1,76.5,89.29,2.60,-3.30,0.00,0.00,2.95,0.00,0.00
Sales manager,Insurance sales agent,33.1,54.9,89.13,2.40,-0.11,0.00,0.00,1.25,0.00,0.00
Architectural and engineering manager,Marketing specialist,12.8,61.7,89.09,5.27,-3.54,0.00,2.50,4.41,1.25,1.19
Postsecondary teacher,Secondary school teacher,46.6,56.9,89.04,1.11,-0.07,0.00,0.00,0.59,0.00,0.00
Facilities manager,Human resources worker,23.4,76.5,88.96,4.54,-3.57,0.00,0.00,4.05,0.00,0.00
Software developer,Marketing specialist,20.2,61.7,88.94,3.07,-1.05,2.50,0.00,2.06,1.25,1.22
Industrial production manager,Marketing manager,19.1,62.4,88.93,2.23,-1.54,0.00,2.50,1.88,1.25,1.23
Facilities manager,Training and development specialist,23.4,56.7,88.90,5.75,-2.79,0.00,0.00,4.27,0.00,0.00
Software developer,Operations research analyst,20.2,55.0,88.88,0.48,0.16,2.50,0.00,0.16,1.25,1.25
Web and digital interface designer,Marketing specialist,42.7,61.7,88.62,0.17,-0.75,0.00,0.00,0.46,0.00,0.00
Information security analyst,Administrative services manager,19.3,74.0,88.53,1.38,-1.96,5.00,0.00,1.67,2.50,2.46
Industrial production manager,Operations research analyst,19.1,55.0,88.39,1.22,-2.00,2.50,0.00,1.61,1.25,1.23
Facilities manager,Financial manager,23.4,56.2,88.37,1.33,-2.28,0.00,0.00,1.80,0.00,0.00
Financial and investment analyst,Marketing manager,43.9,62.4,88.36,-0.21,0.32,2.50,0.00,-0.27,1.25,1.25
Industrial production manager,Public relations manager,19.1,66.4,88.35,2.97,-3.32,2.50,5.00,3.14,3.75,3.63
Project management specialist,Public relations specialist,47.3,76.2,88.35,2.86,-2.10,2.50,0.00,2.48,1.25,1.22
Industrial production manager,Administrative services manager,19.1,74.0,88.30,2.32,-3.55,0.00,17.50,2.93,8.75,8.49
Facilities manager,Marketing specialist,23.4,61.7,88.28,5.18,-3.41,0.00,0.00,4.29,0.00,0.00
